Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
107.536,108.228,-0.693,559040,0,TPD54,01-Registered,postRapalog_Cl35_cont_6a/
109.273,108.228,1.044,241410,1,TPD54,01-Registered,postRapalog_Cl35_cont_6a/
109.658,104.798,4.859,559040,0,ATG9,01-Registered,postRapalog_Cl35_cont_6a/
153.438,104.798,48.640,241410,1,ATG9,01-Registered,postRapalog_Cl35_cont_6a/
108.258,104.784,3.475,649236,0,TPD54,02-Registered,postRapalog_Cl35_cont_6a/
112.711,104.784,7.927,230225,1,TPD54,02-Registered,postRapalog_Cl35_cont_6a/
123.982,105.636,18.346,649236,0,ATG9,02-Registered,postRapalog_Cl35_cont_6a/
171.206,105.636,65.570,230225,1,ATG9,02-Registered,postRapalog_Cl35_cont_6a/
216.666,107.080,109.587,50370,0,TPD54,03-Registered,postRapalog_Cl35_cont_6a/
191.496,107.080,84.416,67257,1,TPD54,03-Registered,postRapalog_Cl35_cont_6a/
362.446,105.495,256.951,50370,0,ATG9,03-Registered,postRapalog_Cl35_cont_6a/
182.249,105.495,76.754,67257,1,ATG9,03-Registered,postRapalog_Cl35_cont_6a/
193.369,114.018,79.351,128764,0,TPD54,04-Registered,postRapalog_Cl35_cont_6a/
172.299,114.018,58.281,192604,1,TPD54,04-Registered,postRapalog_Cl35_cont_6a/
805.582,106.844,698.737,128764,0,ATG9,04-Registered,postRapalog_Cl35_cont_6a/
361.322,106.844,254.477,192604,1,ATG9,04-Registered,postRapalog_Cl35_cont_6a/
200.126,107.749,92.377,220523,0,TPD54,05-Registered,postRapalog_Cl35_cont_6a/
173.462,107.749,65.713,269432,1,TPD54,05-Registered,postRapalog_Cl35_cont_6a/
2067.499,108.288,1959.212,220523,0,ATG9,05-Registered,postRapalog_Cl35_cont_6a/
1243.549,108.288,1135.261,269432,1,ATG9,05-Registered,postRapalog_Cl35_cont_6a/
214.128,108.082,106.046,146685,0,TPD54,06-Registered,postRapalog_Cl35_cont_6a/
190.544,108.082,82.462,191877,1,TPD54,06-Registered,postRapalog_Cl35_cont_6a/
688.622,108.993,579.629,146685,0,ATG9,06-Registered,postRapalog_Cl35_cont_6a/
438.155,108.993,329.163,191877,1,ATG9,06-Registered,postRapalog_Cl35_cont_6a/
190.810,106.520,84.289,278100,0,TPD54,07-Registered,postRapalog_Cl35_cont_6a/
166.744,106.520,60.223,289233,1,TPD54,07-Registered,postRapalog_Cl35_cont_6a/
620.484,107.137,513.346,278100,0,ATG9,07-Registered,postRapalog_Cl35_cont_6a/
323.072,107.137,215.935,289233,1,ATG9,07-Registered,postRapalog_Cl35_cont_6a/
186.695,107.086,79.609,243869,0,TPD54,08-Registered,postRapalog_Cl35_cont_6a/
168.296,107.086,61.210,316703,1,TPD54,08-Registered,postRapalog_Cl35_cont_6a/
529.954,107.622,422.333,243869,0,ATG9,08-Registered,postRapalog_Cl35_cont_6a/
314.870,107.622,207.249,316703,1,ATG9,08-Registered,postRapalog_Cl35_cont_6a/
200.685,110.034,90.651,234000,0,TPD54,09-Registered,postRapalog_Cl35_cont_6a/
175.609,110.034,65.575,252805,1,TPD54,09-Registered,postRapalog_Cl35_cont_6a/
507.003,108.266,398.737,234000,0,ATG9,09-Registered,postRapalog_Cl35_cont_6a/
375.163,108.266,266.897,252805,1,ATG9,09-Registered,postRapalog_Cl35_cont_6a/
171.357,108.662,62.694,226072,0,TPD54,10-Registered,postRapalog_Cl35_cont_6a/
170.752,108.662,62.090,303560,1,TPD54,10-Registered,postRapalog_Cl35_cont_6a/
536.979,107.278,429.702,226072,0,ATG9,10-Registered,postRapalog_Cl35_cont_6a/
516.382,107.278,409.104,303560,1,ATG9,10-Registered,postRapalog_Cl35_cont_6a/
166.781,108.283,58.497,212077,0,TPD54,11-Registered,postRapalog_Cl35_cont_6a/
154.930,108.283,46.647,273865,1,TPD54,11-Registered,postRapalog_Cl35_cont_6a/
695.131,106.098,589.033,212077,0,ATG9,11-Registered,postRapalog_Cl35_cont_6a/
420.653,106.098,314.555,273865,1,ATG9,11-Registered,postRapalog_Cl35_cont_6a/
206.359,106.774,99.585,79261,0,TPD54,12-Registered,postRapalog_Cl35_cont_6a/
173.287,106.774,66.513,134519,1,TPD54,12-Registered,postRapalog_Cl35_cont_6a/
988.423,105.214,883.210,79261,0,ATG9,12-Registered,postRapalog_Cl35_cont_6a/
745.015,105.214,639.801,134519,1,ATG9,12-Registered,postRapalog_Cl35_cont_6a/
205.854,106.392,99.462,113460,0,TPD54,13-Registered,postRapalog_Cl35_cont_6a/
183.729,106.392,77.337,122648,1,TPD54,13-Registered,postRapalog_Cl35_cont_6a/
914.701,107.260,807.441,113460,0,ATG9,13-Registered,postRapalog_Cl35_cont_6a/
412.135,107.260,304.875,122648,1,ATG9,13-Registered,postRapalog_Cl35_cont_6a/
170.622,108.530,62.092,313563,0,TPD54,14-Registered,postRapalog_Cl35_cont_6a/
155.870,108.530,47.340,394591,1,TPD54,14-Registered,postRapalog_Cl35_cont_6a/
395.114,109.962,285.153,313563,0,ATG9,14-Registered,postRapalog_Cl35_cont_6a/
226.034,109.962,116.073,394591,1,ATG9,14-Registered,postRapalog_Cl35_cont_6a/
