 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,146,25,13,158,38,42,13,14,30,1,1,1,3100,0,3100,471510,95995,88275,152.100,30.966,28.476,471510,95995,88275,152.100,30.966,28.476,24633.933,7.946,16.130,2.030,24633.933,7.946,16.130,2.030
2,2,306,100,18,316,109,42,11,10,25,2,2,2,3320,0,1660,1032530,346710,103750,311.003,104.431,31.250,516265,173355,51875,311.003,104.431,31.250,10736.120,6.468,13.676,2.115,10736.120,6.468,13.676,2.115
3,3,214,138,18,223,150,42,10,13,25,3,3,3,5445,0,1815,1189650,784740,166725,218.485,144.121,30.620,396550,261580,55575,218.485,144.121,30.620,11832.295,6.519,13.211,2.027,11832.295,6.519,13.211,2.027
4,4,56,428,18,68,440,47,13,13,30,4,4,4,11180,0,2795,695080,4855520,339900,62.172,434.304,30.403,173770,1213880,84975,62.172,434.304,30.403,21116.141,7.555,16.633,2.202,21116.141,7.555,16.633,2.202
5,5,1047,510,18,1066,526,47,20,17,30,5,5,5,26875,0,5375,28383675,13938450,911250,1056.137,518.640,33.907,5676735,2787690,182250,1056.137,518.640,33.907,47190.584,8.780,16.882,1.923,47190.584,8.780,16.882,1.923
6,6,980,600,18,1004,623,58,25,24,41,6,6,6,70206,0,11701,69643896,42954738,2757348,991.994,611.839,39.275,11607316,7159123,459558,991.994,611.839,39.275,134884.787,11.528,22.037,1.912,134884.787,11.528,22.037,1.912
7,7,259,664,18,270,673,42,12,10,25,7,7,7,11235,0,1605,2968525,7514395,338800,264.221,668.838,30.156,424075,1073485,48400,264.221,668.838,30.156,10232.787,6.376,12.904,2.024,10232.787,6.376,12.904,2.024
8,8,382,666,18,395,677,47,14,12,30,8,8,8,15320,0,1915,5936080,10293640,495800,387.473,671.909,32.363,742010,1286705,61975,387.473,671.909,32.363,12625.896,6.593,14.769,2.240,12625.896,6.593,14.769,2.240
9,9,531,804,18,549,820,47,19,17,30,9,9,9,29430,0,3270,15840090,23879340,941175,538.229,811.394,31.980,1760010,2653260,104575,538.229,811.394,31.980,25972.099,7.943,17.467,2.199,25972.099,7.943,17.467,2.199
10,10,578,793,18,614,823,85,37,31,68,10,10,10,91190,0,9119,54331130,73684120,4636900,595.801,808.029,50.849,5433113,7368412,463690,595.801,808.029,50.849,204108.233,22.383,37.543,1.677,204108.233,22.383,37.543,1.677
11,11,448,1028,18,461,1040,47,14,13,30,11,11,11,29975,0,2725,13619320,31006360,942425,454.356,1034.407,31.440,1238120,2818760,85675,454.356,1034.407,31.440,19729.345,7.240,15.636,2.160,19729.345,7.240,15.636,2.160
12,12,530,1150,18,540,1160,42,11,11,25,12,12,12,19740,0,1645,10559760,22803240,617700,534.942,1155.179,31.292,879980,1900270,51475,534.942,1155.179,31.292,10603.300,6.446,13.708,2.127,10603.300,6.446,13.708,2.127
13,13,694,341,23,704,354,47,11,14,25,13,13,13,26585,0,2045,18581485,9233055,962325,698.946,347.303,36.198,1429345,710235,74025,698.946,347.303,36.198,13575.460,6.638,13.629,2.053,13575.460,6.638,13.629,2.053
14,14,93,431,23,93,432,32,1,2,10,14,14,14,280,0,20,26040,120820,7700,93.000,431.500,27.500,1860,8630,550,93.000,431.500,27.500,51.604,2.580,4.528,1.755,51.604,2.580,4.528,1.755
15,15,469,441,23,482,450,42,14,10,20,15,15,15,25950,0,1730,12339000,11566650,834375,475.491,445.728,32.153,822600,771110,55625,475.491,445.728,32.153,10896.867,6.299,11.415,1.812,10896.867,6.299,11.415,1.812
16,16,763,728,23,776,736,42,14,9,20,16,16,16,20400,0,1275,15701040,14926080,708000,769.659,731.671,34.706,981315,932880,44250,769.659,731.671,34.706,7064.627,5.541,12.120,2.187,7064.627,5.541,12.120,2.187
17,17,436,749,23,460,762,68,25,14,46,17,17,17,92310,0,5430,41280267,69704896,3556740,447.192,755.117,38.530,2428251,4100288,209220,447.192,755.117,38.530,58676.555,10.806,29.936,2.770,58676.555,10.806,29.936,2.770
18,18,490,768,23,522,808,85,33,41,63,18,18,18,231984,0,12888,116966754,182400192,10580220,504.202,786.262,45.608,6498153,10133344,587790,504.202,786.262,45.608,221936.327,17.220,40.516,2.353,221936.327,17.220,40.516,2.353
19,19,403,795,23,418,808,63,16,14,41,19,19,19,79458,0,4182,32586273,63683535,3548364,410.107,801.474,44.657,1715067,3351765,186756,410.107,801.474,44.657,40811.716,9.759,21.735,2.227,40811.716,9.759,21.735,2.227
20,20,396,875,23,407,888,52,12,14,30,20,20,20,48200,0,2410,19357000,42491200,1883000,401.598,881.560,39.066,967850,2124560,94150,401.598,881.560,39.066,17998.247,7.468,16.490,2.208,17998.247,7.468,16.490,2.208
21,21,89,920,23,97,927,42,9,8,20,21,21,21,13545,0,645,1256535,12508650,413700,92.767,923.488,30.543,59835,595650,19700,92.767,923.488,30.543,3057.402,4.740,11.915,2.514,3057.402,4.740,11.915,2.514
22,22,1040,1078,23,1045,1083,37,6,6,15,22,22,22,5280,0,240,5507810,5703940,156750,1043.146,1080.292,29.688,250355,259270,7125,1043.146,1080.292,29.688,1023.548,4.265,7.958,1.866,1023.548,4.265,7.958,1.866
23,23,872,1131,23,881,1139,37,10,9,15,23,23,23,17020,0,740,14913890,19308730,511175,876.257,1134.473,30.034,648430,839510,22225,876.257,1134.473,30.034,3613.464,4.883,8.565,1.754,3613.464,4.883,8.565,1.754
24,24,889,484,28,906,515,85,18,32,58,24,24,24,236592,0,9858,212069376,118383432,14468496,896.351,500.370,61.154,8836224,4932643,602854,896.351,500.370,61.154,147020.814,14.914,33.914,2.274,147020.814,14.914,33.914,2.274
25,25,397,715,28,406,727,63,10,13,36,25,25,25,55575,0,2223,22306350,40107275,2486600,401.374,721.678,44.743,892254,1604291,99464,401.374,721.678,44.743,17432.577,7.842,18.458,2.354,17432.577,7.842,18.458,2.354
26,26,580,818,28,590,826,47,11,9,20,26,26,26,25350,0,975,14849770,20837830,922350,585.790,822.005,36.385,571145,801455,35475,585.790,822.005,36.385,5409.683,5.548,11.136,2.007,5409.683,5.548,11.136,2.007
27,27,656,824,28,663,831,47,8,8,20,27,27,27,5265,0,195,3473955,4362660,200475,659.821,828.615,38.077,128665,161580,7425,659.821,828.615,38.077,859.269,4.407,10.737,2.437,859.269,4.407,10.737,2.437
28,28,480,846,28,485,848,42,6,3,15,28,28,28,3780,0,135,1822660,3202640,140700,482.185,847.259,37.222,65095,114380,5025,482.185,847.259,37.222,439.297,3.254,9.288,2.854,439.297,3.254,9.288,2.854
29,29,501,878,28,512,888,52,12,11,25,29,29,29,28565,0,985,14460415,25215790,1197700,506.228,882.751,41.929,498635,869510,41300,506.228,882.751,41.929,5308.153,5.389,14.824,2.751,5308.153,5.389,14.824,2.751
30,30,924,915,28,930,922,37,7,8,10,30,30,30,6300,0,210,5845800,5788800,204750,927.905,918.857,32.500,194860,192960,6825,927.905,918.857,32.500,747.727,3.561,7.098,1.993,747.727,3.561,7.098,1.993
31,31,478,923,28,486,933,47,9,11,20,31,31,31,33790,0,1090,16299645,31365955,1240000,482.381,928.261,36.697,525795,1011805,40000,482.381,928.261,36.697,6099.690,5.596,11.266,2.013,6099.690,5.596,11.266,2.013
32,32,945,1095,28,952,1099,47,8,5,20,32,32,32,7840,0,245,7434560,8597920,306400,948.286,1096.673,39.082,232330,268685,9575,948.286,1096.673,39.082,1053.028,4.298,11.106,2.584,1053.028,4.298,11.106,2.584
33,33,937,532,33,949,546,63,13,15,31,33,33,33,79233,0,2401,74724111,42718434,3619539,943.093,539.150,45.682,2264367,1294498,109683,943.093,539.150,45.682,18092.743,7.536,18.030,2.393,18092.743,7.536,18.030,2.393
34,34,276,556,33,289,566,58,14,11,26,34,34,34,49572,0,1458,13984370,27819072,2157266,282.102,561.185,43.518,411305,818208,63449,282.102,561.185,43.518,8990.714,6.166,14.999,2.432,8990.714,6.166,14.999,2.432
35,35,891,613,33,895,619,52,5,7,20,35,35,35,8575,0,245,7656775,5280450,336875,892.918,615.796,39.286,218765,150870,9625,892.918,615.796,39.286,1060.291,4.328,12.983,3.000,1060.291,4.328,12.983,3.000
36,36,848,634,33,865,648,68,18,15,36,36,36,36,101880,0,2830,87156288,65333700,4789080,855.480,641.281,47.007,2421008,1814825,133030,855.480,641.281,47.007,23818.594,8.416,21.984,2.612,23818.594,8.416,21.984,2.612
37,37,293,662,33,296,665,47,4,4,15,37,37,37,2775,0,75,816775,1841120,114700,294.333,663.467,41.333,22075,49760,3100,294.333,663.467,41.333,258.130,3.442,8.577,2.492,258.130,3.442,8.577,2.492
38,38,325,681,33,334,694,63,10,14,31,38,38,38,82992,0,2184,27330968,57099598,3857836,329.321,688.013,46.484,719236,1502621,101522,329.321,688.013,46.484,16783.497,7.685,16.802,2.186,16783.497,7.685,16.802,2.186
39,39,381,722,33,392,738,63,12,17,31,39,39,39,50427,0,1293,19534788,36778014,2406261,387.387,729.332,47.718,500892,943026,61699,387.387,729.332,47.718,10426.681,8.064,16.133,2.001,10426.681,8.064,16.133,2.001
40,40,414,759,33,424,766,58,11,8,26,40,40,40,38560,0,964,16166240,29401240,1646280,419.249,762.480,42.694,404156,735031,41157,419.249,762.480,42.694,5700.756,5.914,15.428,2.609,5700.756,5.914,15.428,2.609
41,41,446,765,33,448,767,47,3,3,15,41,41,41,3485,0,85,1557590,2668690,140425,446.941,765.765,40.294,37990,65090,3425,446.941,765.765,40.294,330.460,3.888,7.394,1.902,330.460,3.888,7.394,1.902
42,42,464,766,33,474,774,63,11,9,31,42,42,42,54390,0,1295,25486734,41870850,2533230,468.592,769.826,46.575,606827,996925,60315,468.592,769.826,46.575,9523.674,7.354,16.952,2.305,9523.674,7.354,16.952,2.305
43,43,670,789,33,673,790,42,4,2,10,43,43,43,1720,0,40,1154980,1357510,64500,671.500,789.250,37.500,26860,31570,1500,671.500,789.250,37.500,113.812,2.845,4.802,1.688,113.812,2.845,4.802,1.688
44,44,733,789,33,741,796,47,9,8,15,44,44,44,24640,0,560,18181460,19534020,995500,737.884,792.777,40.402,413215,443955,22625,737.884,792.777,40.402,2603.553,4.649,8.959,1.927,2603.553,4.649,8.959,1.927
45,45,419,796,33,422,799,52,4,4,20,45,45,45,5175,0,115,2177325,4126275,225000,420.739,797.348,43.478,48385,91695,5000,420.739,797.348,43.478,442.567,3.848,10.642,2.765,442.567,3.848,10.642,2.765
46,46,637,799,33,640,800,47,4,2,15,46,46,46,2760,0,60,1762260,2207080,110400,638.500,799.667,40.000,38310,47980,2400,638.500,799.667,40.000,203.894,3.398,7.167,2.109,203.894,3.398,7.167,2.109
47,47,483,810,33,485,811,42,3,2,10,47,47,47,1410,0,30,682440,1142570,52875,484.000,810.333,37.500,14520,24310,1125,484.000,810.333,37.500,82.068,2.736,4.658,1.703,82.068,2.736,4.658,1.703
48,48,593,819,33,601,829,58,9,11,26,48,48,48,54768,0,1141,32687232,45145104,2499504,596.831,824.297,45.638,680984,940523,52073,596.831,824.297,45.638,7428.408,6.510,13.307,2.044,7428.408,6.510,13.307,2.044
49,49,516,823,33,519,825,47,4,3,15,49,49,49,1960,0,40,1014300,1615530,78400,517.500,824.250,40.000,20700,32970,1600,517.500,824.250,40.000,141.777,3.544,7.267,2.050,141.777,3.544,7.267,2.050
50,50,398,835,33,406,845,63,9,11,31,50,50,50,90950,0,1819,36557300,76445800,4567350,401.949,840.526,50.218,731146,1528916,91347,401.949,840.526,50.218,12911.465,7.098,17.318,2.440,12911.465,7.098,17.318,2.440
51,51,1020,1078,33,1023,1084,47,4,7,15,51,51,51,6630,0,130,6769740,7173660,251175,1021.077,1082.000,37.885,132740,140660,4925,1021.077,1082.000,37.885,453.562,3.489,9.162,2.626,453.562,3.489,9.162,2.626
52,52,1025,1083,33,1025,1083,42,1,1,10,52,52,52,520,0,10,533000,563160,19500,1025.000,1083.000,37.500,10250,10830,375,1025.000,1083.000,37.500,25.000,2.500,4.500,1.800,25.000,2.500,4.500,1.800
53,53,1021,506,38,1026,511,52,6,6,15,53,53,53,18020,0,340,18446650,9162110,825475,1023.676,508.441,45.809,348050,172870,15575,1023.676,508.441,45.809,1413.140,4.156,8.288,1.994,1413.140,4.156,8.288,1.994
54,54,888,617,38,890,620,47,3,4,10,54,54,54,2160,0,40,1919700,1335960,91800,888.750,618.500,42.500,35550,24740,1700,888.750,618.500,42.500,117.780,2.945,4.905,1.666,117.780,2.945,4.905,1.666
55,55,863,678,38,863,678,47,1,1,10,55,55,55,550,0,10,474650,372900,23375,863.000,678.000,42.500,8630,6780,425,863.000,678.000,42.500,25.000,2.500,4.500,1.800,25.000,2.500,4.500,1.800
56,56,339,678,38,356,692,68,18,15,31,56,56,56,112672,0,2012,38888752,77350280,5870536,345.150,686.508,52.103,694442,1381255,104831,345.150,686.508,52.103,15716.318,7.811,16.698,2.138,15716.318,7.811,16.698,2.138
57,57,355,705,38,376,712,68,22,8,31,57,57,57,108015,0,1895,39368589,76550886,5707125,364.473,708.706,52.836,690677,1342998,100125,364.473,708.706,52.836,15917.595,8.400,17.679,2.105,15917.595,8.400,17.679,2.105
58,58,777,755,38,782,760,52,6,6,15,58,58,58,9860,0,170,7680650,7474750,439350,778.971,758.088,44.559,132425,128875,7575,778.971,758.088,44.559,672.807,3.958,7.744,1.957,672.807,3.958,7.744,1.957
59,59,479,772,38,489,781,58,11,10,21,59,59,59,59236,0,1004,28680903,45965956,2701138,484.180,775.980,45.600,486117,779084,45782,484.180,775.980,45.600,5379.100,5.358,12.892,2.406,5379.100,5.358,12.892,2.406
60,60,450,774,38,466,784,85,17,11,48,60,60,60,159660,0,2661,72953520,124447380,9483120,456.930,779.452,59.396,1215892,2074123,158052,456.930,779.452,59.396,25922.427,9.742,27.526,2.826,25922.427,9.742,27.526,2.826
61,61,516,790,38,519,793,52,4,4,15,61,61,61,9455,0,155,4892505,7484090,433100,517.452,791.548,45.806,80205,122690,7100,517.452,791.548,45.806,596.357,3.847,7.977,2.073,596.357,3.847,7.977,2.073
62,62,605,798,38,617,809,68,13,12,31,62,62,62,98766,0,1593,60253646,79431982,5259708,610.065,804.244,53.254,971833,1281161,84834,610.065,804.244,53.254,11682.455,7.334,16.635,2.268,11682.455,7.334,16.635,2.268
63,63,544,796,38,565,810,78,22,15,41,63,63,63,192906,0,3062,107593353,154723653,11505753,557.750,802.068,59.644,1707831,2455931,182631,557.750,802.068,59.644,27377.028,8.941,21.646,2.421,27377.028,8.941,21.646,2.421
64,64,441,835,38,443,835,47,3,1,10,64,64,64,1920,0,30,848640,1603200,81600,442.000,835.000,42.500,13260,25050,1275,442.000,835.000,42.500,80.453,2.682,4.610,1.719,80.453,2.682,4.610,1.719
65,65,567,868,38,575,876,58,9,9,21,65,65,65,48620,0,748,27742845,42399500,2296385,570.606,872.059,47.231,426813,652300,35329,570.606,872.059,47.231,3800.821,5.081,11.631,2.289,3800.821,5.081,11.631,2.289
66,66,883,295,43,884,296,52,2,2,10,66,66,66,1320,0,20,1166220,390060,62700,883.500,295.500,47.500,17670,5910,950,883.500,295.500,47.500,52.993,2.650,4.555,1.719,52.993,2.650,4.555,1.719
67,67,332,615,43,338,621,68,7,7,26,67,67,67,15142,0,226,5076925,9339130,849426,335.288,616.770,56.097,75775,139390,12678,335.288,616.770,56.097,1191.985,5.274,13.432,2.547,1191.985,5.274,13.432,2.547
68,68,335,623,43,336,623,52,2,1,10,68,68,68,1360,0,20,456280,847280,64600,335.500,623.000,47.500,6710,12460,950,335.500,623.000,47.500,51.604,2.580,4.528,1.755,51.604,2.580,4.528,1.755
69,69,862,680,43,866,684,58,5,5,16,69,69,69,8280,0,120,7152747,5651445,413310,863.858,682.542,49.917,103663,81905,5990,863.858,682.542,49.917,484.420,4.037,8.380,2.076,484.420,4.037,8.380,2.076
70,70,415,750,43,420,755,58,6,6,16,70,70,70,29540,0,422,12337430,22234870,1500870,417.652,752.704,50.808,176249,317641,21441,417.652,752.704,50.808,1906.189,4.517,8.330,1.844,1906.189,4.517,8.330,1.844
71,71,430,765,43,439,780,83,10,16,41,71,71,71,158330,0,2230,68763358,122300482,9296385,434.304,772.440,58.715,968498,1722542,130935,434.304,772.440,58.715,19250.942,8.633,24.484,2.836,19250.942,8.633,24.484,2.836
72,72,469,793,43,476,801,83,8,9,41,72,72,72,104472,0,1451,49331448,83310624,6548976,472.198,797.445,62.686,685159,1157092,90958,472.198,797.445,62.686,12200.453,8.408,20.701,2.462,12200.453,8.408,20.701,2.462
73,73,502,808,43,511,819,78,10,12,36,73,73,73,148336,0,2032,75121818,120676373,8902788,506.430,813.534,60.018,1029066,1653101,121956,506.430,813.534,60.018,17475.926,8.600,18.507,2.152,17475.926,8.600,18.507,2.152
74,74,474,851,43,490,866,83,17,16,41,74,74,74,430310,0,5815,207202368,369099938,28001230,481.519,857.754,65.072,2800032,4987837,378395,481.519,857.754,65.072,57715.024,9.925,22.858,2.303,57715.024,9.925,22.858,2.303
75,75,490,855,43,495,864,58,6,10,16,75,75,75,37950,0,506,18693375,32664375,1880100,492.579,860.721,49.542,249245,435525,25068,492.579,860.721,49.542,2395.631,4.734,10.333,2.183,2395.631,4.734,10.333,2.183
76,76,685,367,48,688,368,63,4,2,16,76,76,76,4560,0,60,3130668,1675192,257260,686.550,367.367,56.417,41193,22042,3385,686.550,367.367,56.417,221.280,3.688,8.452,2.292,221.280,3.688,8.452,2.292
77,77,886,569,48,896,578,78,11,10,31,77,77,77,138138,0,1794,123065943,79258949,8794324,890.891,573.766,63.663,1598259,1029337,114212,890.891,573.766,63.663,12542.271,6.991,16.148,2.310,12542.271,6.991,16.148,2.310
78,78,357,634,48,367,644,73,11,11,26,78,78,78,132834,0,1703,48096750,84984120,7904052,362.082,639.777,59.503,616625,1089540,101334,362.082,639.777,59.503,11342.232,6.660,14.015,2.104,11342.232,6.660,14.015,2.104
79,79,372,662,48,382,677,78,11,16,31,79,79,79,205953,0,2607,77754723,137855237,12785044,377.536,669.353,62.077,984237,1745003,161836,377.536,669.353,62.077,20740.184,7.956,16.572,2.083,20740.184,7.956,16.572,2.083
80,80,837,672,48,846,683,68,10,12,21,80,80,80,50960,0,637,42865360,34481520,3044080,841.157,676.639,59.735,535817,431019,38051,841.157,676.639,59.735,3463.030,5.436,12.359,2.273,3463.030,5.436,12.359,2.273
81,81,347,724,48,347,724,58,1,1,11,81,81,81,891,0,11,309177,645084,47223,347.000,724.000,53.000,3817,7964,583,347.000,724.000,53.000,30.000,2.727,5.000,1.833,30.000,2.727,5.000,1.833
82,82,345,725,48,345,725,58,1,1,11,82,82,82,902,0,11,311190,653950,47806,345.000,725.000,53.000,3795,7975,583,345.000,725.000,53.000,30.000,2.727,5.000,1.833,30.000,2.727,5.000,1.833
83,83,422,743,48,424,744,58,3,2,11,83,83,83,4565,0,55,1931908,3394534,241945,423.200,743.600,53.000,23276,40898,2915,423.200,743.600,53.000,162.484,2.954,5.158,1.746,162.484,2.954,5.158,1.746
84,84,932,401,53,935,402,63,4,2,11,84,84,84,4620,0,55,4311384,1856316,267960,933.200,401.800,58.000,51326,22099,3190,933.200,401.800,58.000,170.133,3.093,5.318,1.719,170.133,3.093,5.318,1.719
85,85,931,404,53,931,404,63,1,1,11,85,85,85,935,0,11,870485,377740,54230,931.000,404.000,58.000,10241,4444,638,931.000,404.000,58.000,30.000,2.727,5.000,1.833,30.000,2.727,5.000,1.833
86,86,932,406,53,932,406,63,1,1,11,86,86,86,946,0,11,881672,384076,54868,932.000,406.000,58.000,10252,4466,638,932.000,406.000,58.000,30.000,2.727,5.000,1.833,30.000,2.727,5.000,1.833
87,87,364,700,53,367,703,68,4,4,16,87,87,87,14007,0,161,5120994,9827694,840246,365.602,701.627,59.988,58862,112962,9658,365.602,701.627,59.988,668.532,4.152,8.180,1.970,668.532,4.152,8.180,1.970
88,88,762,760,53,762,760,63,1,1,11,88,88,88,968,0,11,737616,735680,56144,762.000,760.000,58.000,8382,8360,638,762.000,760.000,58.000,30.000,2.727,5.000,1.833,30.000,2.727,5.000,1.833
89,89,469,778,53,475,781,73,7,4,21,89,89,89,29993,0,337,14156696,23384572,1983899,472.000,779.668,66.145,159064,262748,22291,472.000,779.668,66.145,1510.983,4.484,13.500,3.011,1510.983,4.484,13.500,3.011
90,90,533,802,53,541,807,68,9,6,16,90,90,90,50670,0,563,27203940,40777200,3069360,536.885,804.760,60.575,302266,453080,34104,536.885,804.760,60.575,2720.526,4.832,8.907,1.843,2720.526,4.832,8.907,1.843
91,91,509,818,53,522,833,85,14,16,33,91,91,91,161798,0,1778,83250713,133437031,10934469,514.535,824.714,67.581,914843,1466341,120159,514.535,824.714,67.581,14384.248,8.090,18.340,2.267,14384.248,8.090,18.340,2.267
92,92,651,838,53,654,839,73,4,2,21,92,92,92,7636,0,83,4981432,6402280,484288,652.361,838.434,63.422,54146,69590,5264,652.361,838.434,63.422,424.908,5.119,10.525,2.056,424.908,5.119,10.525,2.056
93,93,631,451,59,639,458,78,9,8,20,93,93,93,35340,0,380,22443225,16065285,2448690,635.066,454.592,69.289,241325,172745,26330,635.066,454.592,69.289,1668.908,4.392,10.786,2.456,1668.908,4.392,10.786,2.456
94,94,410,713,59,414,717,78,5,5,20,94,94,94,19740,0,210,8132410,14109400,1370990,411.976,714.762,69.452,86515,150100,14585,411.976,714.762,69.452,887.601,4.227,10.525,2.490,887.601,4.227,10.525,2.490
95,95,429,745,59,447,761,85,19,17,27,95,95,95,362140,0,3812,157784455,272989720,27248755,435.700,753.824,75.244,1660889,2873576,286829,435.700,753.824,75.244,31613.758,8.293,16.801,2.026,31613.758,8.293,16.801,2.026
