 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,812,282,18,839,309,47,28,28,30,1,1,1,10960,0,10960,9060755,3246325,382200,826.711,296.198,34.872,9060755,3246325,382200,826.711,296.198,34.872,115942.672,10.579,18.723,1.770,115942.672,10.579,18.723,1.770
2,2,862,434,18,920,471,68,59,38,51,2,2,2,56266,0,28133,49989132,25584544,2197528,888.443,454.707,39.056,24994566,12792272,1098764,888.443,454.707,39.056,479532.232,17.045,35.666,2.092,479532.232,17.045,35.666,2.092
3,3,977,602,18,983,607,32,7,6,15,3,3,3,735,0,245,720435,444690,20100,980.184,605.020,27.347,240145,148230,6700,980.184,605.020,27.347,862.789,3.522,9.477,2.691,862.789,3.522,9.477,2.691
4,4,844,647,18,893,707,52,50,61,35,4,4,4,79820,0,19955,69166680,54016980,2654000,866.533,676.735,33.250,17291670,13504245,663500,866.533,676.735,33.250,396412.661,19.865,39.226,1.975,396412.661,19.865,39.226,1.975
5,5,717,728,18,723,734,32,7,7,15,5,5,5,1250,0,250,898825,913400,29750,719.060,730.720,23.800,179765,182680,5950,719.060,730.720,23.800,1077.740,4.311,8.882,2.060,1077.740,4.311,8.882,2.060
6,6,832,731,18,852,748,42,21,18,25,6,6,6,26790,0,4465,22565460,19856250,783750,842.309,741.181,29.255,3760910,3309375,130625,842.309,741.181,29.255,36179.819,8.103,15.686,1.936,36179.819,8.103,15.686,1.936
7,7,804,735,18,829,757,42,26,23,25,7,7,7,44170,0,6310,35998795,32907105,1296400,815.006,745.010,29.350,5142685,4701015,185200,815.006,745.010,29.350,60727.944,9.624,18.439,1.916,60727.944,9.624,18.439,1.916
8,8,684,788,18,706,803,58,23,16,41,8,8,8,27144,0,3393,18816272,21615152,1001912,693.202,796.314,36.911,2352034,2701894,125239,693.202,796.314,36.911,38592.864,11.374,24.814,2.182,38592.864,11.374,24.814,2.182
9,9,708,793,18,725,811,52,18,19,35,9,9,9,51255,0,5695,36735075,41115015,1662975,716.712,802.166,32.445,4081675,4568335,184775,716.712,802.166,32.445,51943.636,9.121,21.132,2.317,51943.636,9.121,21.132,2.317
10,10,856,320,23,870,332,47,15,13,25,10,10,10,20150,0,2015,17385950,6568050,723250,862.826,325.958,35.893,1738595,656805,72325,862.826,325.958,35.893,12716.125,6.311,12.988,2.058,12716.125,6.311,12.988,2.058
