 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,902,422,8,915,433,32,14,12,25,1,1,1,2355,0,2355,2139050,1007360,52075,908.301,427.754,22.113,2139050,1007360,52075,908.301,427.754,22.113,15904.345,6.753,14.353,2.125,15904.345,6.753,14.353,2.125
2,2,729,632,8,742,646,32,14,15,25,2,2,2,5830,0,2915,4287640,3725240,107250,735.444,638.978,18.396,2143820,1862620,53625,735.444,638.978,18.396,20458.716,7.018,14.067,2.004,20458.716,7.018,14.067,2.004
3,3,246,656,8,257,666,27,12,11,20,3,3,3,5220,0,1740,1310640,3449145,92025,251.080,660.756,17.629,436880,1149715,30675,251.080,660.756,17.629,10805.735,6.210,10.951,1.763,10805.735,6.210,10.951,1.763
4,4,317,681,8,327,692,32,11,12,25,4,4,4,6840,0,1710,2201080,4695440,126900,321.795,686.468,18.553,550270,1173860,31725,321.795,686.468,18.553,10642.590,6.224,13.695,2.200,10642.590,6.224,13.695,2.200
5,5,686,983,8,698,993,27,13,11,20,5,5,5,9625,0,1925,6660000,9511725,173500,691.948,988.231,18.026,1332000,1902345,34700,691.948,988.231,18.026,12156.941,6.315,11.253,1.782,12156.941,6.315,11.253,1.782
6,6,122,1145,8,135,1159,37,14,15,30,6,6,6,19080,0,3180,2461350,21970860,421650,129.002,1151.513,22.099,410225,3661810,70275,129.002,1151.513,22.099,23728.548,7.462,15.342,2.056,23728.548,7.462,15.342,2.056
7,7,114,1,13,116,1,22,3,1,10,7,7,7,210,0,30,24150,210,3675,115.000,1.000,17.500,3450,30,525,115.000,1.000,17.500,80.453,2.682,4.610,1.719,80.453,2.682,4.610,1.719
8,8,446,429,13,457,444,42,12,16,30,8,8,8,28000,0,3500,12634720,12212400,779800,451.240,436.157,27.850,1579340,1526550,97475,451.240,436.157,27.850,28886.961,8.253,15.666,1.898,28886.961,8.253,15.666,1.898
9,9,1031,536,13,1047,552,47,17,17,35,9,9,9,51300,0,5700,53282610,27954090,1477125,1038.647,544.914,28.794,5920290,3106010,164125,1038.647,544.914,28.794,53390.873,9.367,18.666,1.993,53390.873,9.367,18.666,1.993
10,10,842,542,13,852,552,32,11,11,20,10,10,10,16000,0,1600,13550050,8751900,372750,846.878,546.994,23.297,1355005,875190,37275,846.878,546.994,23.297,9728.024,6.080,11.207,1.843,9728.024,6.080,11.207,1.843
11,11,72,544,13,80,552,37,9,9,25,11,11,11,10670,0,970,815870,5844410,276375,76.464,547.742,25.902,74170,531310,25125,76.464,547.742,25.902,5431.658,5.600,12.972,2.316,5431.658,5.600,12.972,2.316
