 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,552,362,13,571,379,52,20,18,40,1,1,1,5890,0,5890,3307385,2186390,209125,561.525,371.204,35.505,3307385,2186390,209125,561.525,371.204,35.505,57886.549,9.828,22.558,2.295,57886.549,9.828,22.558,2.295
2,2,638,455,13,655,474,68,18,20,56,2,2,2,14880,0,7440,9618144,6925902,588300,646.381,465.450,39.536,4809072,3462951,294150,646.381,465.450,39.536,91810.828,12.340,29.480,2.389,91810.828,12.340,29.480,2.389
3,3,307,566,13,324,587,52,18,22,40,3,3,3,18975,0,6325,5965425,10944840,602400,314.383,576.803,31.747,1988475,3648280,200800,314.383,576.803,31.747,61859.329,9.780,21.313,2.179,61859.329,9.780,21.313,2.179
4,4,295,621,13,306,630,47,12,10,35,4,4,4,8340,0,2085,2506420,5217120,257100,300.530,625.554,30.827,626605,1304280,64275,300.530,625.554,30.827,15843.084,7.599,17.901,2.356,15843.084,7.599,17.901,2.356
5,5,769,655,13,781,667,42,13,13,30,5,5,5,11825,0,2365,9163675,7811325,338250,774.941,660.577,28.605,1832735,1562265,67650,774.941,660.577,28.605,16693.049,7.058,15.735,2.229,16693.049,7.058,15.735,2.229
6,6,963,48,18,976,62,47,14,15,30,6,6,6,21960,0,3660,21280320,1223400,737250,969.049,55.710,33.572,3546720,203900,122875,969.049,55.710,33.572,30261.009,8.268,16.282,1.969,30261.009,8.268,16.282,1.969
7,7,1033,183,18,1042,194,47,10,12,30,7,7,7,13720,0,1960,14232890,2590000,458150,1037.383,188.776,33.393,2033270,370000,65450,1037.383,188.776,33.393,14107.999,7.198,15.808,2.196,14107.999,7.198,15.808,2.196
8,8,845,465,18,855,476,42,11,12,25,8,8,8,13600,0,1700,11555320,6397080,404600,849.656,470.374,29.750,1444415,799635,50575,849.656,470.374,29.750,10579.145,6.223,13.077,2.101,10579.145,6.223,13.077,2.101
9,9,884,470,18,906,484,52,23,15,35,9,9,9,50940,0,5660,45509805,24328890,1803825,893.400,477.599,35.411,5056645,2703210,200425,893.400,477.599,35.411,54914.421,9.702,21.291,2.195,54914.421,9.702,21.291,2.195
10,10,1180,534,18,1196,546,47,17,13,30,10,10,10,35650,0,3565,42345100,19254350,1257750,1187.801,540.094,35.281,4234510,1925435,125775,1187.801,540.094,35.281,28262.707,7.928,17.454,2.202,28262.707,7.928,17.454,2.202
11,11,256,554,18,273,571,52,18,18,35,11,11,11,64570,0,5870,17073870,36287735,2297625,264.424,561.991,35.583,1552170,3298885,208875,264.424,561.991,35.583,56321.309,9.595,18.601,1.939,56321.309,9.595,18.601,1.939
12,12,450,561,18,468,573,42,19,13,25,12,12,12,27720,0,2310,12730740,15687240,843900,459.262,565.918,30.444,1060895,1307270,70325,459.262,565.918,30.444,16210.035,7.017,14.039,2.001,16210.035,7.017,14.039,2.001
13,13,156,656,18,170,667,42,15,12,25,13,13,13,28080,0,2160,4591600,18585905,833950,163.519,661.891,29.699,353200,1429685,64150,163.519,661.891,29.699,15292.707,7.080,14.032,1.982,15292.707,7.080,14.032,1.982
14,14,325,651,18,347,678,52,23,28,35,14,14,14,108990,0,7785,36287370,72492630,3984050,332.942,665.131,36.554,2591955,5178045,284575,332.942,665.131,36.554,79370.287,10.195,19.935,1.955,79370.287,10.195,19.935,1.955
15,15,136,691,18,147,700,37,12,10,20,15,15,15,15825,0,1055,2223375,11013900,451125,140.498,695.981,28.507,148225,734260,30075,140.498,695.981,28.507,5776.472,5.475,10.980,2.005,5776.472,5.475,10.980,2.005
