 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,743,512,8,764,531,42,22,20,35,1,1,1,5400,0,5400,4059595,2801020,139825,751.777,518.707,25.894,4059595,2801020,139825,751.777,518.707,25.894,52692.140,9.758,19.817,2.031,52692.140,9.758,19.817,2.031
2,2,1004,542,8,1016,555,32,13,14,25,2,2,2,5050,0,2525,5099930,2768240,94550,1009.887,548.166,18.723,2549965,1384120,47275,1009.887,548.166,18.723,17251.606,6.832,13.695,2.004,17251.606,6.832,13.695,2.004
3,3,183,559,8,194,572,27,12,14,20,3,3,3,3090,0,1030,582525,1741560,54525,188.519,563.612,17.646,194175,580520,18175,188.519,563.612,17.646,5564.352,5.402,10.286,1.904,5564.352,5.402,10.286,1.904
4,4,604,637,8,615,649,32,12,13,25,4,4,4,8200,0,2050,5000540,5274240,148500,609.822,643.200,18.110,1250135,1318560,37125,609.822,643.200,18.110,13286.955,6.481,14.030,2.165,13286.955,6.481,14.030,2.165
5,5,525,698,8,535,708,27,11,11,20,5,5,5,6500,0,1300,3443225,4570450,105750,529.727,703.146,16.269,688645,914090,21150,529.727,703.146,16.269,7250.157,5.577,11.787,2.114,7250.157,5.577,11.787,2.114
6,6,512,313,13,522,321,32,11,9,20,6,6,6,6420,0,1070,3319140,2037210,133800,517.000,317.322,20.841,553190,339535,22300,517.000,317.322,20.841,5874.593,5.490,11.442,2.084,5874.593,5.490,11.442,2.084
7,7,511,362,13,518,370,32,8,9,20,7,7,7,5180,0,740,2664305,1895775,128275,514.345,365.980,24.764,380615,270825,18325,514.345,365.980,24.764,3675.201,4.966,11.923,2.401,3675.201,4.966,11.923,2.401
8,8,513,429,13,523,440,32,11,12,20,8,8,8,14040,0,1755,7272600,6101200,329800,517.991,434.558,23.490,909075,762650,41225,517.991,434.558,23.490,10831.871,6.172,11.782,1.909,10831.871,6.172,11.782,1.909
9,9,778,513,13,785,526,32,8,14,20,9,9,9,8505,0,945,6642990,4426155,176175,781.069,520.418,20.714,738110,491795,19575,781.069,520.418,20.714,5222.278,5.526,13.537,2.450,5222.278,5.526,13.537,2.450
10,10,528,531,13,536,540,27,9,10,15,10,10,10,5950,0,595,3165700,3183350,106750,532.050,535.017,17.941,316570,318335,10675,532.050,535.017,17.941,2530.896,4.254,9.595,2.256,2530.896,4.254,9.595,2.256
11,11,747,535,13,757,543,27,11,9,15,11,11,11,9900,0,900,7441335,5332800,189750,751.650,538.667,19.167,676485,484800,17250,751.650,538.667,19.167,4538.001,5.042,9.261,1.837,4538.001,5.042,9.261,1.837
12,12,769,541,13,791,557,47,23,17,35,12,12,12,47760,0,3980,37330920,26193540,1363500,781.636,548.441,28.549,3110910,2182795,113625,781.636,548.441,28.549,34225.451,8.599,19.118,2.223,34225.451,8.599,19.118,2.223
13,13,372,573,13,378,580,27,7,8,15,13,13,13,4680,0,360,1753635,2695680,82875,374.708,576.000,17.708,134895,207360,6375,374.708,576.000,17.708,1344.832,3.736,9.849,2.637,1344.832,3.736,9.849,2.637
14,14,507,596,13,509,597,22,3,2,10,14,14,14,560,0,40,284480,334040,9800,508.000,596.500,17.500,20320,23860,700,508.000,596.500,17.500,108.185,2.705,4.637,1.714,108.185,2.705,4.637,1.714
15,15,234,650,13,246,663,32,13,14,20,15,15,15,25350,0,1690,6077850,16655625,540750,239.757,657.027,21.331,405190,1110375,36050,239.757,657.027,21.331,10262.145,6.072,11.796,1.943,10262.145,6.072,11.796,1.943
