 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,687,399,13,706,435,68,20,37,56,1,1,1,15473,0,15473,10783011,6420771,625129,696.892,414.966,40.401,10783011,6420771,625129,696.892,414.966,40.401,211095.425,13.643,31.559,2.313,211095.425,13.643,31.559,2.313
2,2,642,746,13,653,758,42,12,13,30,2,2,2,5290,0,2645,3426210,3978370,158450,647.677,752.055,29.953,1713105,1989185,79225,647.677,752.055,29.953,19620.823,7.418,17.036,2.296,19620.823,7.418,17.036,2.296
3,3,151,1193,13,164,1198,47,14,6,35,3,3,3,4665,0,1555,736665,5580525,152625,157.913,1196.254,32.717,245555,1860175,50875,157.913,1196.254,32.717,12933.471,8.317,20.007,2.406,12933.471,8.317,20.007,2.406
4,4,701,232,18,713,248,47,13,17,30,4,4,4,14260,0,3565,10085700,3426500,495300,707.272,240.288,34.734,2521425,856625,123825,707.272,240.288,34.734,28032.732,7.863,16.784,2.135,28032.732,7.863,16.784,2.135
5,5,838,599,18,855,617,52,18,19,35,5,5,5,33200,0,6640,28114025,20193550,1114125,846.808,608.239,33.558,5622805,4038710,222825,846.808,608.239,33.558,63122.385,9.506,18.994,1.998,63122.385,9.506,18.994,1.998
6,6,1060,710,18,1075,726,52,16,17,35,6,6,6,29100,0,4850,31052910,20874900,1094850,1067.110,717.351,37.624,5175485,3479150,182475,1067.110,717.351,37.624,43391.476,8.947,19.740,2.206,43391.476,8.947,19.740,2.206
7,7,425,780,18,434,789,42,10,10,25,7,7,7,7420,0,1060,3184055,5818505,227850,429.118,784.165,30.708,454865,831215,32550,429.118,784.165,30.708,5555.966,5.241,12.884,2.458,5555.966,5.241,12.884,2.458
8,8,425,955,18,437,969,47,13,15,30,8,8,8,29520,0,3690,12719280,28396680,998600,430.870,961.947,33.828,1589910,3549585,124825,430.870,961.947,33.828,30675.712,8.313,16.419,1.975,30675.712,8.313,16.419,1.975
9,9,21,1110,18,29,1119,42,9,10,25,9,9,9,13005,0,1445,325125,14493195,425475,25.000,1114.433,32.716,36125,1610355,47275,25.000,1114.433,32.716,8947.773,6.192,14.858,2.399,8947.773,6.192,14.858,2.399
10,10,748,88,23,759,97,47,12,10,25,10,10,10,18650,0,1865,14045500,1728450,632250,753.110,92.678,33.901,1404550,172845,63225,753.110,92.678,33.901,12623.478,6.769,13.568,2.004,12623.478,6.769,13.568,2.004
11,11,556,131,23,567,143,47,12,13,25,11,11,11,27445,0,2495,15401045,3754135,966075,561.160,136.788,35.200,1400095,341285,87825,561.160,136.788,35.200,18136.534,7.269,13.517,1.860,18136.534,7.269,13.517,1.860
