 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,702,69,0,712,82,22,11,14,23,1,1,1,2064,0,2064,1459381,156017,18164,707.064,75.590,8.800,1459381,156017,18164,707.064,75.590,8.800,13154.015,6.373,13.295,2.086,13154.015,6.373,13.295,2.086
2,2,887,80,0,895,89,12,9,10,13,2,2,2,1660,0,830,1479006,139474,9320,890.967,84.020,5.614,739503,69737,4660,890.967,84.020,5.614,3867.241,4.659,7.671,1.646,3867.241,4.659,7.671,1.646
3,3,452,86,0,478,108,12,27,23,13,3,3,3,15294,0,5098,7114572,1478289,78684,465.187,96.658,5.145,2371524,492763,26228,465.187,96.658,5.145,45822.892,8.988,16.671,1.855,45822.892,8.988,16.671,1.855
4,4,890,122,0,913,151,22,24,30,23,4,4,4,38620,0,9655,34898412,5305480,358120,903.636,137.376,9.273,8724603,1326370,89530,903.636,137.376,9.273,99799.627,10.337,18.269,1.767,99799.627,10.337,18.269,1.767
5,5,759,124,0,791,158,17,33,35,18,5,5,5,33215,0,6643,25799810,4700950,203965,776.752,141.531,6.141,5159962,940190,40793,776.752,141.531,6.141,82551.463,12.427,23.112,1.860,82551.463,12.427,23.112,1.860
6,6,866,164,0,881,179,17,16,16,18,6,6,6,18024,0,3004,15744924,3079374,136824,873.553,170.849,7.591,2624154,513229,22804,873.553,170.849,7.591,20929.526,6.967,11.816,1.696,20929.526,6.967,11.816,1.696
7,7,591,244,0,601,253,12,11,10,13,7,7,7,4676,0,668,2787288,1161433,17276,596.084,248.382,3.695,398184,165919,2468,596.084,248.382,3.695,2799.523,4.191,8.399,2.004,2799.523,4.191,8.399,2.004
8,8,1065,259,0,1083,282,12,19,24,13,8,8,8,28920,0,3615,31092536,7868672,156080,1075.122,272.084,5.397,3886567,983584,19510,1075.122,272.084,5.397,28168.717,7.792,15.736,2.019,28168.717,7.792,15.736,2.019
9,9,328,268,0,373,303,22,46,36,23,9,9,9,121347,0,13483,43185006,34464240,906597,355.880,284.014,7.471,4798334,3829360,100733,355.880,284.014,7.471,181348.595,13.450,29.021,2.158,181348.595,13.450,29.021,2.158
10,10,922,267,0,934,280,17,13,14,18,10,10,10,18340,0,1834,17019880,5021730,145890,928.020,273.813,7.955,1701988,502173,14589,928.020,273.813,7.955,11147.631,6.078,10.752,1.769,11147.631,6.078,10.752,1.769
11,11,955,270,0,973,294,27,19,25,28,11,11,11,86295,0,7845,83182011,24293764,1064415,963.926,281.520,12.335,7562001,2208524,96765,963.926,281.520,12.335,76431.348,9.743,16.962,1.741,76431.348,9.743,16.962,1.741
12,12,632,307,0,643,315,12,12,9,13,12,12,12,9684,0,807,6172248,3010428,50664,637.366,310.866,5.232,514354,250869,4222,637.366,310.866,5.232,3773.487,4.676,7.973,1.705,3773.487,4.676,7.973,1.705
13,13,432,328,0,463,369,27,32,42,28,13,13,13,259545,0,19965,115711037,90165387,3360890,445.823,347.398,12.949,8900849,6935799,258530,445.823,347.398,12.949,266390.543,13.343,24.238,1.817,266390.543,13.343,24.238,1.817
14,14,1066,372,0,1098,387,27,33,16,28,14,14,14,82922,0,5923,89587106,31432996,1199562,1080.378,379.067,14.466,6399079,2245214,85683,1080.378,379.067,14.466,67752.292,11.439,20.487,1.791,67752.292,11.439,20.487,1.791
15,15,811,413,0,814,418,17,4,6,18,15,15,15,1275,0,85,1036530,528855,7725,812.965,414.788,6.059,69102,35257,515,812.965,414.788,6.059,321.903,3.787,11.128,2.938,321.903,3.787,11.128,2.938
16,16,579,421,0,600,442,17,22,22,18,16,16,16,68480,0,4280,40414656,29498320,410560,590.167,430.758,5.995,2525916,1843645,25660,590.167,430.758,5.995,33737.903,7.883,13.220,1.677,33737.903,7.883,13.220,1.677
17,17,999,427,0,1017,443,17,19,17,18,17,17,17,48144,0,2832,48537244,20930400,308839,1008.168,434.746,6.415,2855132,1231200,18167,1008.168,434.746,6.415,19659.600,6.942,12.154,1.751,19659.600,6.942,12.154,1.751
18,18,531,442,0,555,461,12,25,20,13,18,18,18,48006,0,2667,26042202,21615642,228276,542.478,450.270,4.755,1446789,1200869,12682,542.478,450.270,4.755,22656.263,8.495,15.465,1.820,22656.263,8.495,15.465,1.820
19,19,469,443,0,477,451,12,9,9,13,19,19,19,7695,0,405,3646575,3437632,27550,473.889,446.736,3.580,191925,180928,1450,473.889,446.736,3.580,1467.666,3.624,8.560,2.362,1467.666,3.624,8.560,2.362
20,20,866,447,0,878,460,22,13,14,23,20,20,20,51500,0,2575,44911120,23350440,522000,872.061,453.407,10.136,2245556,1167522,26100,872.061,453.407,10.136,17655.886,6.857,13.044,1.902,17655.886,6.857,13.044,1.902
21,21,980,453,0,1027,524,42,48,72,43,21,21,21,777504,0,37024,781484361,387114441,10902339,1005.119,497.894,14.022,37213541,18434021,519159,1005.119,497.894,14.022,766721.764,20.709,48.563,2.345,766721.764,20.709,48.563,2.345
22,22,124,458,0,144,474,17,21,17,18,22,22,22,73964,0,3362,9910824,34435698,407154,133.995,465.574,5.505,450492,1565259,18507,133.995,465.574,5.505,24340.705,7.240,11.948,1.650,24340.705,7.240,11.948,1.650
23,23,176,459,0,192,474,12,17,16,13,23,23,23,51106,0,2222,9396397,23827517,267076,183.861,466.237,5.226,408539,1035979,11612,183.861,466.237,5.226,13863.157,6.239,10.090,1.617,13863.157,6.239,10.090,1.617
