"Channel","Frame","Filename","expt","Condition","id","cell","mito","cyto","mito_cell","cyto_cell","mito_cyto","tt","area_mito","area_cyto","intden_mito","intden_cyto","frac_mito","frac_mean_mito"
"TPD54",1,"s10_rapalog_xy1-Registered","MF041","rapalog","MF041_s10_rapalog_xy1-Registered",87.569,52.49,75.095,0.599413034292958,0.8575523301625,0.698981290365537,2.1498,1359583,42604,71364511.67,3199347.38,0.957092518805195,0.411411999843242
"TPD54",2,"s10_rapalog_xy1-Registered","MF041","rapalog","MF041_s10_rapalog_xy1-Registered",86.193,51.77,75.184,0.600628821366004,0.87227501073173,0.688577356884444,12.7496,1349938,45027,69886290.26,3385309.968,0.953797788536542,0.407785497109189
"TPD54",3,"s10_rapalog_xy1-Registered","MF041","rapalog","MF041_s10_rapalog_xy1-Registered",85.391,51.2,73.488,0.599594805073134,0.860605918656533,0.696712388417157,23.2541,1346008,48355,68915609.6,3553512.24,0.95096515385069,0.41062491979982
"TPD54",4,"s10_rapalog_xy1-Registered","MF041","rapalog","MF041_s10_rapalog_xy1-Registered",84.506,50.934,71.472,0.602726433626015,0.845762431069983,0.712642713230356,33.8374,1346987,48407,68607435.858,3459745.104,0.951992778712625,0.416107053575805
"TPD54",5,"s10_rapalog_xy1-Registered","MF041","rapalog","MF041_s10_rapalog_xy1-Registered",84.06,50.616,71.508,0.602141327623126,0.850678087080657,0.707836885383453,44.5385,1347013,47998,68180410.008,3432240.984,0.952072141773059,0.41446398742262
"TPD54",6,"s10_rapalog_xy1-Registered","MF041","rapalog","MF041_s10_rapalog_xy1-Registered",81.437,48.491,67.662,0.59544187531466,0.830850841754976,0.716665188732228,54.9918,1349411,47965,65434288.801,3245407.83,0.952745745988995,0.417475226640724
"TPD54",7,"s10_rapalog_xy1-Registered","MF041","rapalog","MF041_s10_rapalog_xy1-Registered",82.929,49.305,68.601,0.594544731034982,0.827225699091994,0.718721301438755,65.6544,1354341,45811,66775783.005,3142680.411,0.955052209996354,0.418172103200855
"TPD54",8,"s10_rapalog_xy1-Registered","MF041","rapalog","MF041_s10_rapalog_xy1-Registered",81.96,49.344,63.592,0.602049780380673,0.775890678379697,0.775946659957227,77.0162,1349910,49158,66609959.04,3126055.536,0.955173011319809,0.436920025501169
"TPD54",9,"s10_rapalog_xy1-Registered","MF041","rapalog","MF041_s10_rapalog_xy1-Registered",81.27,49.356,60.884,0.607308970099668,0.74915713055248,0.810656330070298,87.8291,1354917,46022,66873283.452,2802003.448,0.959784830853707,0.447714078374456
"TPD54",10,"s10_rapalog_xy1-Registered","MF041","rapalog","MF041_s10_rapalog_xy1-Registered",80.658,48.989,59.764,0.607366907188376,0.740955639862134,0.819707516230507,99.0547,1346979,50629,65987154.231,3025791.556,0.956156174446766,0.450461136704275
