batchCurveFitRun0_ResultsCopy
	y0	A	tau	Chi2	y0 Sigma	A Sigma	tau Sigma	XOffset
ATG9_rapalog_0_y	1.703206845820067	-0.6942858915308009	62.73981915650945	0.06091942712883386	0.03387410110501365	0.04370401869938228	10.90257194619933	44.53850173950195
ATG9_rapalog_1_y	1.359219346572942	-0.3394968253555629	53.03166576678944	0.01387671026248626	0.01312007909869877	0.02105894773860288	8.290636383496036	51.37030029296875
ATG9_rapalog_8_y	1.553282342373748	-0.6125103895423035	85.25497827755129	0.01344478804127419	0.02499022786266852	0.02359601127456578	9.841545899586016	44.16360092163086
ATG9_rapalog_9_y	1.625374144015796	-0.6672888145419814	89.59521328593081	0.01054697988660404	0.02401062594478898	0.02201521027961222	8.768900941133808	47.78099822998047
ATG9_rapalog_10_y	145.7299442458843	-144.756660502186	73018.55577052056	0.04618225877839791	28239.88125236792	28239.86062831505	14266399.5732731	51.19290161132812
ATG9_rapalog_11_y	1.95831591896905	-0.9676421147050083	148.7824458612857	0.01440625099382209	0.06703652700597187	0.05870992203605997	20.22887058000804	45.37540054321289
ATG9_rapalog_12_y	1.305909094813007	-0.351153630980598	71.76664599060146	0.009196015914232166	0.01693600145986689	0.0177642718877428	10.72042345990684	41.67440032958984
ATG9_rapalog_13_y	3.016811576916914	-1.995626314079124	76.31310729406627	0.814571576485265	0.1753123699182343	0.1738067956180468	19.78093704668348	44.9739990234375
ATG9_rapalog_14_y	1.297500688800317	-0.3577338294513171	52.34828932503321	0.04433971155539447	0.0242273459965387	0.03732486427790308	13.93112916880621	48.26219940185547
ATG9_rapalog_15_y	1.447628648020845	-0.4920697566464622	211.2049995984869	0.006981131760503764	0.09105108213336829	0.08415623687677189	63.92824840709858	44.8026008605957
ATG9_rapalog_16_y	1.837355034062912	-1.013113465560838	82.64055820553212	0.09358531469715738	0.06085606926521021	0.05965280734416265	14.57882995362193	51.65530014038086
ATG9_rapalog_20_y	1.710728099610339	-0.6690380490152146	55.7744025019016	0.09308304765103462	0.03676276295430444	0.05380159272818926	11.71197066869847	46.05770111083984
ATG9_rapalog_21_y	1.595472618908025	-0.5697825391403261	50.26398297448959	0.2413514455685566	0.0523964339400537	0.08826242522261653	19.12985498173485	49.18000030517578
ATG9_rapalog_24_y	1.918535604521946	-0.9419287811060104	121.0837158191814	0.04007974036330986	0.08681637394295583	0.07470901740177691	23.73306917462295	41.93939971923828
ATG9_rapalog_26_y	1.637599943806569	-0.691016905211894	44.14684788363759	0.1794421399421499	0.0409335092584954	0.07780626295411168	11.62596686283919	42.0177001953125
ATG9_rapalog_27_y	1.33585124239363	-0.3554398686640453	93.17925239002328	0.0297286214822639	0.04699042086346335	0.04115730915252235	31.33821844061482	46.18420028686523
ATG9_rapalog_32_y	1.719684660429894	-0.7157099075911109	73.22064328331692	0.2488278077897728	0.09166315428745109	0.09364697978240931	28.50360951030148	42.11040115356445
ATG9_rapalog_33_y	1.551911421515594	-0.8798779996869079	14.31588586099798	1.809393931383187	0.07709264601439779	0.304528406013831	10.2597341155309	46.57609939575195
ATG9_rapalog_36_y	1.620376065325882	-0.6024160397135988	74.09723121059409	0.03007917353616807	0.02246188503655826	0.03084089518010115	10.19770314765945	57.72859954833984
ATG9_rapalog_37_y	1.423098065448364	-0.3755140943994053	49.93170155234241	0.01570244857890037	0.01069691231567276	0.02396132101002338	6.968111427667381	61.78099822998047
ATG9_rapalog_39_y	1.378357112021559	-0.4030820085724602	53.48170358483493	0.006446598226699844	0.009579394398715999	0.0142420953094181	4.918449704430486	42.40700149536133
ATG9_rapalog_40_y	1.757898922522159	-0.7810947153850231	44.63891661953222	0.04191644352368885	0.02002439026009745	0.0376314614223533	5.050113357494666	46.60559844970703
ATG9_rapalog_42_y	1.51414912283849	-0.4881989852362338	78.70969351534073	0.01293675105714791	0.02339788715588267	0.02247567694036334	10.86821775858857	42.16419982910156
ATG9_rapalog_43_y	1.38202829674446	-0.4277795227173467	48.97241762025759	0.0134077585020404	0.01244580694067878	0.02081911406175057	5.885733957195366	46.61190032958984
ATG9_rapalog_46_y	2.033279262626838	-1.065593881018994	69.94389761283216	0.2795273939976736	0.09065875926635887	0.09701202869169268	18.74372362337484	42.34220123291016
ATG9_rapalog_47_y	1.668666940009546	-0.7398301728423099	103.0845746961515	0.01835381476476042	0.04411781863682634	0.03788813518119756	14.53448051862985	46.8025016784668
ATG9_rapalog_50_y	1.360791464015263	-0.3537028240131868	75.33290664693864	0.01306626605276093	0.02191442228608485	0.02187042125592098	13.90305547762515	41.99739837646484
ATG9_rapalog_53_y	1.38586958144674	-0.4191105744155375	62.92072033031944	0.009887698182003702	0.01462713885812768	0.01768132665538446	7.510744468965275	41.86439895629883
ATG9_rapalog_54_y	1.818978152362358	-0.7442214921324171	58.92522104945571	0.1035807881365465	0.04366110587531315	0.05643454292507401	12.36113179207306	46.93249893188477
ATG9_rapalog_57_y	1.941256732121456	-1.054421183705358	159.8617636553104	1.35389068170784	0.8562326656631368	0.7640788714881867	235.5232148476368	42.01219940185547
ATG9_rapalog_58_y	299.3804690319126	-298.6152490740829	69043.92436197137	0.1712559411139076	54376.60228875883	54376.5615684678	12591829.50917282	45.91279983520508
ATG9_rapalog_63_y	1.774438919031456	-0.7828064152530283	83.38398798046288	0.07859219080272521	0.06362180070923071	0.05849700812529232	18.72641287760408	46.07780075073242
ATG9_rapalog_66_y	1.530022104744648	-0.5604537065162122	73.89094703015321	0.1194552430375592	0.06448870094283264	0.06527345814283747	25.62588294066439	42.2307014465332
ATG9_rapalog_71_y	2.043232829341144	-1.054230015831403	91.11634035206367	0.03361067115362124	0.04807620027920962	0.04255382229924368	10.71006947754552	42.43080139160156
ATG9_rapalog_72_y	1.503084859488185	-0.5795981255691705	49.08118348391691	0.03211633198927884	0.01935174765045795	0.03210123972165071	6.751029506382705	46.83639907836914
ATG9_rapalog_75_y	1.74417401849369	-0.8160639993278712	56.04762340638704	0.02985032008687135	0.02182458295897577	0.03066981729073752	5.612955870317686	42.13890075683594
ATG9_rapalog_76_y	1.519414383542511	-0.5276307617436837	44.70172497611413	0.01351548426779959	0.01138078396635434	0.02141200625123334	4.252483810782801	46.34510040283203
ATG9_rapalog_81_y	1.261089653947604	-0.3427166561989078	30.78886344476809	0.03449933376654049	0.01364766751026459	0.03736669349000465	6.83657259763014	42.09109878540039
ATG9_rapalog_82_y	2.00937955352887	-1.18562335920525	28.08025145783015	0.33912980826718	0.04072825278621001	0.1202546577304325	5.663693258257897	46.09859848022461
ATG9_rapalog_83_y	3.296312613264476	-2.28393814768474	165.5853540679288	0.353748091954476	0.4646373427543113	0.4184558792483539	59.86775946571692	42.06029891967773
ATG9_rapalog_84_y	3.667051666746013	-2.541071242229739	215.8535857227489	0.456936631573482	0.8831288470612866	0.8254800455264646	117.8976696699353	46.24039840698242
ATG9_rapalog_87_y	2.087643107796779	-1.204317251648209	202.6660821188145	0.0453292092792591	0.2453655426547673	0.2276283997336876	66.65485640226177	42.27920150756836
ATG9_rapalog_88_y	2.023686479351112	-1.092058600350243	106.276250997153	0.04862076191431937	0.07572880084803067	0.06483018684477189	17.07523272088158	46.65629959106445
ATG9_norapalog_2_y	1.051289812107497	-0.1489614010654259	27.95792680127394	0.03858583918412754	0.01333294808420784	0.04044818980634657	15.26729319267647	43.37030029296875
								
ATG9_norapalog_4_y	1.065311177482147	-0.09755760202917778	21.55557300870743	0.3979075689907364	0.03906021134735422	0.1362005472106467	60.08310915234247	50.27849960327148
ATG9_norapalog_5_y	1.004260346088841	-0.01280706403494708	0.1802727547151515	0.01718760644860962	0.006725365661866631	0.03081949722176063	5.69510910313702e+24	44.46540069580078
ATG9_norapalog_6_y	1.072305140391421	-0.1382123846230174	208.1666036467261	0.01879178976904511	0.1396762235955102	0.1284935825890353	349.2320742483819	48.00230026245117
ATG9_norapalog_7_y	1.082414727493335	-0.1380850331017828	50.75801080444255	0.1143746792393337	0.03443232933459982	0.06113554797646488	54.08126135956831	51.62210083007812
