 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,699,760,19,720,796,64,22,37,46,1,1,1,12474,0,12474,8846802,9658631,537701,709.219,774.301,43.106,8846802,9658631,537701,709.219,774.301,43.106,155119.645,12.435,24.945,2.006,155119.645,12.435,24.945,2.006
2,2,625,177,27,635,188,49,11,12,23,2,2,2,2998,0,1499,1887502,547468,119748,629.587,182.611,39.943,943751,273734,59874,629.587,182.611,39.943,9686.972,6.462,13.826,2.139,9686.972,6.462,13.826,2.139
3,3,888,359,27,900,372,56,13,14,30,3,3,3,9735,0,3245,8699496,3560052,406755,893.631,365.696,41.783,2899832,1186684,135585,893.631,365.696,41.783,26491.283,8.164,15.732,1.927,26491.283,8.164,15.732,1.927
4,4,487,349,27,519,381,72,33,33,46,4,4,4,69672,0,17418,35161768,25678856,3752576,504.676,368.568,53.861,8790442,6419714,938144,504.676,368.568,53.861,240880.617,13.829,30.345,2.194,240880.617,13.829,30.345,2.194
5,5,694,391,27,720,414,72,27,24,46,5,5,5,43390,0,8678,30782145,17397945,2020620,709.429,400.967,46.569,6156429,3479589,404124,709.429,400.967,46.569,100712.696,11.606,30.158,2.599,100712.696,11.606,30.158,2.599
6,6,771,409,27,790,420,56,20,12,30,6,6,6,20934,0,3489,16371696,8663724,862278,782.062,413.859,41.190,2728616,1443954,143713,782.062,413.859,41.190,30806.218,8.830,18.505,2.096,30806.218,8.830,18.505,2.096
7,7,513,433,27,514,435,49,2,3,23,7,7,7,700,0,100,359317,303905,26572,513.310,434.150,37.960,51331,43415,3796,513.310,434.150,37.960,558.602,5.586,11.104,1.988,558.602,5.586,11.104,1.988
8,8,676,506,27,686,520,56,11,15,30,8,8,8,17760,0,2220,12109288,9081336,715144,681.829,511.336,40.267,1513661,1135167,89393,681.829,511.336,40.267,16345.443,7.363,16.218,2.203,16345.443,7.363,16.218,2.203
9,9,813,505,27,833,525,56,21,21,30,9,9,9,65313,0,7257,53748018,33698781,2784807,822.930,515.958,42.638,5972002,3744309,309423,822.930,515.958,42.638,71931.234,9.912,18.262,1.842,71931.234,9.912,18.262,1.842
10,10,510,545,27,522,556,56,13,12,30,10,10,10,21850,0,2185,11259410,12015380,849620,515.305,549.903,38.884,1125941,1201538,84962,515.305,549.903,38.884,15894.237,7.274,17.466,2.401,15894.237,7.274,17.466,2.401
