 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,710,824,11,729,846,49,20,23,39,1,1,1,6653,0,6653,4795595,5561910,219322,720.817,836.000,32.966,4795595,5561910,219322,720.817,836.000,32.966,69463.449,10.441,23.392,2.240,69463.449,10.441,23.392,2.240
2,2,855,932,11,861,937,33,7,6,23,2,2,2,980,0,490,840704,916088,24560,857.861,934.784,25.061,420352,458044,12280,857.861,934.784,25.061,2478.446,5.058,14.109,2.789,2478.446,5.058,14.109,2.789
3,3,418,277,19,425,286,41,8,10,23,3,3,3,3330,0,1110,1401672,937515,104940,420.923,281.536,31.514,467224,312505,34980,420.923,281.536,31.514,6934.220,6.247,13.036,2.087,6934.220,6.247,13.036,2.087
4,4,364,284,19,375,291,49,12,8,31,4,4,4,5912,0,1478,2182992,1699684,186544,369.248,287.497,31.553,545748,424921,46636,369.248,287.497,31.553,10018.831,6.779,17.556,2.590,10018.831,6.779,17.556,2.590
5,5,248,286,19,254,292,41,7,7,23,5,5,5,4360,0,872,1093000,1259200,132600,250.688,288.807,30.413,218600,251840,26520,250.688,288.807,30.413,5552.649,6.368,12.057,1.893,5552.649,6.368,12.057,1.893
6,6,502,311,19,515,321,49,14,11,31,6,6,6,15222,0,2537,7748688,4816824,502092,509.045,316.438,32.985,1291448,802804,83682,509.045,316.438,32.985,19532.372,7.699,16.694,2.168,19532.372,7.699,16.694,2.168
7,7,578,318,19,584,324,41,7,7,23,7,7,7,3122,0,446,1813672,1002974,96600,580.933,321.260,30.942,259096,143282,13800,580.933,321.260,30.942,2570.464,5.763,12.721,2.207,2570.464,5.763,12.721,2.207
8,8,442,376,19,450,385,41,9,10,23,8,8,8,10216,0,1277,4551952,3884664,333360,445.571,380.253,32.631,568994,485583,41670,445.571,380.253,32.631,7647.077,5.988,13.978,2.334,7647.077,5.988,13.978,2.334
9,9,476,400,19,487,411,41,12,12,23,9,9,9,15849,0,1761,7643691,6431229,528930,482.282,405.781,33.373,849299,714581,58770,482.282,405.781,33.373,10872.801,6.174,15.416,2.497,10872.801,6.174,15.416,2.497
10,10,515,406,19,524,415,41,10,10,23,10,10,10,15120,0,1512,7850860,6209450,478200,519.237,410.678,31.627,785086,620945,47820,519.237,410.678,31.627,9787.799,6.473,13.368,2.065,9787.799,6.473,13.368,2.065
11,11,692,426,19,695,431,33,4,6,15,11,11,11,3465,0,315,2403225,1485165,90090,693.571,428.619,26.000,218475,135015,8190,693.571,428.619,26.000,1363.241,4.328,7.531,1.740,1363.241,4.328,7.531,1.740
12,12,471,421,19,494,438,56,24,18,38,12,12,12,90972,0,7581,43840860,39061872,3667260,481.916,429.383,40.312,3653405,3255156,305605,481.916,429.383,40.312,76754.729,10.125,21.422,2.116,76754.729,10.125,21.422,2.116
13,13,878,435,19,881,439,33,4,5,15,13,13,13,2340,0,180,2057640,1022970,60840,879.333,437.167,26.000,158280,78690,4680,879.333,437.167,26.000,745.193,4.140,7.335,1.772,745.193,4.140,7.335,1.772
14,14,506,470,19,521,490,49,16,21,31,14,14,14,47222,0,3373,24211726,22581048,1650516,512.721,478.189,34.952,1729409,1612932,117894,512.721,478.189,34.952,28918.916,8.574,17.582,2.051,28918.916,8.574,17.582,2.051
15,15,720,489,19,727,497,41,8,9,23,15,15,15,13830,0,922,10003485,6818475,421200,723.318,493.021,30.456,666899,454565,28080,723.318,493.021,30.456,5834.186,6.328,12.072,1.908,5834.186,6.328,12.072,1.908
16,16,573,525,19,577,534,41,5,10,23,16,16,16,13296,0,831,7641248,7038992,400800,574.703,529.407,30.144,477578,439937,25050,574.703,529.407,30.144,5315.456,6.396,12.174,1.903,5315.456,6.396,12.174,1.903
17,17,738,537,19,758,554,41,21,18,23,17,17,17,77554,0,4562,58110029,42331275,2419440,749.285,545.830,31.197,3418237,2490075,142320,749.285,545.830,31.197,38588.543,8.459,16.490,1.950,38588.543,8.459,16.490,1.950
18,18,710,549,19,711,550,33,2,2,15,18,18,18,540,0,30,383670,296730,14040,710.500,549.500,26.000,21315,16485,780,710.500,549.500,26.000,115.883,3.863,7.036,1.821,115.883,3.863,7.036,1.821
19,19,759,550,19,776,568,49,18,19,31,19,19,19,90326,0,4754,69360887,50436412,2797788,767.895,558.382,30.974,3650573,2654548,147252,767.895,558.382,30.974,40127.192,8.441,18.112,2.146,40127.192,8.441,18.112,2.146
20,20,124,554,19,134,566,49,11,13,31,20,20,20,46740,0,2337,5999920,26194060,1615480,128.368,560.421,34.563,299996,1309703,80774,128.368,560.421,34.563,18170.375,7.775,16.395,2.109,18170.375,7.775,16.395,2.109
21,21,683,564,19,694,575,41,12,12,23,21,21,21,43659,0,2079,30062088,24865806,1321110,688.566,569.546,30.260,1431528,1184086,62910,688.566,569.546,30.260,14810.692,7.124,12.974,1.821,14810.692,7.124,12.974,1.821
22,22,925,563,19,940,581,49,16,19,31,22,22,22,110088,0,5004,102670810,62973856,4058648,932.625,572.032,36.867,4666855,2862448,184484,932.625,572.032,36.867,45002.742,8.993,18.568,2.065,45002.742,8.993,18.568,2.065
23,23,598,644,19,606,656,41,9,13,23,23,23,23,42113,0,1831,25380454,27346885,1286850,602.675,649.369,30.557,1103498,1188995,55950,602.675,649.369,30.557,12870.261,7.029,13.525,1.924,12870.261,7.029,13.525,1.924
24,24,802,673,19,811,682,41,10,10,23,24,24,24,34176,0,1424,27569304,23142504,1067040,806.686,677.157,31.222,1148721,964271,44460,806.686,677.157,31.222,9344.516,6.562,13.012,1.983,9344.516,6.562,13.012,1.983
25,25,499,694,19,507,700,41,9,7,23,25,25,25,22750,0,910,11432850,15864075,727500,502.543,697.322,31.978,457314,634563,29100,502.543,697.322,31.978,5419.535,5.956,13.557,2.276,5419.535,5.956,13.557,2.276
26,26,498,708,19,510,717,41,13,10,23,26,26,26,33956,0,1306,17096040,24192038,887640,503.476,712.453,26.141,657540,930463,34140,503.476,712.453,26.141,7439.658,5.697,15.132,2.656,7439.658,5.697,15.132,2.656
27,27,272,728,19,288,742,49,17,15,31,27,27,27,134352,0,4976,37635597,98774559,4584600,280.127,735.192,34.124,1393911,3658317,169800,280.127,735.192,34.124,45790.677,9.202,17.036,1.851,45790.677,9.202,17.036,1.851
28,28,442,763,19,468,791,72,27,29,54,28,28,28,271292,0,9689,123596004,210976920,12900412,455.583,777.675,47.552,4414143,7534890,460729,455.583,777.675,47.552,136450.228,14.083,32.550,2.311,136450.228,14.083,32.550,2.311
29,29,152,766,19,167,786,49,16,21,31,29,29,29,145348,0,5012,23027653,112736108,5196800,158.431,775.629,35.754,794057,3887452,179200,158.431,775.629,35.754,47018.965,9.381,18.569,1.979,47018.965,9.381,18.569,1.979
30,30,699,773,19,711,785,49,13,13,31,30,30,30,80610,0,2687,56740950,62836020,2620380,703.895,779.507,32.507,1891365,2094534,87346,703.895,779.507,32.507,21361.814,7.950,17.627,2.217,21361.814,7.950,17.627,2.217
31,31,390,773,19,429,812,64,40,40,46,31,31,31,362452,0,11692,148740015,286896413,14960197,410.372,791.543,41.275,4798065,9254723,482587,410.372,791.543,41.275,184374.485,15.769,30.738,1.949,184374.485,15.769,30.738,1.949
