 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,451,250,27,464,266,49,14,17,23,1,1,1,2314,0,2314,1059507,592202,92972,457.868,255.921,40.178,1059507,592202,92972,457.868,255.921,40.178,16578.816,7.165,13.913,1.942,16578.816,7.165,13.913,1.942
2,2,796,280,27,811,302,56,16,23,30,2,2,2,7504,0,3752,6034314,2192808,309286,804.146,292.219,41.216,3017157,1096404,154643,804.146,292.219,41.216,34052.216,9.076,19.563,2.156,34052.216,9.076,19.563,2.156
3,3,453,300,27,471,328,49,19,29,23,3,3,3,13197,0,4399,6102342,4132953,539418,462.404,313.174,40.874,2034114,1377651,179806,462.404,313.174,40.874,43448.878,9.877,17.789,1.801,43448.878,9.877,17.789,1.801
4,4,930,459,27,946,472,49,17,14,23,4,4,4,10396,0,2599,9745092,4827820,382728,937.389,464.392,36.815,2436273,1206955,95682,937.389,464.392,36.815,20405.809,7.851,15.722,2.002,20405.809,7.851,15.722,2.002
5,5,925,481,27,938,494,49,14,14,23,5,5,5,13340,0,2668,12417005,6515945,508700,930.810,488.452,38.133,2483401,1303189,101740,930.810,488.452,38.133,20094.463,7.532,13.720,1.822,20094.463,7.532,13.720,1.822
6,6,483,484,27,491,491,49,9,8,23,6,6,6,6072,0,1012,2956260,2958948,222072,486.868,487.310,36.573,492710,493158,37012,486.868,487.310,36.573,6286.427,6.212,13.081,2.106,6286.427,6.212,13.081,2.106
7,7,1021,503,27,1029,510,49,9,8,23,7,7,7,6895,0,985,7066017,3494554,277690,1024.803,506.824,40.274,1009431,499222,39670,1024.803,506.824,40.274,5726.541,5.814,13.689,2.355,5726.541,5.814,13.689,2.355
8,8,387,514,27,398,523,49,12,10,23,8,8,8,13480,0,1685,5291936,6990968,497264,392.577,518.618,36.889,661492,873871,62158,392.577,518.618,36.889,11354.987,6.739,13.368,1.984,11354.987,6.739,13.368,1.984
9,9,837,526,27,847,535,49,11,10,23,9,9,9,7020,0,780,5903280,3731508,249372,840.923,531.554,35.523,655920,414612,27708,840.923,531.554,35.523,5057.391,6.484,14.241,2.196,5057.391,6.484,14.241,2.196
10,10,407,545,27,414,552,49,8,8,23,10,10,10,7910,0,791,3244380,4335960,314580,410.162,548.162,39.770,324438,433596,31458,410.162,548.162,39.770,4639.324,5.865,12.979,2.213,4639.324,5.865,12.979,2.213
11,11,419,546,27,425,551,49,7,6,23,11,11,11,6336,0,576,2676047,3475065,227568,422.356,548.464,35.917,243277,315915,20688,422.356,548.464,35.917,3217.557,5.586,13.243,2.371,3217.557,5.586,13.243,2.371
12,12,956,555,27,966,568,56,11,14,30,12,12,12,27864,0,2322,26773788,15657108,1174128,960.874,561.912,42.138,2231149,1304759,97844,960.874,561.912,42.138,17467.654,7.523,15.681,2.084,17467.654,7.523,15.681,2.084
