 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,604,402,19,732,524,102,129,123,84,1,1,1,111863,0,111863,74131533,53910611,6239431,662.699,481.934,55.777,74131533,53910611,6239431,662.699,481.934,55.777,4568943.897,40.844,96.838,2.371,4568943.897,40.844,96.838,2.371
2,2,476,475,19,511,493,117,36,19,99,2,2,2,35216,0,17608,17337634,17049476,2169508,492.323,484.140,61.606,8668817,8524738,1084754,492.323,484.140,61.606,420865.857,23.902,57.755,2.416,420865.857,23.902,57.755,2.416
3,3,418,198,27,434,210,56,17,13,30,3,3,3,11124,0,3708,4745916,2270052,463578,426.638,204.068,41.674,1581972,756684,154526,426.638,204.068,41.674,31269.449,8.433,15.990,1.896,31269.449,8.433,15.990,1.896
4,4,739,283,27,745,291,49,7,9,23,4,4,4,3256,0,814,2416648,934692,134480,742.214,287.068,41.302,604162,233673,33620,742.214,287.068,41.302,4231.453,5.198,14.354,2.761,4231.453,5.198,14.354,2.761
5,5,447,336,27,458,354,56,12,19,30,5,5,5,14625,0,2925,6612030,5070370,648525,452.105,346.692,44.344,1322406,1014074,129705,452.105,346.692,44.344,23512.757,8.039,17.905,2.227,23512.757,8.039,17.905,2.227
6,6,757,355,27,763,362,49,7,8,23,6,6,6,4878,0,813,3705624,1746750,189012,759.661,358.087,38.748,617604,291125,31502,759.661,358.087,38.748,5014.046,6.167,12.400,2.011,5014.046,6.167,12.400,2.011
7,7,774,374,27,787,393,64,14,20,38,7,7,7,29659,0,4237,23146753,11356681,1327305,780.429,382.908,44.752,3306679,1622383,189615,780.429,382.908,44.752,36388.409,8.588,19.530,2.274,36388.409,8.588,19.530,2.274
8,8,820,385,27,832,402,64,13,18,38,8,8,8,29576,0,3697,24443728,11638616,1291872,826.472,393.516,43.680,3055466,1454827,161484,826.472,393.516,43.680,34379.194,9.299,21.479,2.310,34379.194,9.299,21.479,2.310
9,9,559,415,27,576,437,56,18,23,30,9,9,9,53667,0,5963,30436128,22836438,2388087,567.129,425.521,44.498,3381792,2537382,265343,567.129,425.521,44.498,54792.231,9.189,18.807,2.047,54792.231,9.189,18.807,2.047
10,10,444,448,27,455,461,56,12,14,30,10,10,10,20830,0,2083,9353720,9473230,849150,449.050,454.788,40.766,935372,947323,84915,449.050,454.788,40.766,14806.604,7.108,15.973,2.247,14806.604,7.108,15.973,2.247
11,11,538,485,27,584,504,64,47,20,38,11,11,11,158312,0,14392,89415172,78204819,7777682,564.804,493.992,49.129,8128652,7109529,707062,564.804,493.992,49.129,193651.367,13.455,31.916,2.372,193651.367,13.455,31.916,2.372
12,12,573,533,27,589,546,64,17,14,38,12,12,12,65412,0,5451,38007396,35257212,2974068,581.046,539.002,45.467,3167283,2938101,247839,581.046,539.002,45.467,55148.722,10.117,19.992,1.976,55148.722,10.117,19.992,1.976
13,13,721,579,27,737,589,56,17,11,30,13,13,13,30667,0,2359,22397414,17893265,1378338,730.343,583.470,44.945,1722878,1376405,106026,730.343,583.470,44.945,17964.836,7.615,18.087,2.375,17964.836,7.615,18.087,2.375
14,14,553,606,27,562,615,49,10,10,23,14,14,14,15204,0,1086,8482810,9272774,628712,557.933,609.890,41.352,605915,662341,44908,557.933,609.890,41.352,5999.820,5.525,14.419,2.610,5999.820,5.525,14.419,2.610
15,15,701,609,27,722,627,64,22,19,38,15,15,15,92430,0,6162,65878125,56975235,4263330,712.735,616.415,46.125,4391875,3798349,284222,712.735,616.415,46.125,62148.920,10.086,19.983,1.981,62148.920,10.086,19.983,1.981
16,16,536,723,27,544,728,49,9,6,23,16,16,16,12960,0,810,6993024,9399360,492544,539.585,725.259,38.005,437064,587460,30784,539.585,725.259,38.005,4973.786,6.140,11.924,1.942,4973.786,6.140,11.924,1.942
17,17,825,765,27,830,769,41,6,5,15,17,17,17,5100,0,300,4219740,3912210,173400,827.400,767.100,34.000,248220,230130,10200,827.400,767.100,34.000,1294.142,4.314,7.548,1.750,1294.142,4.314,7.548,1.750
18,18,422,826,27,436,836,56,15,11,30,18,18,18,39366,0,2187,16847532,32689170,1567332,427.972,830.391,39.814,935974,1816065,87074,427.972,830.391,39.814,16275.659,7.442,16.850,2.264,16275.659,7.442,16.850,2.264
19,19,697,1000,27,706,1007,56,10,8,30,19,19,19,25061,0,1319,17577603,25151801,983440,701.393,1003.623,39.242,925137,1323779,51760,701.393,1003.623,39.242,8918.851,6.762,16.847,2.491,8918.851,6.762,16.847,2.491
20,20,563,1014,27,568,1023,49,6,10,23,20,20,20,13000,0,650,7355600,13231640,529840,565.815,1017.818,40.757,367780,661582,26492,565.815,1017.818,40.757,3542.105,5.449,14.160,2.598,3542.105,5.449,14.160,2.598
21,21,555,1019,27,558,1026,49,4,8,23,21,21,21,9366,0,446,5211528,9575265,385308,556.430,1022.343,41.139,248168,455965,18348,556.430,1022.343,41.139,2223.215,4.985,14.209,2.851,2223.215,4.985,14.209,2.851
22,22,427,219,34,434,222,49,8,4,16,22,22,22,7392,0,336,3183136,1631520,306768,430.619,220.714,41.500,144688,74160,13944,430.619,220.714,41.500,1588.580,4.728,8.426,1.782,1588.580,4.728,8.426,1.782
23,23,484,242,34,493,252,64,10,11,31,23,23,23,47449,0,2063,23182873,11716729,2284797,488.585,246.933,48.153,1007951,509423,99339,488.585,246.933,48.153,15896.665,7.706,16.322,2.118,15896.665,7.706,16.322,2.118
24,24,773,329,34,780,335,56,8,7,23,24,24,24,18456,0,769,14336496,6128544,779448,776.793,332.062,42.233,597354,255356,32477,776.793,332.062,42.233,4144.139,5.389,13.924,2.584,4144.139,5.389,13.924,2.584
25,25,520,346,34,529,355,64,10,10,31,25,25,25,46350,0,1854,24328450,16240150,2296450,524.886,350.381,49.546,973138,649606,91858,524.886,350.381,49.546,14645.213,7.899,16.106,2.039,14645.213,7.899,16.106,2.039
26,26,633,376,34,633,376,49,1,1,16,26,26,26,416,0,16,263328,156416,17264,633.000,376.000,41.500,10128,6016,664,633.000,376.000,41.500,64.000,4.000,7.500,1.875,64.000,4.000,7.500,1.875
27,27,502,380,34,542,400,64,41,21,31,27,27,27,138807,0,5141,72308727,53919351,6652827,520.930,388.448,47.929,2678101,1997013,246401,520.930,388.448,47.929,60904.138,11.847,25.376,2.142,60904.138,11.847,25.376,2.142
28,28,721,403,34,721,404,49,1,2,16,28,28,28,896,0,32,646016,361536,37184,721.000,403.500,41.500,23072,12912,1328,721.000,403.500,41.500,129.838,4.057,7.517,1.853,129.838,4.057,7.517,1.853
29,29,672,453,34,675,457,56,4,5,23,29,29,29,6670,0,230,4495435,3035488,282402,673.978,455.096,42.339,155015,104672,9738,673.978,455.096,42.339,1106.987,4.813,13.833,2.874,1106.987,4.813,13.833,2.874
30,30,693,475,34,695,478,56,3,4,23,30,30,30,5790,0,193,4019610,2757570,259110,694.233,476.264,44.751,133987,91919,8637,694.233,476.264,44.751,1083.336,5.613,11.408,2.032,1083.336,5.613,11.408,2.032
31,31,800,544,34,805,553,56,6,10,23,31,31,31,24459,0,789,19635617,13413948,1022535,802.797,548.426,41.806,633407,432708,32985,802.797,548.426,41.806,4174.957,5.291,14.267,2.696,4174.957,5.291,14.267,2.696
32,32,512,562,34,523,570,56,12,9,23,32,32,32,41408,0,1294,21446144,23431296,1961280,517.923,565.864,47.365,670192,732228,61290,517.923,565.864,47.365,7947.107,6.142,14.019,2.283,7947.107,6.142,14.019,2.283
33,33,479,608,34,487,615,56,9,8,23,33,33,33,33858,0,1026,16364370,20716047,1577070,483.324,611.851,46.579,495890,627759,47790,483.324,611.851,46.579,6316.064,6.156,13.035,2.117,6316.064,6.156,13.035,2.117
34,34,844,635,34,850,643,56,7,9,23,34,34,34,38148,0,1122,32326758,24377252,1747260,847.404,639.018,45.802,950787,716978,51390,847.404,639.018,45.802,7265.790,6.476,12.558,1.939,7265.790,6.476,12.558,1.939
35,35,908,649,34,914,655,56,7,7,23,35,35,35,21665,0,619,19737095,14130795,1035825,911.013,652.241,47.811,563917,403737,29595,911.013,652.241,47.811,3309.226,5.346,14.026,2.624,3309.226,5.346,14.026,2.624
36,36,552,665,34,564,678,56,13,14,23,36,36,36,84456,0,2346,47159280,56637360,3685752,558.389,670.614,43.641,1309980,1573260,102382,558.389,670.614,43.641,16883.635,7.197,13.903,1.932,16883.635,7.197,13.903,1.932
37,37,851,682,34,860,690,56,10,9,23,37,37,37,47138,0,1274,40345059,32333227,2124170,855.892,685.927,45.063,1090407,873871,57410,855.892,685.927,45.063,8512.955,6.682,12.273,1.837,8512.955,6.682,12.273,1.837
38,38,297,756,34,313,770,79,17,15,46,38,38,38,136458,0,3591,41483954,104009078,7669806,304.005,762.206,56.206,1091683,2737081,201837,304.005,762.206,56.206,33902.314,9.441,24.256,2.569,33902.314,9.441,24.256,2.569
39,39,437,252,42,446,259,64,10,8,23,39,39,39,36387,0,933,16068936,9311679,1804491,441.612,255.907,49.592,412024,238761,46269,441.612,255.907,49.592,5026.856,5.388,14.949,2.775,5026.856,5.388,14.949,2.775
40,40,765,302,42,768,305,56,4,4,15,40,40,40,7200,0,180,5518200,2187000,352800,766.417,303.750,49.000,137955,54675,8820,766.417,303.750,49.000,738.616,4.103,7.250,1.767,738.616,4.103,7.250,1.767
41,41,616,367,42,625,377,64,10,11,23,41,41,41,61008,0,1488,37878670,22710802,3326904,620.880,372.259,54.532,923870,553922,81144,620.880,372.259,54.532,9694.380,6.515,13.446,2.064,9694.380,6.515,13.446,2.064
42,42,582,404,42,589,410,64,8,7,23,42,42,42,30996,0,738,18147234,12622512,1743588,585.470,407.230,56.252,432077,300536,41514,585.470,407.230,56.252,3890.979,5.272,14.928,2.831,3890.979,5.272,14.928,2.831
43,43,503,426,42,510,431,56,8,6,15,43,43,43,20640,0,480,10456740,8839080,1011360,506.625,428.250,49.000,243180,205560,23520,506.625,428.250,49.000,2222.625,4.630,7.981,1.724,2222.625,4.630,7.981,1.724
44,44,499,437,42,506,444,56,8,8,15,44,44,44,25740,0,585,12923460,11353320,1261260,502.077,441.077,49.000,293715,258030,28665,502.077,441.077,49.000,2778.926,4.750,8.363,1.760,2778.926,4.750,8.363,1.760
45,45,509,438,42,513,439,56,5,2,15,45,45,45,4725,0,105,2415150,2071575,231525,511.143,438.429,49.000,53670,46035,5145,511.143,438.429,49.000,427.389,4.070,7.333,1.802,427.389,4.070,7.333,1.802
46,46,289,462,42,295,467,56,7,6,15,46,46,46,20700,0,450,6038190,9617910,1014300,291.700,464.633,49.000,131265,209085,22050,291.700,464.633,49.000,2033.724,4.519,7.867,1.741,2033.724,4.519,7.867,1.741
47,47,638,539,42,646,549,64,9,11,23,47,47,47,70171,0,1493,45021770,38227403,3795203,641.601,544.775,54.085,957910,813349,80749,641.601,544.775,54.085,9878.638,6.617,13.064,1.974,9878.638,6.617,13.064,1.974
48,48,653,554,42,660,559,56,8,6,15,48,48,48,22320,0,465,14649840,12428640,1093680,656.355,556.839,49.000,305205,258930,22785,656.355,556.839,49.000,2136.257,4.594,7.977,1.736,2136.257,4.594,7.977,1.736
49,49,600,567,42,605,573,56,6,7,15,49,49,49,24990,0,510,15060885,14244300,1224510,602.676,570.000,49.000,307365,290700,24990,602.676,570.000,49.000,2341.247,4.591,7.962,1.734,2341.247,4.591,7.962,1.734
50,50,439,569,42,447,578,64,9,10,23,50,50,50,45050,0,901,19944050,25841700,2558650,442.709,573.623,56.796,398881,516834,51173,442.709,573.623,56.796,4662.724,5.175,15.029,2.904,4662.724,5.175,15.029,2.904
