 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,706,554,34,714,563,64,9,10,31,1,1,1,1183,0,1183,839701,661219,58795,709.806,558.934,49.700,839701,661219,58795,709.806,558.934,49.700,6742.408,5.699,15.701,2.755,6742.408,5.699,15.701,2.755
2,2,719,653,34,729,662,64,11,10,31,2,2,2,3150,0,1575,2281048,2072074,162246,724.142,657.801,51.507,1140524,1036037,81123,724.142,657.801,51.507,10587.553,6.722,17.546,2.610,10587.553,6.722,17.546,2.610
3,3,811,292,42,819,303,64,9,12,23,3,3,3,4848,0,1616,3949230,1436889,261984,814.610,296.388,54.040,1316410,478963,87328,814.610,296.388,54.040,10934.122,6.766,13.035,1.927,10934.122,6.766,13.035,1.927
4,4,724,376,42,742,406,79,19,31,38,4,4,4,22320,0,5580,16378664,8705684,1294868,733.811,390.040,58.014,4094666,2176421,323717,733.811,390.040,58.014,65923.933,11.814,25.344,2.145,65923.933,11.814,25.344,2.145
5,5,751,393,42,768,401,64,18,9,23,5,5,5,5370,0,1074,4083375,2128825,304710,760.405,396.429,56.743,816675,425765,60942,760.405,396.429,56.743,6647.832,6.190,16.436,2.655,6647.832,6.190,16.436,2.655
6,6,775,407,42,787,423,72,13,17,31,6,6,6,16914,0,2819,13195668,7004490,997218,780.162,414.124,58.958,2199278,1167415,166203,780.162,414.124,58.958,21711.666,7.702,17.489,2.271,21711.666,7.702,17.489,2.271
7,7,990,438,42,992,438,56,3,1,15,7,7,7,315,0,45,312165,137970,15435,991.000,438.000,49.000,44595,19710,2205,991.000,438.000,49.000,174.754,3.883,7.071,1.821,174.754,3.883,7.071,1.821
8,8,787,442,42,797,456,64,11,15,23,8,8,8,8456,0,1057,6694368,3795112,455368,791.671,448.807,53.851,836796,474389,56921,791.671,448.807,53.851,7205.663,6.817,14.118,2.071,7205.663,6.817,14.118,2.071
9,9,754,512,42,765,521,64,12,10,23,9,9,9,14085,0,1565,10692693,7265664,782145,759.155,515.844,55.530,1188077,807296,86905,759.155,515.844,55.530,9794.797,6.259,13.941,2.228,9794.797,6.259,13.941,2.228
10,10,841,514,42,853,529,72,13,16,31,10,10,10,30940,0,3094,26231090,16103990,1804980,847.805,520.491,58.338,2623109,1610399,180498,847.805,520.491,58.338,26337.984,8.513,18.263,2.145,26337.984,8.513,18.263,2.145
