 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,356,283,4,370,297,41,15,15,38,1,1,1,5549,0,5549,2009865,1611914,125095,362.203,290.487,22.544,2009865,1611914,125095,362.203,290.487,22.544,57441.070,10.352,19.867,1.919,57441.070,10.352,19.867,1.919
2,2,664,34,11,674,42,41,11,9,31,2,2,2,3214,0,1607,2149154,121828,86436,668.685,37.905,26.894,1074577,60914,43218,668.685,37.905,26.894,12602.264,7.842,16.352,2.085,12602.264,7.842,16.352,2.085
3,3,946,52,11,954,62,41,9,11,31,3,3,3,5052,0,1684,4799523,287583,127488,950.024,56.925,25.235,1599841,95861,42496,950.024,56.925,25.235,12432.430,7.383,16.275,2.205,12432.430,7.383,16.275,2.205
4,4,286,157,11,298,167,41,13,11,31,4,4,4,9488,0,2372,2766516,1537160,276768,291.581,162.011,29.170,691629,384290,69192,291.581,162.011,29.170,17875.953,7.536,18.598,2.468,17875.953,7.536,18.598,2.468
5,5,52,172,11,61,181,41,10,10,31,5,5,5,5620,0,1124,318420,989460,147180,56.658,176.060,26.189,63684,197892,29436,56.658,176.060,26.189,8150.731,7.252,16.206,2.235,8150.731,7.252,16.206,2.235
6,6,545,181,11,556,197,41,12,17,31,6,6,6,23676,0,3946,13030458,4474902,650616,550.366,189.006,27.480,2171743,745817,108436,550.366,189.006,27.480,35855.177,9.086,17.612,1.938,35855.177,9.086,17.612,1.938
7,7,361,207,11,395,229,49,35,23,39,7,7,7,93394,0,13342,35045031,20285034,2763348,375.239,217.198,29.588,5006433,2897862,394764,375.239,217.198,29.588,170192.071,12.756,23.445,1.838,170192.071,12.756,23.445,1.838
8,8,969,228,11,973,232,33,5,5,23,8,8,8,3032,0,379,2944904,696440,64464,971.274,229.697,21.261,368113,87055,8058,971.274,229.697,21.261,2229.970,5.884,11.936,2.029,2229.970,5.884,11.936,2.029
9,9,579,246,11,588,257,41,10,12,31,9,9,9,19863,0,2207,11586897,4995531,506826,583.341,251.499,25.516,1287433,555059,56314,583.341,251.499,25.516,17712.158,8.025,16.516,2.058,17712.158,8.025,16.516,2.058
10,10,903,324,11,918,339,49,16,16,39,10,10,10,50510,0,5051,45998380,16778800,1425740,910.679,332.188,28.227,4599838,1677880,142574,910.679,332.188,28.227,48940.460,9.689,22.046,2.275,48940.460,9.689,22.046,2.275
11,11,346,389,11,356,401,41,11,13,31,11,11,11,26829,0,2439,9402096,10589370,695222,350.445,394.699,25.913,854736,962670,63202,350.445,394.699,25.913,19902.293,8.160,16.196,1.985,19902.293,8.160,16.196,1.985
12,12,576,411,11,587,423,41,12,13,31,12,12,12,36408,0,3034,21170424,15185652,927312,581.477,417.097,25.470,1764202,1265471,77276,581.477,417.097,25.470,25977.634,8.562,16.969,1.982,25977.634,8.562,16.969,1.982
13,13,714,448,11,724,457,41,11,10,31,13,13,13,31005,0,2385,22281415,14026571,833170,718.639,452.397,26.872,1713955,1078967,64090,718.639,452.397,26.872,19418.105,8.142,16.607,2.040,19418.105,8.142,16.607,2.040
14,14,613,449,11,623,461,49,11,13,39,14,14,14,38808,0,2772,23995230,17659152,1230768,618.306,455.039,31.714,1713945,1261368,87912,618.306,455.039,31.714,24664.063,8.898,21.358,2.400,24664.063,8.898,21.358,2.400
15,15,801,485,11,811,494,41,11,10,31,15,15,15,26340,0,1756,21222765,12890310,594540,805.724,489.382,22.572,1414851,859354,39636,805.724,489.382,22.572,12201.624,6.949,18.868,2.715,12201.624,6.949,18.868,2.715
