 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,700,502,4,716,516,41,17,15,38,1,1,1,4550,0,4550,3223044,2319187,112952,708.361,509.711,24.825,3223044,2319187,112952,708.361,509.711,24.825,41708.095,9.167,21.315,2.325,41708.095,9.167,21.315,2.325
2,2,118,77,11,127,86,56,10,10,46,2,2,2,4276,0,2138,522872,347138,149722,122.281,81.183,35.014,261436,173569,74861,122.281,81.183,35.014,20746.214,9.704,24.123,2.486,20746.214,9.704,24.123,2.486
3,3,638,355,11,661,386,56,24,32,46,3,3,3,37341,0,12447,24221925,13939311,1103961,648.668,373.298,29.564,8073975,4646437,367987,648.668,373.298,29.564,150690.725,12.107,28.086,2.320,150690.725,12.107,28.086,2.320
4,4,719,373,11,736,392,56,18,20,46,4,4,4,31452,0,7863,22889796,12020260,1104688,727.769,382.178,35.123,5722449,3005065,276172,727.769,382.178,35.123,83756.645,10.652,24.664,2.315,83756.645,10.652,24.664,2.315
5,5,798,407,11,807,413,41,10,7,31,5,5,5,4340,0,868,3489095,1779155,118360,803.939,409.944,27.272,697819,355831,23672,803.939,409.944,27.272,5553.787,6.398,16.341,2.554,5553.787,6.398,16.341,2.554
6,6,811,462,11,813,464,33,3,3,23,6,6,6,666,0,111,540792,308556,12996,812.000,463.297,19.514,90132,51426,2166,812.000,463.297,19.514,510.253,4.597,13.549,2.947,510.253,4.597,13.549,2.947
7,7,628,536,11,640,547,41,13,12,31,7,7,7,19005,0,2715,12049261,10293514,528010,634.005,541.621,27.783,1721323,1470502,75430,634.005,541.621,27.783,21644.579,7.972,17.307,2.171,21644.579,7.972,17.307,2.171
8,8,714,567,11,728,576,41,15,10,31,8,8,8,12440,0,1555,8969536,7118088,352112,721.024,572.194,28.305,1121192,889761,44014,721.024,572.194,28.305,12436.245,7.998,18.804,2.351,12436.245,7.998,18.804,2.351
9,9,798,575,11,812,582,49,15,8,39,9,9,9,18576,0,2064,14951232,10740069,527256,804.868,578.169,28.384,1661248,1193341,58584,804.868,578.169,28.384,17883.220,8.664,21.278,2.456,17883.220,8.664,21.278,2.456
10,10,568,645,11,582,669,72,15,25,62,10,10,10,78790,0,7879,45317290,51787760,3447340,575.166,657.288,43.754,4531729,5178776,344734,575.166,657.288,43.754,118061.761,14.984,34.881,2.328,118061.761,14.984,34.881,2.328
11,11,437,666,11,445,674,33,9,9,23,11,11,11,10054,0,914,4429777,6738237,213268,440.598,670.205,21.212,402707,612567,19388,440.598,670.205,21.212,5814.536,6.362,12.608,1.982,5814.536,6.362,12.608,1.982
12,12,575,676,11,629,702,56,55,27,46,12,12,12,301020,0,25085,180666936,206834280,11154276,600.182,687.111,37.055,15055578,17236190,929523,600.182,687.111,37.055,413065.121,16.467,34.072,2.069,413065.121,16.467,34.072,2.069
13,13,699,824,11,710,837,41,12,14,31,13,13,13,33033,0,2541,23272028,27407822,981994,704.508,829.710,29.728,1790156,2108294,75538,704.508,829.710,29.728,20084.684,7.904,19.127,2.420,20084.684,7.904,19.127,2.420
14,14,730,920,11,739,931,41,10,12,31,14,14,14,24948,0,1782,18331572,23084824,717528,734.791,925.318,28.761,1309398,1648916,51252,734.791,925.318,28.761,12853.811,7.213,18.366,2.546,12853.811,7.213,18.366,2.546
15,15,572,389,19,592,413,64,21,25,46,15,15,15,94545,0,6303,54978150,38058720,3766650,581.502,402.546,39.840,3665210,2537248,251110,581.502,402.546,39.840,71009.745,11.266,26.707,2.371,71009.745,11.266,26.707,2.371
16,16,640,409,19,658,420,49,19,12,31,16,16,16,43808,0,2738,28450544,18092640,1397952,649.437,412.999,31.911,1778159,1130790,87372,649.437,412.999,31.911,22271.470,8.134,19.346,2.378,22271.470,8.134,19.346,2.378
17,17,610,393,19,638,429,64,29,37,46,17,17,17,164254,0,9662,101816332,67384957,7139184,619.871,410.248,43.464,5989196,3963821,419952,619.871,410.248,43.464,132198.225,13.682,33.801,2.470,132198.225,13.682,33.801,2.470
18,18,602,421,19,614,427,49,13,7,31,18,18,18,23580,0,1310,14319468,10011834,859608,607.272,424.590,36.455,795526,556213,47756,607.272,424.590,36.455,9570.682,7.306,17.769,2.432,9570.682,7.306,17.769,2.432
19,19,930,517,19,938,523,41,9,7,23,19,19,19,12597,0,663,11756763,6542289,338010,933.299,519.353,26.833,618777,344331,17790,933.299,519.353,26.833,3510.301,5.295,14.284,2.698,3510.301,5.295,14.284,2.698
20,20,592,524,19,616,559,64,25,36,46,20,20,20,203700,0,10185,123531860,110232840,8780740,606.440,541.153,43.106,6176593,5511642,439037,606.440,541.153,43.106,127707.937,12.539,30.597,2.440,127707.937,12.539,30.597,2.440
21,21,735,525,19,755,540,64,21,16,46,21,21,21,52059,0,2479,38776227,27747510,2146662,744.852,533.001,41.235,1846487,1321310,102222,744.852,533.001,41.235,27221.710,10.981,25.637,2.335,27221.710,10.981,25.637,2.335
22,22,591,563,19,597,568,41,7,6,23,22,22,22,11154,0,507,6624948,6313978,361020,593.953,566.073,32.367,301134,286999,16410,593.953,566.073,32.367,2768.859,5.461,13.509,2.474,2768.859,5.461,13.509,2.474
23,23,947,580,19,952,587,33,6,8,15,23,23,23,11040,0,480,10486620,6445635,287040,949.875,583.844,26.000,455940,280245,12480,949.875,583.844,26.000,2203.211,4.590,8.065,1.757,2203.211,4.590,8.065,1.757
24,24,648,635,19,657,643,41,10,9,23,24,24,24,24528,0,1022,16016784,15674856,696960,653.000,639.060,28.415,667366,653119,29040,653.000,639.060,28.415,6287.832,6.152,13.374,2.174,6287.832,6.152,13.374,2.174
25,25,908,653,19,927,666,49,20,14,31,25,25,25,53800,0,2152,49337500,35496100,1784600,917.054,659.779,33.171,1973500,1419844,71384,917.054,659.779,33.171,19407.375,9.018,18.252,2.024,19407.375,9.018,18.252,2.024
26,26,794,654,19,799,657,33,6,4,15,26,26,26,8190,0,315,6522360,5369130,212940,796.381,655.571,26.000,250860,206505,8190,796.381,655.571,26.000,1363.241,4.328,7.531,1.740,1363.241,4.328,7.531,1.740
27,27,845,644,19,867,662,49,23,19,31,27,27,27,79110,0,2930,67699692,51612201,2812752,855.767,652.411,35.555,2507396,1911563,104176,855.767,652.411,35.555,27294.699,9.316,19.549,2.099,27294.699,9.316,19.549,2.099
28,28,639,721,19,661,748,72,23,28,54,28,28,28,509628,0,18201,330519896,374249372,22066688,648.551,734.358,43.300,11804282,13366049,788096,648.551,734.358,43.300,255701.918,14.049,30.484,2.170,255701.918,14.049,30.484,2.170
29,29,739,740,19,750,756,56,12,17,38,29,29,29,79141,0,2729,58904249,59363667,2981519,744.295,750.100,37.674,2031181,2047023,102811,744.295,750.100,37.674,23064.454,8.452,19.658,2.326,23064.454,8.452,19.658,2.326
30,30,859,757,19,873,770,49,15,14,31,30,30,30,124620,0,4154,107934660,95203230,4080240,866.110,763.948,32.741,3597822,3173441,136008,866.110,763.948,32.741,37222.780,8.961,17.689,1.974,37222.780,8.961,17.689,1.974
31,31,614,800,19,614,802,33,1,3,15,31,31,31,1395,0,45,856530,1117395,36270,614.000,801.000,26.000,27630,36045,1170,614.000,801.000,26.000,174.754,3.883,7.071,1.821,174.754,3.883,7.071,1.821
