 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,579,726,4,666,798,133,88,73,130,1,1,1,110739,0,110739,68908161,83545733,7127005,622.257,754.438,64.359,68908161,83545733,7127005,622.257,754.438,64.359,3820596.165,34.501,71.672,2.077,3820596.165,34.501,71.672,2.077
2,2,1129,8,11,1134,13,33,6,6,23,2,2,2,1060,0,530,1199554,11268,21864,1131.655,10.630,20.626,599777,5634,10932,1131.655,10.630,20.626,3063.106,5.779,12.667,2.192,3063.106,5.779,12.667,2.192
3,3,658,493,11,673,513,41,16,21,31,3,3,3,8295,0,2765,5531739,4177413,237642,666.876,503.606,28.649,1843913,1392471,79214,666.876,503.606,28.649,23828.681,8.618,18.112,2.102,23828.681,8.618,18.112,2.102
4,4,414,552,11,442,582,41,29,31,31,4,4,4,34296,0,8574,14637452,19503328,977744,426.798,568.676,28.509,3659363,4875832,244436,426.798,568.676,28.509,90926.005,10.605,24.452,2.306,90926.005,10.605,24.452,2.306
5,5,508,574,11,522,587,41,15,14,31,5,5,5,19175,0,3835,9861570,11134180,549510,514.293,580.661,28.658,1972314,2226836,109902,514.293,580.661,28.658,32466.744,8.466,18.557,2.192,32466.744,8.466,18.557,2.192
6,6,510,614,11,545,659,56,36,46,46,6,6,6,116802,0,19467,60970920,74511144,3992466,522.002,637.927,34.181,10161820,12418524,665411,522.002,637.927,34.181,282870.806,14.531,31.131,2.142,282870.806,14.531,31.131,2.142
7,7,673,686,11,686,705,41,14,20,31,7,7,7,28119,0,4017,19121438,19598369,836458,680.018,696.980,29.747,2731634,2799767,119494,680.018,696.980,29.747,33857.406,8.429,19.279,2.287,33857.406,8.429,19.279,2.287
8,8,559,751,11,568,762,41,10,12,31,8,8,8,18952,0,2369,10681616,14334008,497168,563.614,756.332,26.233,1335202,1791751,62146,563.614,756.332,26.233,19202.536,8.106,16.014,1.976,19202.536,8.106,16.014,1.976
9,9,671,833,11,710,866,49,40,34,39,9,9,9,156159,0,17351,107435601,132416388,4764330,687.989,847.959,30.509,11937289,14712932,529370,687.989,847.959,30.509,243495.404,14.034,27.989,1.994,243495.404,14.034,27.989,1.994
10,10,488,398,19,501,407,49,14,10,31,10,10,10,14470,0,1447,7173520,5813200,507340,495.751,401.742,35.062,717352,581320,50734,495.751,401.742,35.062,10469.451,7.235,17.048,2.356,10469.451,7.235,17.048,2.356
11,11,833,446,19,836,448,33,4,3,15,11,11,11,990,0,90,826485,442860,25740,834.833,447.333,26.000,75135,40260,2340,834.833,447.333,26.000,365.275,4.059,7.267,1.790,365.275,4.059,7.267,1.790
12,12,736,447,19,753,455,49,18,9,31,12,12,12,27540,0,2295,20497776,12410772,866136,744.291,450.645,31.450,1708148,1034231,72178,744.291,450.645,31.450,17636.483,7.685,18.013,2.344,17636.483,7.685,18.013,2.344
13,13,399,466,19,409,474,41,11,9,23,13,13,13,16211,0,1247,6545942,7627776,488670,403.796,470.531,30.144,503534,586752,37590,403.796,470.531,30.144,8318.858,6.671,12.387,1.857,8318.858,6.671,12.387,1.857
14,14,531,510,19,533,512,41,3,3,23,14,14,14,2226,0,159,1184120,1137598,70140,531.950,511.050,31.509,84580,81257,5010,531.950,511.050,31.509,837.296,5.266,12.581,2.389,837.296,5.266,12.581,2.389
15,15,309,537,19,317,544,41,9,8,23,15,15,15,16290,0,1086,5092815,8806530,490500,312.634,540.610,30.110,339521,587102,32700,312.634,540.610,30.110,7089.426,6.528,11.953,1.831,7089.426,6.528,11.953,1.831
16,16,667,550,19,672,557,33,6,8,15,16,16,16,8400,0,525,5626800,4650240,218400,669.857,553.600,26.000,351675,290640,13650,669.857,553.600,26.000,2429.290,4.627,7.954,1.719,2429.290,4.627,7.954,1.719
17,17,655,564,19,667,581,49,13,18,31,17,17,17,58939,0,3467,38951080,33703707,1886626,660.871,571.840,32.010,2291240,1982571,110978,660.871,571.840,32.010,27961.619,8.065,18.107,2.245,27961.619,8.065,18.107,2.245
18,18,628,564,19,645,580,41,18,17,23,18,18,18,59652,0,3314,37977696,34133076,1839240,636.654,572.203,30.833,2109872,1896282,102180,636.654,572.203,30.833,26759.794,8.075,15.655,1.939,26759.794,8.075,15.655,1.939
19,19,552,568,19,557,573,41,6,6,23,19,19,19,9823,0,517,5443975,5608002,282150,554.207,570.905,28.723,286525,295158,14850,554.207,570.905,28.723,3012.066,5.826,12.648,2.171,3012.066,5.826,12.648,2.171
20,20,721,590,19,729,598,41,9,9,23,20,20,20,22800,0,1140,16529320,13555660,720000,724.970,594.546,31.579,826466,677783,36000,724.970,594.546,31.579,7164.223,6.284,13.192,2.099,7164.223,6.284,13.192,2.099
21,21,891,600,19,897,609,49,7,10,31,21,21,21,21777,0,1037,19464207,13149150,701778,893.797,603.809,32.226,926867,626150,33418,893.797,603.809,32.226,6865.974,6.621,16.914,2.555,6865.974,6.621,16.914,2.555
22,22,660,652,19,672,665,41,13,14,23,22,22,22,45166,0,2053,30099366,29759796,1337820,666.416,658.898,29.620,1368153,1352718,60810,666.416,658.898,29.620,14810.300,7.214,13.401,1.858,14810.300,7.214,13.401,1.858
23,23,740,655,19,747,660,33,8,6,15,23,23,23,12765,0,555,9487500,8391435,331890,743.243,657.378,26.000,412500,364845,14430,743.243,657.378,26.000,2572.143,4.634,7.953,1.716,2572.143,4.634,7.953,1.716
24,24,382,672,19,396,683,49,15,12,31,24,24,24,46944,0,1956,18290952,31797288,1581600,389.633,677.345,33.691,762123,1324887,65900,389.633,677.345,33.691,14145.458,7.232,17.311,2.394,14145.458,7.232,17.311,2.394
25,25,580,670,19,603,685,56,24,16,38,25,25,25,148525,0,5941,87527250,100614375,5881850,589.310,677.424,39.602,3501090,4024575,235274,589.310,677.424,39.602,62682.242,10.551,22.560,2.138,62682.242,10.551,22.560,2.138
26,26,759,660,19,788,685,64,30,26,46,26,26,26,280644,0,10794,216886644,188992102,12201904,772.818,673.423,43.478,8341794,7268927,469304,772.818,673.423,43.478,130176.348,12.060,25.440,2.109,130176.348,12.060,25.440,2.109
27,27,704,693,19,712,703,41,9,11,23,27,27,27,33183,0,1229,23500071,23141241,1095930,708.196,697.382,33.027,870373,857083,40590,708.196,697.382,33.027,7189.200,5.850,14.478,2.475,7189.200,5.850,14.478,2.475
28,28,715,688,19,750,725,125,36,38,107,28,28,28,688268,0,24581,506740472,484846264,46634980,736.255,704.444,67.757,18097874,17315938,1665535,736.255,704.444,67.757,502074.985,20.425,60.007,2.938,502074.985,20.425,60.007,2.938
29,29,498,723,19,511,734,49,14,12,31,29,29,29,79721,0,2749,40155430,58116522,2541270,503.700,728.999,31.877,1384670,2004018,87630,503.700,728.999,31.877,21753.036,7.913,17.467,2.207,21753.036,7.913,17.467,2.207
30,30,765,732,19,779,746,56,15,15,38,30,30,30,114900,0,3830,88647030,84984960,4018770,771.515,739.643,34.976,2954901,2832832,133959,771.515,739.643,34.976,34047.595,8.890,21.214,2.386,34047.595,8.890,21.214,2.386
31,31,418,755,19,430,763,41,13,9,23,31,31,31,41416,0,1336,17549379,31437596,1220160,423.734,759.069,29.461,566109,1014116,39360,423.734,759.069,29.461,9177.383,6.869,13.746,2.001,9177.383,6.869,13.746,2.001
32,32,718,812,19,727,820,41,10,9,23,32,32,32,48224,0,1507,34841152,39374624,1450560,722.486,816.494,30.080,1088786,1230457,45330,722.486,816.494,30.080,10233.942,6.791,12.213,1.798,10233.942,6.791,12.213,1.798
33,33,450,271,27,450,271,41,1,1,15,33,33,33,495,0,15,222750,134145,16830,450.000,271.000,34.000,6750,4065,510,450.000,271.000,34.000,56.000,3.733,7.000,1.875,56.000,3.733,7.000,1.875
34,34,750,440,27,752,441,41,3,2,15,34,34,34,2550,0,75,1914540,1123530,86700,750.800,440.600,34.000,56310,33045,2550,750.800,440.600,34.000,293.714,3.916,7.113,1.816,293.714,3.916,7.113,1.816
35,35,398,619,27,399,620,41,2,2,15,35,35,35,1575,0,45,627900,975450,53550,398.667,619.333,34.000,17940,27870,1530,398.667,619.333,34.000,173.255,3.850,7.040,1.828,173.255,3.850,7.040,1.828
36,36,387,620,27,393,624,41,7,5,15,36,36,36,13500,0,375,5260680,8392680,459000,389.680,621.680,34.000,146130,233130,12750,389.680,621.680,34.000,1661.523,4.431,7.927,1.789,1661.523,4.431,7.927,1.789
37,37,293,622,27,303,634,49,11,13,23,37,37,37,70189,0,1897,20931677,44125164,2703886,298.219,628.662,38.523,565721,1192572,73078,298.219,628.662,38.523,13169.270,6.942,13.101,1.887,13169.270,6.942,13.101,1.887
38,38,652,627,27,655,630,41,4,4,15,38,38,38,7410,0,195,4843290,4656330,251940,653.615,628.385,34.000,127455,122535,6630,653.615,628.385,34.000,802.794,4.117,7.269,1.766,802.794,4.117,7.269,1.766
39,39,902,633,27,918,639,49,17,7,23,39,39,39,67782,0,1738,61690668,43111731,2514408,910.133,636.035,37.096,1581812,1105429,64472,910.133,636.035,37.096,12444.784,7.160,14.301,1.997,12444.784,7.160,14.301,1.997
40,40,637,670,27,665,700,64,29,31,38,40,40,40,487440,0,12186,316221240,334413240,21157280,648.739,686.060,43.405,7905531,8360331,528932,648.739,686.060,43.405,145090.761,11.906,23.579,1.980,145090.761,11.906,23.579,1.980
41,41,721,678,27,722,683,41,2,6,15,41,41,41,6150,0,150,4437840,4185075,209100,721.600,680.500,34.000,108240,102075,5100,721.600,680.500,34.000,625.920,4.173,7.444,1.784,625.920,4.173,7.444,1.784
42,42,816,726,27,817,727,41,2,2,15,42,42,42,1890,0,45,1542870,1373400,64260,816.333,726.667,34.000,36735,32700,1530,816.333,726.667,34.000,173.255,3.850,7.040,1.828,173.255,3.850,7.040,1.828
43,43,499,760,27,505,765,49,7,6,23,43,43,43,25413,0,591,12756294,19369436,908762,501.959,762.186,35.760,296658,450452,21134,501.959,762.186,35.760,3262.380,5.520,13.574,2.459,3262.380,5.520,13.574,2.459
44,44,665,900,27,678,910,49,14,11,23,44,44,44,84700,0,1925,56909908,76669340,3447752,671.900,905.187,40.705,1293407,1742485,78358,671.900,905.187,40.705,12523.642,6.506,14.892,2.289,12523.642,6.506,14.892,2.289
45,45,671,913,27,673,916,41,3,4,15,45,45,45,6075,0,135,4082400,5556600,206550,672.000,914.667,34.000,90720,123480,4590,672.000,914.667,34.000,545.673,4.042,7.265,1.797,545.673,4.042,7.265,1.797
