 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,43,326,19,51,332,41,9,7,23,1,1,1,891,0,891,41421,293020,27810,46.488,328.866,31.212,41421,293020,27810,46.488,328.866,31.212,5523.092,6.199,12.751,2.057,5523.092,6.199,12.751,2.057
2,2,82,335,19,101,346,49,20,12,31,2,2,2,7516,0,3758,680838,2562240,267376,90.585,340.905,35.574,340419,1281120,133688,90.585,340.905,35.574,31857.805,8.477,17.513,2.066,31857.805,8.477,17.513,2.066
3,3,45,348,19,54,359,49,10,12,31,3,3,3,6813,0,2271,338193,2414808,226674,49.639,354.441,33.271,112731,804936,75558,49.639,354.441,33.271,17837.669,7.855,16.299,2.075,17837.669,7.855,16.299,2.075
4,4,647,588,19,658,609,49,12,22,31,4,4,4,16232,0,4058,10575116,9698212,608624,651.498,597.475,37.495,2643779,2424553,152156,651.498,597.475,37.495,36342.338,8.956,20.400,2.278,36342.338,8.956,20.400,2.278
5,5,729,638,19,737,644,49,9,7,31,5,5,5,5765,0,1153,4226025,3695450,202910,733.049,641.015,35.197,845205,739090,40582,733.049,641.015,35.197,7875.555,6.830,16.357,2.395,7875.555,6.830,16.357,2.395
6,6,616,641,19,641,654,49,26,14,31,6,6,6,25218,0,4203,15807924,16327314,896724,626.851,647.447,35.559,2634654,2721219,149454,626.851,647.447,35.559,41571.601,9.891,18.976,1.919,41571.601,9.891,18.976,1.919
7,7,439,697,19,463,720,49,25,24,31,7,7,7,74886,0,10698,33687024,52998960,2511012,449.844,707.729,33.531,4812432,7571280,358716,449.844,707.729,33.531,115363.511,10.784,18.984,1.760,115363.511,10.784,18.984,1.760
8,8,559,710,19,568,718,49,10,9,31,8,8,8,11488,0,1436,6467160,8204360,406784,562.949,714.168,35.409,808395,1025545,50848,562.949,714.168,35.409,10037.275,6.990,16.585,2.373,10037.275,6.990,16.585,2.373
9,9,605,728,19,618,740,64,14,13,46,9,9,9,37872,0,4208,23142087,27793206,1693395,611.061,733.872,44.714,2571343,3088134,188155,611.061,733.872,44.714,43515.323,10.341,25.811,2.496,43515.323,10.341,25.811,2.496
10,10,713,737,19,754,760,110,42,24,92,10,10,10,210100,0,21010,153624770,157527700,11513590,731.198,749.775,54.801,15362477,15752770,1151359,731.198,749.775,54.801,532786.067,25.359,57.654,2.274,532786.067,25.359,57.654,2.274
