 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,433,146,11,439,152,33,7,7,23,1,1,1,733,0,733,319547,109011,15798,435.944,148.719,21.553,319547,109011,15798,435.944,148.719,21.553,4539.337,6.193,11.870,1.917,4539.337,6.193,11.870,1.917
2,2,212,196,11,214,199,33,3,4,23,2,2,2,356,0,178,75808,70290,7616,212.944,197.444,21.393,37904,35145,3808,212.944,197.444,21.393,1001.880,5.629,11.744,2.086,1001.880,5.629,11.744,2.086
3,3,460,351,11,478,370,41,19,20,31,3,3,3,12429,0,4143,5834466,4482537,322050,469.424,360.651,25.911,1944822,1494179,107350,469.424,360.651,25.911,34670.362,8.368,18.090,2.162,34670.362,8.368,18.090,2.162
4,4,584,411,11,592,420,41,9,10,31,4,4,4,5012,0,1253,2948548,2081776,119560,588.298,415.358,23.855,737137,520444,29890,588.298,415.358,23.855,8441.252,6.737,17.434,2.588,8441.252,6.737,17.434,2.588
5,5,691,454,11,706,480,33,16,27,23,5,5,5,22065,0,4413,15431260,10301695,515230,699.355,466.879,23.351,3086252,2060339,103046,699.355,466.879,23.351,40316.142,9.136,18.114,1.983,40316.142,9.136,18.114,1.983
6,6,682,472,11,692,483,33,11,12,23,6,6,6,9174,0,1529,6293082,4374366,215172,685.969,476.822,23.455,1048847,729061,35862,685.969,476.822,23.455,10748.551,7.030,13.523,1.924,10748.551,7.030,13.523,1.924
7,7,450,494,11,477,515,49,28,22,39,7,7,7,52024,0,7432,24129364,26144440,1502368,463.812,502.546,28.878,3447052,3734920,214624,463.812,502.546,28.878,77140.690,10.380,23.263,2.241,77140.690,10.380,23.263,2.241
8,8,380,663,11,391,671,33,12,9,23,8,8,8,12104,0,1513,4666624,8072632,284528,385.544,666.939,23.507,583328,1009079,35566,385.544,666.939,23.507,9885.368,6.534,13.097,2.005,9885.368,6.534,13.097,2.005
9,9,975,667,11,984,675,33,10,9,23,9,9,9,11088,0,1232,10859283,7442307,234396,979.373,671.204,21.140,1206587,826923,26044,979.373,671.204,21.140,8031.074,6.519,12.920,1.982,8031.074,6.519,12.920,1.982
10,10,433,722,11,441,728,33,9,7,23,10,10,10,6250,0,625,2734310,4531480,157900,437.490,725.037,25.264,273431,453148,15790,437.490,725.037,25.264,3215.069,5.144,14.379,2.795,3215.069,5.144,14.379,2.795
