 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,380,294,11,398,312,49,19,19,39,1,1,1,7944,0,7944,3088127,2407520,267564,388.737,303.061,33.681,3088127,2407520,267564,388.737,303.061,33.681,85563.910,10.771,23.433,2.176,85563.910,10.771,23.433,2.176
2,2,216,554,11,230,567,56,15,14,46,2,2,2,9492,0,4746,2114768,5318754,337550,222.795,560.341,35.562,1057384,2659377,168775,222.795,560.341,35.562,47995.801,10.113,24.912,2.463,47995.801,10.113,24.912,2.463
3,3,554,917,11,568,933,49,15,17,39,3,3,3,18372,0,6124,10297536,16989345,566904,560.502,924.741,30.857,3432512,5663115,188968,560.502,924.741,30.857,64803.702,10.582,21.073,1.991,64803.702,10.582,21.073,1.991
4,4,460,280,19,476,293,49,17,14,31,4,4,4,19656,0,4914,9185652,5628236,680912,467.321,286.337,34.641,2296413,1407059,170228,467.321,286.337,34.641,46667.456,9.497,17.427,1.835,46667.456,9.497,17.427,1.835
5,5,330,350,19,340,361,49,11,12,31,5,5,5,8270,0,1654,2769730,2936880,303280,334.913,355.125,36.672,553946,587376,60656,334.913,355.125,36.672,12512.935,7.565,18.248,2.412,12512.935,7.565,18.248,2.412
6,6,465,451,19,474,460,49,10,10,31,6,6,6,9804,0,1634,4603188,4463952,309984,469.521,455.319,31.618,767198,743992,51664,469.521,455.319,31.618,12052.523,7.376,17.886,2.425,12052.523,7.376,17.886,2.425
7,7,993,458,19,1004,477,56,12,20,38,7,7,7,28098,0,4014,28074585,13106653,1037085,999.167,466.462,36.910,4010655,1872379,148155,999.167,466.462,36.910,35919.712,8.949,20.542,2.296,35919.712,8.949,20.542,2.296
8,8,685,523,19,698,535,56,14,13,38,8,8,8,31336,0,3917,21660928,16575272,1128264,691.247,528.953,36.005,2707616,2071909,141033,691.247,528.953,36.005,35423.767,9.044,20.613,2.279,35423.767,9.044,20.613,2.279
9,9,1093,554,19,1105,563,56,13,10,38,9,9,9,27486,0,3054,30206619,15352092,1008936,1098.982,558.542,36.707,3356291,1705788,112104,1098.982,558.542,36.707,28633.472,9.376,19.933,2.126,28633.472,9.376,19.933,2.126
10,10,833,568,19,846,575,41,14,8,23,10,10,10,14030,0,1403,11758490,8014340,447300,838.096,571.229,31.882,1175849,801434,44730,838.096,571.229,31.882,9072.036,6.466,13.636,2.109,9072.036,6.466,13.636,2.109
