 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,80,355,11,91,367,41,12,13,31,1,1,1,2918,0,2918,248779,1052379,84076,85.257,360.651,28.813,248779,1052379,84076,85.257,360.651,28.813,23377.126,8.011,18.098,2.259,23377.126,8.011,18.098,2.259
2,2,612,506,11,649,529,41,38,24,31,2,2,2,16942,0,8471,10717252,8765988,454204,632.585,517.412,26.809,5358626,4382994,227102,632.585,517.412,26.809,105503.249,12.455,22.715,1.824,105503.249,12.455,22.715,1.824
3,3,674,602,11,692,615,41,19,14,31,3,3,3,14016,0,4672,9557793,8530917,360276,681.920,608.656,25.705,3185931,2843639,120092,681.920,608.656,25.705,42881.535,9.178,17.383,1.894,42881.535,9.178,17.383,1.894
4,4,377,620,11,388,636,41,12,17,31,4,4,4,13272,0,3318,5070660,8344444,361376,382.057,628.725,27.228,1267665,2086111,90344,382.057,628.725,27.228,27513.836,8.292,16.908,2.039,27513.836,8.292,16.908,2.039
5,5,850,624,11,860,634,41,11,11,31,5,5,5,9325,0,1865,7974575,5866525,228970,855.182,629.118,24.554,1594915,1173305,45794,855.182,629.118,24.554,13577.582,7.280,16.880,2.319,13577.582,7.280,16.880,2.319
6,6,298,243,19,305,254,49,8,12,31,6,6,6,7056,0,1176,2127036,1752684,226872,301.451,248.396,32.153,354506,292114,37812,301.451,248.396,32.153,7663.527,6.517,17.749,2.724,7663.527,6.517,17.749,2.724
7,7,627,403,19,633,410,41,7,8,23,7,7,7,3759,0,537,2369052,1526385,106050,630.235,406.061,28.212,338436,218055,15150,630.235,406.061,28.212,3170.548,5.904,13.144,2.226,3170.548,5.904,13.144,2.226
8,8,751,470,19,755,476,33,5,7,15,8,8,8,2280,0,285,1718040,1078680,59280,753.526,473.105,26.000,214755,134835,7410,753.526,473.105,26.000,1283.732,4.504,7.985,1.773,1283.732,4.504,7.985,1.773
9,9,529,476,19,543,500,64,15,25,46,9,9,9,56691,0,6299,30402657,27711423,2437020,536.287,488.815,42.988,3378073,3079047,270780,536.287,488.815,42.988,79036.872,12.548,27.449,2.188,79036.872,12.548,27.449,2.188
10,10,563,476,19,578,495,41,16,20,23,10,10,10,28090,0,2809,16041310,13611720,770100,571.068,484.575,27.415,1604131,1361172,77010,571.068,484.575,27.415,22509.019,8.013,16.647,2.077,22509.019,8.013,16.647,2.077
