 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,614,23,11,623,34,33,10,12,23,1,1,1,1196,0,1196,739949,34181,30452,618.686,28.579,25.462,739949,34181,30452,618.686,28.579,25.462,6964.349,5.823,14.919,2.562,6964.349,5.823,14.919,2.562
2,2,215,270,11,228,283,49,14,14,39,2,2,2,7888,0,3944,1744434,2187322,218184,221.150,277.297,27.660,872217,1093661,109092,221.150,277.297,27.660,35912.840,9.106,21.624,2.375,35912.840,9.106,21.624,2.375
3,3,721,283,11,730,292,41,10,10,31,3,3,3,4878,0,1626,3537810,1401792,138756,725.258,287.370,28.445,1179270,467264,46252,725.258,287.370,28.445,12077.032,7.427,17.687,2.381,12077.032,7.427,17.687,2.381
4,4,75,552,11,85,560,41,11,9,31,4,4,4,7220,0,1805,579824,4013316,183672,80.308,555.861,25.439,144956,1003329,45918,80.308,555.861,25.439,13970.505,7.740,16.049,2.074,13970.505,7.740,16.049,2.074
5,5,134,602,11,142,610,41,9,9,31,5,5,5,6315,0,1263,869850,3826525,181490,137.743,605.942,28.740,173970,765305,36298,137.743,605.942,28.740,8774.057,6.947,17.975,2.587,8774.057,6.947,17.975,2.587
6,6,452,672,11,466,688,41,15,17,31,6,6,6,31932,0,5322,14635098,21697392,827520,458.321,679.487,25.915,2439183,3616232,137920,458.321,679.487,25.915,50222.776,9.437,16.911,1.792,50222.776,9.437,16.911,1.792
7,7,923,872,11,934,882,41,12,11,31,7,7,7,17850,0,2550,16569042,15654002,497532,928.238,876.975,27.873,2367006,2236286,71076,928.238,876.975,27.873,20361.734,7.985,17.427,2.182,20361.734,7.985,17.427,2.182
8,8,926,935,11,937,945,41,12,11,31,8,8,8,19864,0,2483,18489968,18666112,535760,930.828,939.696,26.971,2311246,2333264,66970,930.828,939.696,26.971,20339.038,8.191,16.902,2.063,20339.038,8.191,16.902,2.063
9,9,19,1,19,31,9,49,13,9,31,9,9,9,16821,0,1869,426717,64656,530082,25.368,3.844,31.513,47413,7184,58898,25.368,3.844,31.513,14093.966,7.541,18.034,2.391,14093.966,7.541,18.034,2.391
10,10,421,76,19,428,91,49,8,16,31,10,10,10,18150,0,1815,7712120,1498780,600180,424.910,82.577,33.068,771212,149878,60018,424.910,82.577,33.068,13867.947,7.641,18.284,2.393,13867.947,7.641,18.284,2.393
11,11,877,192,19,887,201,49,11,10,31,11,11,11,21802,0,1982,19222951,4277647,741796,881.706,196.204,34.024,1747541,388877,67436,881.706,196.204,34.024,15370.513,7.755,15.852,2.044,15370.513,7.755,15.852,2.044
12,12,500,369,19,512,380,49,13,12,31,12,12,12,21012,0,1751,10637820,7869828,701160,506.274,374.540,33.370,886485,655819,58430,506.274,374.540,33.370,11216.164,6.406,15.838,2.473,11216.164,6.406,15.838,2.473
13,13,805,430,19,815,439,49,11,10,31,13,13,13,23556,0,1812,19065904,10245209,800540,809.386,434.930,33.985,1466608,788093,61580,809.386,434.930,33.985,13526.533,7.465,15.835,2.121,13526.533,7.465,15.835,2.121
14,14,600,453,19,616,467,49,17,15,31,14,14,14,52276,0,3734,31776598,24062948,1786848,607.862,460.306,34.181,2269757,1718782,127632,607.862,460.306,34.181,32610.442,8.733,17.838,2.043,32610.442,8.733,17.838,2.043
15,15,90,516,19,92,520,33,3,5,15,15,15,15,2925,0,195,266175,1516050,76050,91.000,518.308,26.000,17745,101070,5070,91.000,518.308,26.000,807.909,4.143,7.371,1.779,807.909,4.143,7.371,1.779
16,16,547,627,19,557,636,41,11,10,23,16,16,16,28592,0,1787,15779280,18062560,864480,551.877,631.735,30.235,986205,1128910,54030,551.877,631.735,30.235,12333.097,6.902,12.456,1.805,12333.097,6.902,12.456,1.805
17,17,87,664,19,116,679,49,30,16,31,17,17,17,113271,0,6663,11707798,76085625,3477554,103.361,671.713,30.701,688694,4475625,204562,103.361,671.713,30.701,69422.485,10.419,20.566,1.974,69422.485,10.419,20.566,1.974
18,18,729,696,19,738,708,41,10,13,23,18,18,18,24192,0,1344,17742456,16964586,792720,733.402,701.248,32.768,985692,942477,44040,733.402,701.248,32.768,8212.819,6.111,14.215,2.326,8212.819,6.111,14.215,2.326
19,19,758,720,19,763,725,33,6,6,15,19,19,19,7980,0,420,6069645,5765550,207480,760.607,722.500,26.000,319455,303450,10920,760.607,722.500,26.000,1880.848,4.478,7.809,1.744,1880.848,4.478,7.809,1.744
20,20,190,811,19,199,824,49,10,14,31,20,20,20,50380,0,2519,9785680,41175560,1784600,194.237,817.300,35.423,489284,2058778,89230,194.237,817.300,35.423,20997.514,8.336,17.174,2.060,20997.514,8.336,17.174,2.060
21,21,341,841,19,352,850,49,12,10,31,21,21,21,46179,0,2199,15965901,39061512,1661562,345.739,845.872,35.981,760281,1860072,79122,345.739,845.872,35.981,17526.384,7.970,17.689,2.219,17526.384,7.970,17.689,2.219
22,22,481,920,19,501,931,56,21,12,38,22,22,22,72798,0,3309,35828320,67337138,2717924,492.161,924.986,37.335,1628560,3060779,123542,492.161,924.986,37.335,32401.176,9.792,21.465,2.192,32401.176,9.792,21.465,2.192
23,23,460,988,19,467,994,41,8,7,23,23,23,23,19826,0,862,9187189,19649521,590640,463.391,991.099,29.791,399443,854327,25680,463.391,991.099,29.791,5421.072,6.289,11.776,1.872,5421.072,6.289,11.776,1.872
24,24,1,987,19,20,1001,49,20,15,31,24,24,24,102240,0,4260,1204272,101692008,3380736,11.779,994.640,33.067,50178,4237167,140864,11.779,994.640,33.067,37136.683,8.718,18.098,2.076,37136.683,8.718,18.098,2.076
25,25,469,1032,19,471,1034,33,3,3,15,25,25,25,3375,0,135,1586250,3486375,87750,470.000,1033.000,26.000,63450,139455,3510,470.000,1033.000,26.000,541.107,4.008,7.141,1.782,541.107,4.008,7.141,1.782
26,26,723,1055,19,730,1065,41,8,11,23,26,26,26,32604,0,1254,23665876,34567468,993720,725.858,1060.222,30.478,910226,1329518,38220,725.858,1060.222,30.478,8355.418,6.663,12.371,1.857,8355.418,6.663,12.371,1.857
27,27,683,1063,19,685,1064,33,3,2,15,27,27,27,2430,0,90,1662120,2584305,63180,684.000,1063.500,26.000,61560,95715,2340,684.000,1063.500,26.000,354.428,3.938,7.089,1.800,354.428,3.938,7.089,1.800
28,28,828,1166,19,829,1167,33,2,2,15,28,28,28,1680,0,60,1391880,1959720,43680,828.500,1166.500,26.000,49710,69990,1560,828.500,1166.500,26.000,231.766,3.863,7.036,1.821,231.766,3.863,7.036,1.821
29,29,516,1,27,518,1,41,3,1,15,29,29,29,1305,0,45,674685,1305,44370,517.000,1.000,34.000,23265,45,1530,517.000,1.000,34.000,174.754,3.883,7.071,1.821,174.754,3.883,7.071,1.821
30,30,485,51,27,489,55,41,5,5,15,30,30,30,8550,0,285,4165650,453150,290700,487.211,53.000,34.000,138855,15105,9690,487.211,53.000,34.000,1214.105,4.260,7.380,1.732,1214.105,4.260,7.380,1.732
31,31,580,283,27,582,285,41,3,3,15,31,31,31,3255,0,105,1891155,924420,110670,581.000,284.000,34.000,61005,29820,3570,581.000,284.000,34.000,417.308,3.974,7.141,1.797,417.308,3.974,7.141,1.797
32,32,569,286,27,575,294,49,7,9,23,32,32,32,20544,0,642,11759328,5966016,832000,572.397,290.402,40.498,367479,186438,26000,572.397,290.402,40.498,3425.864,5.336,14.288,2.678,3425.864,5.336,14.288,2.678
33,33,723,516,27,727,520,41,5,5,15,33,33,33,11385,0,345,8254125,5897430,387090,725.000,518.000,34.000,250125,178710,11730,725.000,518.000,34.000,1499.405,4.346,7.550,1.737,1499.405,4.346,7.550,1.737
34,34,529,545,27,533,548,41,5,4,15,34,34,34,8670,0,255,4606830,4738410,294780,531.353,546.529,34.000,135495,139365,8670,531.353,546.529,34.000,1075.642,4.218,7.400,1.754,1075.642,4.218,7.400,1.754
35,35,313,546,27,324,556,56,12,11,30,35,35,35,86135,0,2461,27436500,47440295,3548125,318.529,550.767,41.193,783900,1355437,101375,318.529,550.767,41.193,19913.598,8.092,15.963,1.973,19913.598,8.092,15.963,1.973
36,36,828,677,27,845,689,56,18,13,30,36,36,36,124128,0,3448,103783680,84766608,4887108,836.102,682.897,39.372,2882880,2354628,135753,836.102,682.897,39.372,27570.966,7.996,17.162,2.146,27570.966,7.996,17.162,2.146
37,37,656,694,27,672,708,56,17,15,30,37,37,37,140304,0,3792,93074943,98241105,5511668,663.381,700.202,39.284,2515539,2655165,148964,663.381,700.202,39.284,30882.061,8.144,17.196,2.112,30882.061,8.144,17.196,2.112
38,38,314,772,27,323,780,49,10,9,23,38,38,38,53618,0,1411,17057250,41599854,2027604,318.125,775.856,37.816,448875,1094733,53358,318.125,775.856,37.816,9452.386,6.699,12.254,1.829,9452.386,6.699,12.254,1.829
39,39,663,799,27,671,806,49,9,8,23,39,39,39,34554,0,886,23044515,27717846,1402596,666.913,802.160,40.591,590885,710714,35964,666.913,802.160,40.591,4966.509,5.606,13.927,2.485,4966.509,5.606,13.927,2.485
40,40,807,818,27,822,832,56,16,15,30,40,40,40,82440,0,2061,67165480,68005720,3625120,814.720,824.912,43.973,1679137,1700143,90628,814.720,824.912,43.973,16306.289,7.912,19.372,2.449,16306.289,7.912,19.372,2.449
41,41,479,884,27,487,894,49,9,11,23,41,41,41,50389,0,1229,24330097,44794099,1892642,482.845,888.966,37.561,593417,1092539,46162,482.845,888.966,37.561,8024.504,6.529,12.864,1.970,8024.504,6.529,12.864,1.970
42,42,655,974,27,672,988,56,18,15,30,42,42,42,192318,0,4579,127672860,188687856,7764288,663.863,981.124,40.372,3039830,4492568,184864,663.863,981.124,40.372,41695.025,9.106,17.620,1.935,41695.025,9.106,17.620,1.935
43,43,657,1098,27,660,1101,41,4,4,15,43,43,43,7740,0,180,5098725,8509485,263160,658.750,1099.417,34.000,118575,197895,6120,658.750,1099.417,34.000,738.616,4.103,7.250,1.767,738.616,4.103,7.250,1.767
44,44,644,277,34,648,281,49,5,5,16,44,44,44,14080,0,320,9094272,3929728,584320,645.900,279.100,41.500,206688,89312,13280,645.900,279.100,41.500,1448.018,4.525,7.967,1.761,1448.018,4.525,7.967,1.761
45,45,640,377,34,650,391,64,11,15,31,45,45,45,111420,0,2476,71869005,42950610,5288580,645.028,385.484,47.465,1597089,954458,117524,645.028,385.484,47.465,20444.155,8.257,17.203,2.083,20444.155,8.257,17.203,2.083
46,46,377,374,34,390,384,64,14,11,31,46,46,46,75026,0,1631,28737396,28467238,3956506,383.032,379.432,52.735,624726,618853,86011,383.032,379.432,52.735,11682.566,7.163,19.452,2.716,11682.566,7.163,19.452,2.716
47,47,779,495,34,787,505,64,9,11,31,47,47,47,84318,0,1794,66004591,42187811,3956366,782.805,500.342,46.922,1404353,897613,84178,782.805,500.342,46.922,13117.487,7.312,17.386,2.378,13117.487,7.312,17.386,2.378
48,48,577,571,34,598,589,94,22,19,61,48,48,48,381840,0,7955,224337072,221547648,21557952,587.516,580.211,56.458,4673689,4615576,449124,587.516,580.211,56.458,117937.162,14.826,38.785,2.616,117937.162,14.826,38.785,2.616
49,49,638,636,34,644,642,56,7,7,23,49,49,49,29057,0,593,18620245,18571490,1233477,640.818,639.140,42.450,380005,379010,25173,640.818,639.140,42.450,3157.423,5.324,13.701,2.573,3157.423,5.324,13.701,2.573
50,50,90,639,34,95,644,49,6,6,16,50,50,50,21600,0,432,1998400,13858400,896400,92.519,641.593,41.500,39968,277168,17928,92.519,641.593,41.500,2016.830,4.669,8.073,1.729,2016.830,4.669,8.073,1.729
51,51,862,673,34,883,688,79,22,16,46,51,51,51,326502,0,6402,285185166,222319761,17841381,873.456,680.914,54.644,5591866,4359211,349831,873.456,680.914,54.644,69552.095,10.864,26.989,2.484,69552.095,10.864,26.989,2.484
52,52,278,372,42,292,383,72,15,12,31,52,52,52,196820,0,3785,56080128,74326772,11305060,284.931,377.638,57.439,1078464,1429361,217405,284.931,377.638,57.439,34255.751,9.050,17.002,1.879,34255.751,9.050,17.002,1.879
53,53,729,740,42,733,745,56,5,6,15,53,53,53,17490,0,330,12782010,12989505,857010,730.818,742.682,49.000,241170,245085,16170,730.818,742.682,49.000,1429.661,4.332,7.541,1.741,1429.661,4.332,7.541,1.741
54,54,756,761,42,767,772,72,12,12,31,54,54,54,109890,0,2035,83652858,84197988,6433290,761.242,766.202,58.543,1549127,1559222,119135,761.242,766.202,58.543,15637.937,7.684,17.019,2.215,15637.937,7.684,17.019,2.215
55,55,689,769,42,693,771,56,5,3,15,55,55,55,9900,0,180,6836775,7621350,485100,690.583,769.833,49.000,124305,138570,8820,690.583,769.833,49.000,745.232,4.140,7.452,1.800,745.232,4.140,7.452,1.800
56,56,485,861,42,491,865,56,7,5,15,56,56,56,26040,0,465,12712560,22475040,1275960,488.194,863.097,49.000,227010,401340,22785,488.194,863.097,49.000,2107.766,4.533,7.778,1.716,2107.766,4.533,7.778,1.716
