 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,310,363,19,316,372,49,7,10,31,1,1,1,1114,0,1114,348546,409403,39900,312.878,367.507,35.817,348546,409403,39900,312.878,367.507,35.817,7416.295,6.657,17.003,2.554,7416.295,6.657,17.003,2.554
2,2,256,442,19,268,455,49,13,14,31,2,2,2,6140,0,3070,1606154,2748564,213176,261.589,447.649,34.719,803077,1374282,106588,261.589,447.649,34.719,25448.524,8.289,17.020,2.053,25448.524,8.289,17.020,2.053
3,3,192,591,19,217,605,49,26,15,31,3,3,3,10614,0,3538,2131761,6351579,407772,200.844,598.415,38.418,710587,2117193,135924,200.844,598.415,38.418,32186.919,9.097,20.106,2.210,32186.919,9.097,20.106,2.210
4,4,1112,78,27,1122,89,41,11,12,15,4,4,4,6240,0,1560,6968700,520260,212160,1116.779,83.375,34.000,1742175,130065,53040,1116.779,83.375,34.000,8873.434,5.688,9.202,1.618,8873.434,5.688,9.202,1.618
5,5,594,140,27,594,140,41,1,1,15,5,5,5,75,0,15,44550,10500,2550,594.000,140.000,34.000,8910,2100,510,594.000,140.000,34.000,56.000,3.733,7.000,1.875,56.000,3.733,7.000,1.875
6,6,155,199,27,158,202,41,4,4,15,6,6,6,990,0,165,154800,198630,33660,156.364,200.636,34.000,25800,33105,5610,156.364,200.636,34.000,676.546,4.100,7.261,1.771,676.546,4.100,7.261,1.771
7,7,644,209,27,647,210,41,4,2,15,7,7,7,630,0,90,406665,132090,21420,645.500,209.667,34.000,58095,18870,3060,645.500,209.667,34.000,357.531,3.973,7.167,1.804,357.531,3.973,7.167,1.804
8,8,996,217,27,1014,239,72,19,23,46,8,8,8,49080,0,6135,49346152,11121672,2407816,1005.423,226.603,49.059,6168269,1390209,300977,1005.423,226.603,49.059,71556.187,11.664,25.954,2.225,71556.187,11.664,25.954,2.225
9,9,796,265,27,806,281,49,11,17,23,9,9,9,15309,0,1701,12275343,4173561,605934,801.838,272.621,39.580,1363927,463729,67326,801.838,272.621,39.580,11688.019,6.871,15.116,2.200,11688.019,6.871,15.116,2.200
10,10,807,287,27,814,291,41,8,5,15,10,10,10,5100,0,510,4133400,1473300,173400,810.471,288.882,34.000,413340,147330,17340,810.471,288.882,34.000,2360.579,4.629,8.037,1.736,2360.579,4.629,8.037,1.736
