 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,1002,438,13,1012,446,37,11,9,25,1,1,1,1130,0,1130,1137875,499455,29675,1006.969,441.996,26.261,1137875,499455,29675,1006.969,441.996,26.261,6397.796,5.662,13.412,2.369,6397.796,5.662,13.412,2.369
2,2,222,779,13,240,794,47,19,16,35,2,2,2,11610,0,5805,2682390,9121050,336250,231.041,785.620,28.962,1341195,4560525,168125,231.041,785.620,28.962,54028.490,9.307,19.003,2.042,54028.490,9.307,19.003,2.042
3,3,727,1,18,742,5,42,16,5,25,3,3,3,3105,0,1035,2282910,6870,94950,735.237,2.213,30.580,760970,2290,31650,735.237,2.213,30.580,6938.993,6.704,13.506,2.014,6938.993,6.704,13.506,2.014
4,4,1043,385,18,1052,394,42,10,10,25,4,4,4,4960,0,1240,5194000,1930660,140200,1047.177,389.246,28.266,1298500,482665,35050,1047.177,389.246,28.266,7348.761,5.926,13.815,2.331,7348.761,5.926,13.815,2.331
5,5,809,517,18,816,524,37,8,8,20,5,5,5,3400,0,680,2764325,1768325,88625,813.037,520.096,26.066,552865,353665,17725,813.037,520.096,26.066,3219.766,4.735,11.037,2.331,3219.766,4.735,11.037,2.331
6,6,209,590,18,220,603,42,12,14,25,6,6,6,15600,0,2600,3335130,9312900,470550,213.790,596.981,30.163,555855,1552150,78425,213.790,596.981,30.163,19079.418,7.338,13.359,1.821,19079.418,7.338,13.359,1.821
7,7,806,624,18,813,629,32,8,6,15,7,7,7,2870,0,410,2321935,1798230,72275,809.037,626.561,25.183,331705,256890,10325,809.037,626.561,25.183,1841.391,4.491,7.930,1.766,1841.391,4.491,7.930,1.766
8,8,148,633,18,179,655,52,32,23,35,8,8,8,70880,0,8860,11667080,45624960,2669400,164.603,643.693,37.661,1458385,5703120,333675,164.603,643.693,37.661,91701.701,10.350,21.116,2.040,91701.701,10.350,21.116,2.040
9,9,1170,663,18,1178,671,37,9,9,20,9,9,9,8010,0,890,9406260,5339745,208800,1174.315,666.635,26.067,1045140,593305,23200,1174.315,666.635,26.067,4659.170,5.235,11.376,2.173,4659.170,5.235,11.376,2.173
10,10,1164,706,18,1176,716,42,13,11,25,10,10,10,13100,0,1310,15329150,9317100,394250,1170.164,711.229,30.095,1532915,931710,39425,1170.164,711.229,30.095,7477.408,5.708,12.439,2.179,7477.408,5.708,12.439,2.179
11,11,292,753,18,303,772,42,12,20,25,11,11,11,27775,0,2525,8262100,21224500,783750,297.465,764.158,28.218,751100,1929500,71250,297.465,764.158,28.218,18391.251,7.284,13.868,1.904,18391.251,7.284,13.868,1.904
12,12,145,792,18,155,802,37,11,11,20,12,12,12,13200,0,1100,1976940,10508520,383700,149.768,796.100,29.068,164745,875710,31975,149.768,796.100,29.068,6091.018,5.537,11.462,2.070,6091.018,5.537,11.462,2.070
13,13,323,804,18,332,813,42,10,10,25,13,13,13,13910,0,1070,4557150,11248055,420550,327.617,808.631,30.234,350550,865235,32350,327.617,808.631,30.234,5994.529,5.602,12.526,2.236,5994.529,5.602,12.526,2.236
14,14,300,828,18,307,834,37,8,7,20,14,14,14,5600,0,400,1700370,4655770,161700,303.637,831.388,28.875,121455,332555,11550,303.637,831.388,28.875,1874.706,4.687,10.982,2.343,1874.706,4.687,10.982,2.343
15,15,1153,1178,18,1172,1192,47,20,15,30,15,15,15,73125,0,4875,85103700,86692575,2493750,1163.811,1185.539,34.103,5673580,5779505,166250,1163.811,1185.539,34.103,43240.143,8.870,17.070,1.925,43240.143,8.870,17.070,1.925
16,16,713,348,23,720,355,42,8,8,20,16,16,16,11840,0,740,8479200,4159040,382400,716.149,351.270,32.297,529950,259940,23900,716.149,351.270,32.297,3969.561,5.364,10.450,1.948,3969.561,5.364,10.450,1.948
17,17,824,353,23,833,363,37,10,11,15,17,17,17,19295,0,1135,15983315,6907270,588200,828.366,357.982,30.485,940195,406310,34600,828.366,357.982,30.485,5926.835,5.222,8.878,1.700,5926.835,5.222,8.878,1.700
18,18,822,372,23,835,387,47,14,16,25,18,18,18,40050,0,2225,33219180,15196500,1481850,829.443,379.438,37.000,1845510,844250,82325,829.443,379.438,37.000,15556.790,6.992,15.409,2.204,15556.790,6.992,15.409,2.204
19,19,773,378,23,792,391,52,20,14,30,19,19,19,88065,0,4635,68924400,33910345,3398150,782.654,385.060,38.587,3627600,1784755,178850,782.654,385.060,38.587,40295.660,8.694,16.311,1.876,40295.660,8.694,16.311,1.876
