 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,1019,89,13,1039,112,37,21,24,25,1,1,1,4950,0,4950,5085190,499765,129625,1027.311,100.963,26.187,5085190,499765,129625,1027.311,100.963,26.187,44746.854,9.040,15.878,1.756,44746.854,9.040,15.878,1.756
2,2,308,440,13,335,474,63,28,35,51,2,2,2,49776,0,24888,16015176,22719348,1750818,321.745,456.432,35.174,8007588,11359674,875409,321.745,456.432,35.174,369094.239,14.830,29.126,1.964,369094.239,14.830,29.126,1.964
3,3,1179,505,13,1198,546,78,20,42,66,3,3,3,29526,0,9842,35094678,15602724,1181748,1188.603,528.440,40.024,11698226,5200908,393916,1188.603,528.440,40.024,188615.043,19.164,40.240,2.100,188615.043,19.164,40.240,2.100
4,4,446,672,13,472,686,42,27,15,30,4,4,4,14840,0,3710,6787700,10078720,401100,457.392,679.159,27.028,1696925,2519680,100275,457.392,679.159,27.028,30264.108,8.157,18.318,2.246,30264.108,8.157,18.318,2.246
5,5,261,718,13,270,730,37,10,13,25,5,5,5,9700,0,1940,2576900,7026150,267000,265.660,724.345,27.526,515380,1405230,53400,265.660,724.345,27.526,12577.647,6.483,14.603,2.252,12577.647,6.483,14.603,2.252
6,6,630,1119,13,642,1129,32,13,11,20,6,6,6,9870,0,1645,6276840,11093190,204300,635.951,1123.930,20.699,1046140,1848865,34050,635.951,1123.930,20.699,9645.412,5.863,11.537,1.968,9645.412,5.863,11.537,1.968
7,7,1009,45,18,1019,55,37,11,11,20,7,7,7,8120,0,1160,8236865,404180,231000,1014.392,49.776,28.448,1176695,57740,33000,1014.392,49.776,28.448,6579.027,5.672,11.195,1.974,6579.027,5.672,11.195,1.974
8,8,379,284,18,395,298,42,17,15,25,8,8,8,27280,0,3410,10559720,7924200,815200,387.087,290.477,29.883,1319965,990525,101900,387.087,290.477,29.883,25568.281,7.498,13.796,1.840,25568.281,7.498,13.796,1.840
9,9,329,549,18,340,569,42,12,21,25,9,9,9,24435,0,2715,8170065,13658355,723150,334.359,558.967,29.595,907785,1517595,80350,334.359,558.967,29.595,19901.881,7.330,14.275,1.947,19901.881,7.330,14.275,1.947
10,10,409,649,18,443,676,47,35,28,30,10,10,10,114600,0,11460,49003100,76046500,3712250,427.601,663.582,32.393,4900310,7604650,371225,427.601,663.582,32.393,134482.642,11.735,21.588,1.840,134482.642,11.735,21.588,1.840
11,11,801,655,18,815,669,37,15,15,20,11,11,11,28380,0,2580,22942150,18814400,773025,808.391,662.946,27.238,2085650,1710400,70275,808.391,662.946,27.238,17367.380,6.732,11.542,1.715,17367.380,6.732,11.542,1.715
12,12,258,676,18,284,690,58,27,15,41,12,12,12,83844,0,6987,22796280,57276648,3022992,271.889,683.134,36.055,1899690,4773054,251916,271.889,683.134,36.055,75071.058,10.744,23.605,2.197,75071.058,10.744,23.605,2.197
13,13,288,680,18,319,699,52,32,20,35,13,13,13,122915,0,9455,37594375,84713135,4118400,305.857,689.201,33.506,2891875,6516395,316800,305.857,689.201,33.506,102131.017,10.802,22.211,2.056,102131.017,10.802,22.211,2.056
14,14,568,748,18,593,765,58,26,18,41,14,14,14,99008,0,7072,57513862,74826822,3164224,580.901,755.765,31.959,4108133,5344773,226016,580.901,755.765,31.959,69879.582,9.881,26.203,2.652,69879.582,9.881,26.203,2.652
15,15,727,939,18,735,949,32,9,11,15,15,15,15,11325,0,755,8286075,10690575,280875,731.662,943.980,24.801,552405,712705,18725,731.662,943.980,24.801,3685.112,4.881,8.802,1.803,3685.112,4.881,8.802,1.803
16,16,23,298,23,23,298,32,1,1,10,16,16,16,160,0,10,3680,47680,4400,23.000,298.000,27.500,230,2980,275,23.000,298.000,27.500,25.000,2.500,4.500,1.800,25.000,2.500,4.500,1.800
17,17,449,354,23,451,356,32,3,3,10,17,17,17,680,0,40,306170,241400,18700,450.250,355.000,27.500,18010,14200,1100,450.250,355.000,27.500,111.766,2.794,4.776,1.709,111.766,2.794,4.776,1.709
18,18,1195,538,23,1198,540,37,4,3,15,18,18,18,1980,0,110,2370060,1067400,61650,1197.000,539.091,31.136,131670,59300,3425,1197.000,539.091,31.136,400.682,3.643,8.270,2.270,400.682,3.643,8.270,2.270
19,19,477,656,23,488,679,42,12,24,20,19,19,19,51585,0,2715,24841170,34363020,1632100,481.558,666.144,31.639,1307430,1808580,85900,481.558,666.144,31.639,20934.116,7.711,16.521,2.143,20934.116,7.711,16.521,2.143
20,20,468,671,23,468,671,32,1,1,10,20,20,20,200,0,10,93600,134200,5500,468.000,671.000,27.500,4680,6710,275,468.000,671.000,27.500,25.000,2.500,4.500,1.800,25.000,2.500,4.500,1.800
21,21,538,744,23,549,755,37,12,12,15,21,21,21,33390,0,1590,18161745,25016250,1002225,543.928,749.214,30.016,864845,1191250,47725,543.928,749.214,30.016,9133.837,5.745,10.083,1.755,9133.837,5.745,10.083,1.755
22,22,22,293,28,23,295,37,2,3,10,22,22,22,880,0,40,19800,258720,28600,22.500,294.000,32.500,900,11760,1300,22.500,294.000,32.500,108.185,2.705,4.637,1.714,108.185,2.705,4.637,1.714
23,23,523,425,28,533,438,52,11,14,25,23,23,23,46115,0,2005,24348950,19884880,1896350,528.005,431.202,41.122,1058650,864560,82450,528.005,431.202,41.122,13510.234,6.738,13.779,2.045,13510.234,6.738,13.779,2.045
24,24,316,659,28,323,665,42,8,7,15,24,24,24,8040,0,335,2569320,5319720,289200,319.567,661.657,35.970,107055,221655,12050,319.567,661.657,35.970,1408.457,4.204,8.989,2.138,1408.457,4.204,8.989,2.138
25,25,1145,685,28,1185,711,58,41,27,31,25,25,25,192250,0,7690,223671825,133684675,8469375,1163.443,695.369,44.054,8946873,5347387,338775,1163.443,695.369,44.054,107761.592,14.013,23.842,1.701,107761.592,14.013,23.842,1.701
26,26,650,823,28,666,836,47,17,14,20,26,26,26,62010,0,2385,40882270,51452440,2239250,659.285,829.744,36.111,1572395,1978940,86125,659.285,829.744,36.111,15925.552,6.677,12.312,1.844,15925.552,6.677,12.312,1.844
27,27,150,1136,28,174,1169,73,25,34,46,27,27,27,540729,0,20027,87842394,622276317,26279532,162.452,1150.810,48.600,3253422,23047271,973316,162.452,1150.810,48.600,273661.178,13.665,26.536,1.942,273661.178,13.665,26.536,1.942
28,28,522,562,33,565,608,88,44,47,56,28,28,28,1063132,0,37969,575999452,620042528,65966796,541.795,583.223,62.049,20571409,22144376,2355957,541.795,583.223,62.049,667986.014,17.593,33.069,1.880,667986.014,17.593,33.069,1.880
29,29,410,623,33,422,635,52,13,13,20,29,29,29,42775,0,1475,17812815,26900980,1734925,416.431,628.895,40.559,614235,927620,59825,416.431,628.895,40.559,8561.542,5.804,12.093,2.083,8561.542,5.804,12.093,2.083
30,30,316,665,33,316,665,42,1,1,10,30,30,30,300,0,10,94800,199500,11250,316.000,665.000,37.500,3160,6650,375,316.000,665.000,37.500,25.000,2.500,4.500,1.800,25.000,2.500,4.500,1.800
31,31,837,1022,33,842,1030,47,6,9,15,31,31,31,6665,0,215,5594105,6847900,263500,839.326,1027.442,39.535,180455,220900,8500,839.326,1027.442,39.535,954.955,4.442,8.510,1.916,954.955,4.442,8.510,1.916
32,32,1109,818,38,1110,818,47,2,1,10,32,32,32,640,0,20,710080,523520,27200,1109.500,818.000,42.500,22190,16360,850,1109.500,818.000,42.500,51.604,2.580,4.528,1.755,51.604,2.580,4.528,1.755
33,33,836,1038,38,840,1042,52,5,5,15,33,33,33,3465,0,105,2903505,3602610,152625,837.952,1039.714,44.048,87985,109170,4625,837.952,1039.714,44.048,411.193,3.916,8.366,2.136,411.193,3.916,8.366,2.136
34,34,834,1042,38,838,1048,52,5,7,15,34,34,34,9010,0,265,7530490,9415620,393550,835.792,1045.019,43.679,221485,276930,11575,835.792,1045.019,43.679,1041.050,3.928,8.887,2.262,1041.050,3.928,8.887,2.262
