 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,327,252,23,339,264,58,13,13,36,1,1,1,3139,0,3139,1044864,809196,123937,332.865,257.788,39.483,1044864,809196,123937,332.865,257.788,39.483,25712.496,8.191,19.160,2.339,25712.496,8.191,19.160,2.339
2,2,534,345,23,552,375,73,19,31,51,2,2,2,13036,0,6518,7076224,4700796,575008,542.822,360.601,44.109,3538112,2350398,287504,542.822,360.601,44.109,75944.174,11.651,33.346,2.862,75944.174,11.651,33.346,2.862
3,3,883,388,23,902,413,58,20,26,36,3,3,3,24534,0,8178,21870426,9805878,1024692,891.433,399.685,41.766,7290142,3268626,341564,891.433,399.685,41.766,85529.392,10.458,20.007,1.913,85529.392,10.458,20.007,1.913
4,4,911,530,23,925,541,52,15,12,30,4,4,4,12040,0,3010,11054980,6453600,469200,918.188,536.013,38.970,2763745,1613400,117300,918.188,536.013,38.970,23391.644,7.771,16.539,2.128,23391.644,7.771,16.539,2.128
5,5,461,603,23,495,635,52,35,33,30,5,5,5,50950,0,10190,24376800,31561275,1948500,478.446,619.456,38.243,4875360,6312255,389700,478.446,619.456,38.243,122365.778,12.008,23.563,1.962,122365.778,12.008,23.563,1.962
6,6,926,619,23,955,649,73,30,31,51,6,6,6,87960,0,14660,82971996,55814940,4136520,943.292,634.549,47.027,13828666,9302490,689420,943.292,634.549,47.027,189668.490,12.938,27.393,2.117,189668.490,12.938,27.393,2.117
7,7,463,614,23,525,656,63,63,43,41,7,7,7,146076,0,20868,73077494,93242086,5965848,500.270,638.312,40.841,10439642,13320298,852264,500.270,638.312,40.841,427733.205,20.497,39.211,1.913,427733.205,20.497,39.211,1.913
8,8,616,747,23,628,759,52,13,13,30,8,8,8,17560,0,2195,10926760,13220360,672600,622.253,752.868,38.303,1365845,1652545,84075,622.253,752.868,38.303,15011.039,6.839,15.347,2.244,15011.039,6.839,15.347,2.244
9,9,884,824,23,915,853,78,32,30,56,9,9,9,278964,0,30996,250614765,233892846,13550652,898.377,838.434,48.575,27846085,25988094,1505628,898.377,838.434,48.575,484259.818,15.623,29.954,1.917,484259.818,15.623,29.954,1.917
10,10,416,834,23,443,858,68,28,25,46,10,10,10,143490,0,14349,61667420,121464840,6758370,429.768,846.504,47.100,6166742,12146484,675837,429.768,846.504,47.100,178606.291,12.447,24.908,2.001,178606.291,12.447,24.908,2.001
11,11,689,270,28,705,289,52,17,20,25,11,11,11,45485,0,4135,31751720,12701590,1769350,698.070,279.248,38.900,2886520,1154690,160850,698.070,279.248,38.900,34128.838,8.254,16.510,2.000,34128.838,8.254,16.510,2.000
12,12,495,294,28,504,305,52,10,12,25,12,12,12,16980,0,1415,8477700,5085180,642300,499.276,299.481,37.827,706475,423765,53525,499.276,299.481,37.827,8720.843,6.163,14.567,2.364,8720.843,6.163,14.567,2.364
13,13,740,313,28,762,345,78,23,33,51,13,13,13,131495,0,10115,98402577,43087382,6595355,748.337,327.673,50.157,7569429,3314414,507335,748.337,327.673,50.157,135873.966,13.433,28.650,2.133,135873.966,13.433,28.650,2.133
14,14,938,324,28,949,331,52,12,8,25,14,14,14,15960,0,1140,15053780,5226550,616000,943.219,327.478,38.596,1075270,373325,44000,943.219,327.478,38.596,6456.862,5.664,13.795,2.436,6456.862,5.664,13.795,2.436
15,15,768,331,28,779,340,52,12,10,25,15,15,15,18525,0,1235,14330625,6219075,774000,773.583,335.713,41.781,955375,414605,51600,773.583,335.713,41.781,6960.743,5.636,13.857,2.459,6960.743,5.636,13.857,2.459
16,16,598,524,28,612,535,47,15,12,20,16,16,16,28720,0,1795,17388480,15193360,1073200,605.448,529.017,37.368,1086780,949585,67075,605.448,529.017,37.368,11703.612,6.520,12.268,1.882,11703.612,6.520,12.268,1.882
17,17,909,574,28,922,591,68,14,18,41,17,17,17,90253,0,5309,82658760,52691228,4321774,915.856,583.817,47.885,4862280,3099484,254222,915.856,583.817,47.885,54857.683,10.333,22.383,2.166,54857.683,10.333,22.383,2.166
18,18,937,590,28,953,605,63,17,16,36,18,18,18,94464,0,5248,89184852,56470302,4434192,944.115,597.797,46.941,4954714,3137239,246344,944.115,597.797,46.941,49851.275,9.499,19.516,2.055,49851.275,9.499,19.516,2.055
19,19,733,632,28,745,647,52,13,16,25,19,19,19,50730,0,2670,37443490,32437465,1970300,738.094,639.414,38.839,1970710,1707235,103700,738.094,639.414,38.839,18887.136,7.074,14.326,2.025,18887.136,7.074,14.326,2.025
20,20,326,653,28,338,668,58,13,16,31,20,20,20,77420,0,3871,25707480,51149980,3350560,332.052,660.682,43.278,1285374,2557499,167528,332.052,660.682,43.278,33284.262,8.598,16.434,1.911,33284.262,8.598,16.434,1.911
21,21,270,751,28,277,762,52,8,12,25,21,21,21,28560,0,1360,7812945,21601650,1159725,273.562,756.360,40.607,372045,1028650,55225,273.562,756.360,40.607,8490.562,6.243,12.960,2.076,8490.562,6.243,12.960,2.076
22,22,682,318,33,696,327,58,15,10,26,22,22,22,37994,0,1727,26245010,12218932,1702932,690.767,321.602,44.821,1192955,555406,77406,690.767,321.602,44.821,11948.444,6.919,14.048,2.030,11948.444,6.919,14.048,2.030
23,23,900,330,33,910,340,63,11,11,31,23,23,23,44022,0,1914,39843866,14747853,2064986,905.090,335.011,46.908,1732342,641211,89782,905.090,335.011,46.908,14002.650,7.316,16.694,2.282,14002.650,7.316,16.694,2.282
24,24,645,344,33,676,366,78,32,23,46,24,24,24,154392,0,6433,102169200,54666888,7676256,661.752,354.079,49.719,4257050,2277787,319844,661.752,354.079,49.719,76080.714,11.827,29.585,2.502,76080.714,11.827,29.585,2.502
25,25,801,346,33,844,368,83,44,23,51,25,25,25,256275,0,10251,209799100,91646200,14144700,818.648,357.609,55.193,8391964,3665848,565788,818.648,357.609,55.193,144987.282,14.144,31.141,2.202,144987.282,14.144,31.141,2.202
26,26,960,349,33,988,372,73,29,24,41,26,26,26,285298,0,10973,278552482,102756394,15288754,976.356,360.172,53.589,10713557,3952169,588029,976.356,360.172,53.589,129886.027,11.837,23.210,1.961,129886.027,11.837,23.210,1.961
27,27,682,377,33,690,385,52,9,9,20,27,27,27,16875,0,625,11566395,6426675,691200,685.416,380.840,40.960,428385,238025,25600,685.416,380.840,40.960,3049.992,4.880,11.703,2.398,3049.992,4.880,11.703,2.398
28,28,1019,446,33,1027,452,52,9,7,20,28,28,28,16940,0,605,17331860,7595700,735700,1023.132,448.388,43.430,618995,271275,26275,1023.132,448.388,43.430,2952.666,4.880,10.787,2.210,2952.666,4.880,10.787,2.210
