 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,854,43,13,895,76,52,42,34,40,1,1,1,23400,0,23400,20413040,1426715,798675,872.352,60.971,34.131,20413040,1426715,798675,872.352,60.971,34.131,329573.501,14.084,26.035,1.848,329573.501,14.084,26.035,1.848
2,2,498,273,13,519,296,47,22,24,35,2,2,2,20060,0,10030,10216520,5719620,635650,509.298,285.126,31.687,5108260,2859810,317825,509.298,285.126,31.687,105071.536,10.476,19.656,1.876,105071.536,10.476,19.656,1.876
3,3,562,64,18,572,74,42,11,11,25,3,3,3,5505,0,1835,3119865,380535,167250,566.733,69.125,30.381,1039955,126845,55750,566.733,69.125,30.381,12367.601,6.740,12.981,1.926,12367.601,6.740,12.981,1.926
4,4,979,219,18,989,228,47,11,10,30,4,4,4,6500,0,1625,6395000,1453960,216300,983.846,223.686,33.277,1598750,363490,54075,983.846,223.686,33.277,10517.075,6.472,15.474,2.391,10517.075,6.472,15.474,2.391
5,5,530,336,18,549,352,42,20,17,25,5,5,5,25950,0,5190,14006575,8925425,781000,539.752,343.947,30.096,2801315,1785085,156200,539.752,343.947,30.096,44465.769,8.568,15.010,1.752,44465.769,8.568,15.010,1.752
6,6,1054,407,18,1072,426,63,19,20,46,6,6,6,57588,0,9598,61218432,23956230,2491674,1063.041,415.993,43.267,10203072,3992705,415279,1063.041,415.993,43.267,110012.003,11.462,25.429,2.219,110012.003,11.462,25.429,2.219
7,7,757,417,18,766,425,37,10,9,20,7,7,7,9170,0,1310,6983025,3862355,255325,761.508,421.195,27.844,997575,551765,36475,761.508,421.195,27.844,7859.018,5.999,10.678,1.780,7859.018,5.999,10.678,1.780
8,8,286,439,18,301,457,52,16,19,35,8,8,8,41040,0,5130,12053440,18418160,1525400,293.700,448.786,37.169,1506680,2302270,190675,293.700,448.786,37.169,46241.712,9.014,19.623,2.177,46241.712,9.014,19.623,2.177
9,9,309,457,18,332,474,52,24,18,35,9,9,9,55710,0,6190,17860860,25929000,1965825,320.604,465.428,35.287,1984540,2881000,218425,320.604,465.428,35.287,59534.990,9.618,18.758,1.950,59534.990,9.618,18.758,1.950
10,10,749,479,18,756,489,37,8,11,20,10,10,10,11150,0,1115,8391650,5393200,316000,752.614,483.695,28.341,839165,539320,31600,752.614,483.695,28.341,6316.937,5.665,10.998,1.941,6316.937,5.665,10.998,1.941
