 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,336,413,3,348,424,27,13,12,25,1,1,1,2210,0,2210,756245,925365,38075,342.192,418.717,17.229,756245,925365,38075,342.192,418.717,17.229,14617.547,6.614,14.445,2.184,14617.547,6.614,14.445,2.184
2,2,1187,100,8,1198,116,42,12,17,35,2,2,2,6500,0,3250,7756460,709320,150500,1193.302,109.126,23.154,3878230,354660,75250,1193.302,109.126,23.154,25457.433,7.833,19.513,2.491,25457.433,7.833,19.513,2.491
3,3,276,471,8,304,493,47,29,23,40,3,3,3,9585,0,3195,2742870,4614420,245100,286.163,481.421,25.571,914290,1538140,81700,286.163,481.421,25.571,34526.858,10.807,24.857,2.300,34526.858,10.807,24.857,2.300
4,4,410,502,8,434,528,37,25,27,30,4,4,4,29380,0,7345,12428520,15188660,674500,423.027,516.973,22.958,3107130,3797165,168625,423.027,516.973,22.958,72723.358,9.901,19.554,1.975,72723.358,9.901,19.554,1.975
5,5,291,524,8,314,548,52,24,25,45,5,5,5,35275,0,7055,10719400,18962850,1023625,303.881,537.572,29.018,2143880,3792570,204725,303.881,537.572,29.018,80198.873,11.368,24.063,2.117,80198.873,11.368,24.063,2.117
6,6,206,561,8,272,613,58,67,53,51,6,6,6,226806,0,37801,53650926,133302582,6800748,236.550,587.738,29.985,8941821,22217097,1133458,236.550,587.738,29.985,822885.474,21.769,38.907,1.787,822885.474,21.769,38.907,1.787
7,7,456,630,8,475,651,37,20,22,30,7,7,7,27685,0,3955,12919795,17725295,641550,466.671,640.249,23.173,1845685,2532185,91650,466.671,640.249,23.173,35174.209,8.894,17.052,1.917,35174.209,8.894,17.052,1.917
8,8,281,616,8,317,667,68,37,52,61,8,8,8,179608,0,22451,53384224,114743456,6629384,297.226,638.855,36.910,6673028,14342932,828673,297.226,638.855,36.910,403632.036,17.978,37.835,2.104,403632.036,17.978,37.835,2.104
9,9,1,72,13,10,108,42,10,37,30,9,9,9,32985,0,3665,130635,2840085,876825,3.960,86.102,26.583,14515,315565,97425,3.960,86.102,26.583,37600.842,10.259,23.608,2.301,37600.842,10.259,23.608,2.301
10,10,24,86,13,38,95,32,15,10,20,10,10,10,9050,0,905,289750,821600,192000,32.017,90.785,21.215,28975,82160,19200,32.017,90.785,21.215,4818.381,5.324,11.543,2.168,4818.381,5.324,11.543,2.168
