 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,74,487,8,105,514,47,32,28,40,1,1,1,17075,0,17075,1514425,8534735,439650,88.693,499.838,25.748,1514425,8534735,439650,88.693,499.838,25.748,216968.511,12.707,22.891,1.802,216968.511,12.707,22.891,1.802
2,2,251,700,8,300,749,42,50,50,35,2,2,2,59200,0,29600,16290180,42872560,1515950,275.172,724.199,25.607,8145090,21436280,757975,275.172,724.199,25.607,485057.091,16.387,29.476,1.799,485057.091,16.387,29.476,1.799
3,3,1039,373,13,1070,396,42,32,24,30,3,3,3,27600,0,9200,28991610,10628400,746775,1050.421,385.087,27.057,9663870,3542800,248925,1050.421,385.087,27.057,101223.668,11.003,22.125,2.011,101223.668,11.003,22.125,2.011
4,4,733,514,13,768,541,42,36,28,30,4,4,4,41980,0,10495,31451000,22168300,1135900,749.190,528.068,27.058,7862750,5542075,283975,749.190,528.068,27.058,132526.026,12.628,21.852,1.730,132526.026,12.628,21.852,1.730
5,5,859,534,13,871,546,37,13,13,25,5,5,5,10025,0,2005,8670075,5412175,250250,864.845,539.868,24.963,1734015,1082435,50050,864.845,539.868,24.963,12686.193,6.327,13.349,2.110,12686.193,6.327,13.349,2.110
6,6,582,601,13,607,622,37,26,22,25,6,6,6,30420,0,5070,18122520,18642240,765900,595.744,612.828,25.178,3020420,3107040,127650,595.744,612.828,25.178,45747.923,9.023,15.771,1.748,45747.923,9.023,15.771,1.748
7,7,48,604,13,99,648,47,52,45,35,7,7,7,166145,0,23735,12921370,103893055,4501700,77.772,625.316,27.095,1845910,14841865,643100,77.772,625.316,27.095,456410.362,19.229,31.491,1.638,456410.362,19.229,31.491,1.638
8,8,95,646,13,115,663,37,21,18,25,8,8,8,32480,0,4060,3394840,21255360,851600,104.521,654.414,26.219,424355,2656920,106450,104.521,654.414,26.219,32856.230,8.093,15.215,1.880,32856.230,8.093,15.215,1.880
9,9,65,662,13,87,685,37,23,24,25,9,9,9,34695,0,3855,2695635,23316525,888525,77.695,672.043,25.610,299515,2590725,98725,77.695,672.043,25.610,35073.835,9.098,16.331,1.795,35073.835,9.098,16.331,1.795
10,10,552,665,13,564,678,37,13,14,25,10,10,10,20750,0,2075,11574750,13933300,533750,557.819,671.484,25.723,1157475,1393330,53375,557.819,671.484,25.723,13069.667,6.299,12.835,2.038,13069.667,6.299,12.835,2.038
11,11,501,668,13,513,680,37,13,13,25,11,11,11,19470,0,1770,9868925,13119755,496925,506.879,673.845,25.523,897175,1192705,45175,506.879,673.845,25.523,10800.318,6.102,12.842,2.105,10800.318,6.102,12.842,2.105
12,12,181,661,13,214,692,47,34,32,35,12,12,12,132960,0,11080,26207520,89798460,3959700,197.108,675.380,29.781,2183960,7483205,329975,197.108,675.380,29.781,124944.431,11.277,20.307,1.801,124944.431,11.277,20.307,1.801
13,13,233,687,13,255,707,42,23,21,30,13,13,13,69485,0,5345,16934190,48362795,1890200,243.710,696.018,27.203,1302630,3720215,145400,243.710,696.018,27.203,47937.044,8.969,15.996,1.784,47937.044,8.969,15.996,1.784
14,14,302,705,13,319,730,42,18,26,30,14,14,14,97580,0,6970,30294250,70216510,2522100,310.456,719.579,25.846,2163875,5015465,180150,310.456,719.579,25.846,66954.443,9.606,18.545,1.931,66954.443,9.606,18.545,1.931
