 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,671,578,13,693,600,47,23,23,35,1,1,1,10660,0,10660,7271115,6278920,318775,682.093,589.017,29.904,7271115,6278920,318775,682.093,589.017,29.904,114903.246,10.779,19.330,1.793,114903.246,10.779,19.330,1.793
2,2,186,782,13,233,860,63,48,79,51,2,2,2,78054,0,39027,16223950,63604924,3173212,207.855,814.884,40.654,8111975,31802462,1586606,207.855,814.884,40.654,785637.765,20.131,48.807,2.425,785637.765,20.131,48.807,2.425
3,3,133,798,13,161,816,58,29,19,46,3,3,3,28812,0,9604,4174449,23253117,932346,144.886,807.064,32.360,1391483,7751039,310782,144.886,807.064,32.360,109946.334,11.448,28.141,2.458,109946.334,11.448,28.141,2.458
4,4,1140,1182,13,1149,1190,32,10,9,20,4,4,4,4440,0,1110,5082300,5266240,104400,1144.662,1186.090,23.514,1270575,1316560,26100,1144.662,1186.090,23.514,6160.512,5.550,10.900,1.964,6160.512,5.550,10.900,1.964
5,5,1171,247,18,1179,255,37,9,9,20,5,5,5,4475,0,895,5259825,1124675,114375,1175.380,251.324,25.559,1051965,224935,22875,1175.380,251.324,25.559,4498.765,5.027,11.787,2.345,4498.765,5.027,11.787,2.345
6,6,1172,262,18,1182,273,37,11,12,20,6,6,6,9900,0,1650,11653380,2650110,283800,1177.109,267.688,28.667,1942230,441685,47300,1177.109,267.688,28.667,9960.138,6.036,11.366,1.883,9960.138,6.036,11.366,1.883
7,7,1157,271,18,1159,274,27,3,4,10,7,7,7,560,0,80,648480,152460,12600,1158.000,272.250,22.500,92640,21780,1800,1158.000,272.250,22.500,228.304,2.854,4.828,1.692,228.304,2.854,4.828,1.692
8,8,390,655,18,400,668,37,11,14,20,8,8,8,12640,0,1580,4991080,8358520,323000,394.864,661.275,25.554,623885,1044815,40375,394.864,661.275,25.554,9221.612,5.836,11.767,2.016,9221.612,5.836,11.767,2.016
9,9,55,661,18,68,671,37,14,11,20,9,9,9,17055,0,1895,1054890,11352105,446400,61.852,665.617,26.174,117210,1261345,49600,61.852,665.617,26.174,11859.534,6.258,12.067,1.928,11859.534,6.258,12.067,1.928
10,10,401,656,18,449,690,58,49,35,41,10,10,10,300330,0,30033,128302500,201771510,12015990,427.205,671.833,40.009,12830250,20177151,1201599,427.205,671.833,40.009,485537.771,16.167,29.168,1.804,485537.771,16.167,29.168,1.804
11,11,263,803,18,282,819,42,20,17,25,11,11,11,46970,0,4270,12856305,38091295,1410475,273.713,810.971,30.029,1168755,3462845,128225,273.713,810.971,30.029,34281.773,8.029,17.512,2.181,34281.773,8.029,17.512,2.181
12,12,286,914,18,303,928,37,18,15,20,12,12,12,26880,0,2240,7885740,24790500,772500,293.368,922.266,28.739,657145,2065875,64375,293.368,922.266,28.739,15762.976,7.037,12.980,1.845,15762.976,7.037,12.980,1.845
13,13,873,562,23,877,568,37,5,7,15,13,13,13,2470,0,190,2162095,1393015,77675,875.342,563.974,31.447,166315,107155,5975,875.342,563.974,31.447,734.082,3.864,8.766,2.269,734.082,3.864,8.766,2.269
14,14,357,712,23,371,732,52,15,21,30,14,14,14,54740,0,3910,19936770,39493720,2066400,364.208,721.478,37.749,1424055,2820980,147600,364.208,721.478,37.749,31361.555,8.021,16.184,2.018,31361.555,8.021,16.184,2.018
15,15,163,848,23,183,858,42,21,11,20,15,15,15,30375,0,2025,5291700,25938975,1046625,174.212,853.958,34.457,352780,1729265,69775,174.212,853.958,34.457,14380.672,7.102,13.472,1.897,14380.672,7.102,13.472,1.897
16,16,355,856,23,366,869,42,12,14,20,16,16,16,29840,0,1865,10760960,25709120,963200,360.622,861.566,32.279,672560,1606820,60200,360.622,861.566,32.279,11822.682,6.339,11.286,1.780,11822.682,6.339,11.286,1.780
17,17,1,1176,23,1,1178,32,1,3,10,17,17,17,510,0,30,510,600270,14025,1.000,1177.000,27.500,30,35310,825,1.000,1177.000,27.500,80.453,2.682,4.610,1.719,80.453,2.682,4.610,1.719
18,18,366,675,28,369,678,37,4,4,10,18,18,18,1980,0,110,727020,1340280,64350,367.182,676.909,32.500,40390,74460,3575,367.182,676.909,32.500,323.147,2.938,4.975,1.693,323.147,2.938,4.975,1.693
19,19,163,698,28,177,725,52,15,28,25,19,19,19,81795,0,4305,13905340,57843695,3321675,170.002,707.179,40.610,731860,3044405,174825,170.002,707.179,40.610,36631.559,8.509,21.174,2.488,36631.559,8.509,21.174,2.488
20,20,91,749,28,106,760,52,16,12,25,20,20,20,34500,0,1725,3431200,26045900,1364000,99.455,754.954,39.536,171560,1302295,68200,99.455,754.954,39.536,10745.282,6.229,13.311,2.137,10745.282,6.229,13.311,2.137
21,21,127,758,28,135,767,42,9,10,15,21,21,21,17325,0,825,2270730,13210050,603225,131.067,762.485,34.818,108130,629050,28725,131.067,762.485,34.818,4064.003,4.926,8.534,1.733,4064.003,4.926,8.534,1.733
22,22,199,765,28,199,765,37,1,1,10,22,22,22,220,0,10,43780,168300,7150,199.000,765.000,32.500,1990,7650,325,199.000,765.000,32.500,25.000,2.500,4.500,1.800,25.000,2.500,4.500,1.800
23,23,201,767,28,202,767,37,2,1,10,23,23,23,460,0,20,92690,352820,14950,201.500,767.000,32.500,4030,15340,650,201.500,767.000,32.500,51.604,2.580,4.528,1.755,51.604,2.580,4.528,1.755
24,24,115,769,28,120,777,42,6,9,15,24,24,24,4440,0,185,518400,3433200,150600,116.757,773.243,33.919,21600,143050,6275,116.757,773.243,33.919,768.578,4.154,9.159,2.205,768.578,4.154,9.159,2.205
25,25,97,794,28,130,823,63,34,30,36,25,25,25,226050,0,9042,25070250,183320150,10501650,110.906,810.972,46.457,1002810,7332806,420066,110.906,810.972,46.457,112672.619,12.461,26.476,2.125,112672.619,12.461,26.476,2.125
26,26,240,805,28,252,818,52,13,14,25,26,26,26,59800,0,2300,14690000,48544600,2351700,245.652,811.783,39.326,565000,1867100,90450,245.652,811.783,39.326,15456.248,6.720,13.310,1.981,15456.248,6.720,13.310,1.981
27,27,253,838,28,256,843,42,4,6,15,27,27,27,2835,0,105,720495,2382750,94500,254.143,840.476,33.333,26685,88250,3500,254.143,840.476,33.333,380.948,3.628,9.086,2.504,380.948,3.628,9.086,2.504
28,28,250,842,28,251,843,37,2,2,10,28,28,28,560,0,20,140280,471800,18200,250.500,842.500,32.500,5010,16850,650,250.500,842.500,32.500,52.993,2.650,4.555,1.719,52.993,2.650,4.555,1.719
29,29,249,847,28,252,849,37,4,3,10,29,29,29,1450,0,50,363080,1229600,47125,250.400,848.000,32.500,12520,42400,1625,250.400,848.000,32.500,142.315,2.846,4.818,1.693,142.315,2.846,4.818,1.693
30,30,17,249,33,52,280,83,36,32,51,30,30,30,902010,0,30067,29758800,238877940,51558180,32.992,264.828,57.159,991960,7962598,1718606,32.992,264.828,57.159,456257.850,15.175,28.301,1.865,456257.850,15.175,28.301,1.865
