Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
837.253,110.006,727.247,177952,1,ATG9Cargo,18-Registered,postRapalog_ATG9_BIF1/
380.157,105.864,274.293,199180,0,FKBPTagPOI,19-Registered,postRapalog_ATG9_BIF1/
162.718,105.864,56.854,240026,1,FKBPTagPOI,19-Registered,postRapalog_ATG9_BIF1/
886.642,109.890,776.752,199180,0,ATG9Cargo,19-Registered,postRapalog_ATG9_BIF1/
576.515,109.890,466.625,240026,1,ATG9Cargo,19-Registered,postRapalog_ATG9_BIF1/
994.728,105.918,888.810,202950,0,FKBPTagPOI,20-Registered,postRapalog_ATG9_BIF1/
274.340,105.918,168.422,279209,1,FKBPTagPOI,20-Registered,postRapalog_ATG9_BIF1/
731.695,108.108,623.587,202950,0,ATG9Cargo,20-Registered,postRapalog_ATG9_BIF1/
446.730,108.108,338.622,279209,1,ATG9Cargo,20-Registered,postRapalog_ATG9_BIF1/
665.812,109.668,556.145,315921,0,FKBPTagPOI,21-Registered,postRapalog_ATG9_BIF1/
225.232,109.668,115.564,325192,1,FKBPTagPOI,21-Registered,postRapalog_ATG9_BIF1/
1272.843,118.247,1154.595,315921,0,ATG9Cargo,21-Registered,postRapalog_ATG9_BIF1/
781.176,118.247,662.928,325192,1,ATG9Cargo,21-Registered,postRapalog_ATG9_BIF1/
475.927,105.615,370.312,167288,0,FKBPTagPOI,01-Registered,postRapalog_EmptyV_BIF1/
218.716,105.615,113.101,222853,1,FKBPTagPOI,01-Registered,postRapalog_EmptyV_BIF1/
366.662,110.363,256.298,167288,0,ATG9Cargo,01-Registered,postRapalog_EmptyV_BIF1/
263.653,110.363,153.290,222853,1,ATG9Cargo,01-Registered,postRapalog_EmptyV_BIF1/
241.345,107.782,133.563,194675,0,FKBPTagPOI,02-Registered,postRapalog_EmptyV_BIF1/
140.248,107.782,32.467,378691,1,FKBPTagPOI,02-Registered,postRapalog_EmptyV_BIF1/
477.648,115.917,361.731,194675,0,ATG9Cargo,02-Registered,postRapalog_EmptyV_BIF1/
391.812,115.917,275.895,378691,1,ATG9Cargo,02-Registered,postRapalog_EmptyV_BIF1/
503.324,105.997,397.327,286359,0,FKBPTagPOI,03-Registered,postRapalog_EmptyV_BIF1/
268.148,105.997,162.151,296806,1,FKBPTagPOI,03-Registered,postRapalog_EmptyV_BIF1/
934.285,110.612,823.673,286359,0,ATG9Cargo,03-Registered,postRapalog_EmptyV_BIF1/
659.708,110.612,549.096,296806,1,ATG9Cargo,03-Registered,postRapalog_EmptyV_BIF1/
302.833,105.548,197.285,225938,0,FKBPTagPOI,04-Registered,postRapalog_EmptyV_BIF1/
215.392,105.548,109.844,321180,1,FKBPTagPOI,04-Registered,postRapalog_EmptyV_BIF1/
440.114,111.853,328.261,225938,0,ATG9Cargo,04-Registered,postRapalog_EmptyV_BIF1/
317.584,111.853,205.731,321180,1,ATG9Cargo,04-Registered,postRapalog_EmptyV_BIF1/
385.338,107.400,277.938,344268,0,FKBPTagPOI,05-Registered,postRapalog_EmptyV_BIF1/
189.676,107.400,82.276,309554,1,FKBPTagPOI,05-Registered,postRapalog_EmptyV_BIF1/
953.413,112.049,841.364,344268,0,ATG9Cargo,05-Registered,postRapalog_EmptyV_BIF1/
655.169,112.049,543.120,309554,1,ATG9Cargo,05-Registered,postRapalog_EmptyV_BIF1/
705.810,105.865,599.945,212551,0,FKBPTagPOI,06-Registered,postRapalog_EmptyV_BIF1/
243.248,105.865,137.383,289122,1,FKBPTagPOI,06-Registered,postRapalog_EmptyV_BIF1/
1545.154,111.799,1433.355,212551,0,ATG9Cargo,06-Registered,postRapalog_EmptyV_BIF1/
747.044,111.799,635.245,289122,1,ATG9Cargo,06-Registered,postRapalog_EmptyV_BIF1/
222.741,104.845,117.897,269626,0,FKBPTagPOI,07-Registered,postRapalog_EmptyV_BIF1/
151.342,104.845,46.497,261883,1,FKBPTagPOI,07-Registered,postRapalog_EmptyV_BIF1/
384.897,108.303,276.594,269626,0,ATG9Cargo,07-Registered,postRapalog_EmptyV_BIF1/
241.885,108.303,133.582,261883,1,ATG9Cargo,07-Registered,postRapalog_EmptyV_BIF1/
309.428,109.342,200.086,301185,0,FKBPTagPOI,08-Registered,postRapalog_EmptyV_BIF1/
276.616,109.342,167.274,362578,1,FKBPTagPOI,08-Registered,postRapalog_EmptyV_BIF1/
1505.020,123.234,1381.786,301185,0,ATG9Cargo,08-Registered,postRapalog_EmptyV_BIF1/
832.789,123.234,709.555,362578,1,ATG9Cargo,08-Registered,postRapalog_EmptyV_BIF1/
426.276,108.306,317.970,305534,0,FKBPTagPOI,09-Registered,postRapalog_EmptyV_BIF1/
