Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
470.709,107.867,362.842,222302,0,FKBPTagPOI,01-Registered,postRapalog_ATG9_ARFIP2/
174.482,107.867,66.616,322650,1,FKBPTagPOI,01-Registered,postRapalog_ATG9_ARFIP2/
3070.422,132.115,2938.307,222302,0,ATG9Cargo,01-Registered,postRapalog_ATG9_ARFIP2/
1764.829,132.115,1632.714,322650,1,ATG9Cargo,01-Registered,postRapalog_ATG9_ARFIP2/
953.951,105.046,848.905,265351,0,FKBPTagPOI,02-Registered,postRapalog_ATG9_ARFIP2/
230.134,105.046,125.088,376012,1,FKBPTagPOI,02-Registered,postRapalog_ATG9_ARFIP2/
3037.280,119.560,2917.721,265351,0,ATG9Cargo,02-Registered,postRapalog_ATG9_ARFIP2/
1681.752,119.560,1562.193,376012,1,ATG9Cargo,02-Registered,postRapalog_ATG9_ARFIP2/
614.609,106.581,508.028,265380,0,FKBPTagPOI,03-Registered,postRapalog_ATG9_ARFIP2/
185.478,106.581,78.897,334432,1,FKBPTagPOI,03-Registered,postRapalog_ATG9_ARFIP2/
2956.371,125.682,2830.689,265380,0,ATG9Cargo,03-Registered,postRapalog_ATG9_ARFIP2/
1331.316,125.682,1205.635,334432,1,ATG9Cargo,03-Registered,postRapalog_ATG9_ARFIP2/
1294.743,106.405,1188.339,203297,0,FKBPTagPOI,04-Registered,postRapalog_ATG9_ARFIP2/
433.245,106.405,326.840,227601,1,FKBPTagPOI,04-Registered,postRapalog_ATG9_ARFIP2/
5340.587,124.814,5215.772,203297,0,ATG9Cargo,04-Registered,postRapalog_ATG9_ARFIP2/
3375.372,124.814,3250.558,227601,1,ATG9Cargo,04-Registered,postRapalog_ATG9_ARFIP2/
353.193,106.047,247.146,151617,0,FKBPTagPOI,05-Registered,postRapalog_ATG9_ARFIP2/
145.749,106.047,39.702,151349,1,FKBPTagPOI,05-Registered,postRapalog_ATG9_ARFIP2/
1613.326,118.685,1494.641,151617,0,ATG9Cargo,05-Registered,postRapalog_ATG9_ARFIP2/
1204.456,118.685,1085.771,151349,1,ATG9Cargo,05-Registered,postRapalog_ATG9_ARFIP2/
640.138,107.374,532.764,245554,0,FKBPTagPOI,06-Registered,postRapalog_ATG9_ARFIP2/
196.026,107.374,88.653,329307,1,FKBPTagPOI,06-Registered,postRapalog_ATG9_ARFIP2/
3418.225,125.208,3293.017,245554,0,ATG9Cargo,06-Registered,postRapalog_ATG9_ARFIP2/
2286.253,125.208,2161.046,329307,1,ATG9Cargo,06-Registered,postRapalog_ATG9_ARFIP2/
1837.601,113.426,1724.175,234992,0,FKBPTagPOI,07-Registered,postRapalog_ATG9_ARFIP2/
443.349,113.426,329.922,355096,1,FKBPTagPOI,07-Registered,postRapalog_ATG9_ARFIP2/
3835.566,131.984,3703.583,234992,0,ATG9Cargo,07-Registered,postRapalog_ATG9_ARFIP2/
2434.930,131.984,2302.946,355096,1,ATG9Cargo,07-Registered,postRapalog_ATG9_ARFIP2/
1221.787,106.546,1115.241,80411,0,FKBPTagPOI,08-Registered,postRapalog_ATG9_ARFIP2/
310.736,106.546,204.190,137319,1,FKBPTagPOI,08-Registered,postRapalog_ATG9_ARFIP2/
3682.734,121.419,3561.315,80411,0,ATG9Cargo,08-Registered,postRapalog_ATG9_ARFIP2/
2092.673,121.419,1971.254,137319,1,ATG9Cargo,08-Registered,postRapalog_ATG9_ARFIP2/
321.004,105.346,215.659,332558,0,FKBPTagPOI,09-Registered,postRapalog_ATG9_ARFIP2/
150.596,105.346,45.251,331946,1,FKBPTagPOI,09-Registered,postRapalog_ATG9_ARFIP2/
1749.767,116.884,1632.884,332558,0,ATG9Cargo,09-Registered,postRapalog_ATG9_ARFIP2/
1073.514,116.884,956.630,331946,1,ATG9Cargo,09-Registered,postRapalog_ATG9_ARFIP2/
511.477,105.706,405.770,145790,0,FKBPTagPOI,10-Registered,postRapalog_ATG9_ARFIP2/
217.656,105.706,111.950,248623,1,FKBPTagPOI,10-Registered,postRapalog_ATG9_ARFIP2/
5943.144,118.116,5825.029,145790,0,ATG9Cargo,10-Registered,postRapalog_ATG9_ARFIP2/
2315.686,118.116,2197.570,248623,1,ATG9Cargo,10-Registered,postRapalog_ATG9_ARFIP2/
1034.980,105.287,929.693,139574,0,FKBPTagPOI,11-Registered,postRapalog_ATG9_ARFIP2/
237.754,105.287,132.467,186784,1,FKBPTagPOI,11-Registered,postRapalog_ATG9_ARFIP2/
2504.153,117.540,2386.613,139574,0,ATG9Cargo,11-Registered,postRapalog_ATG9_ARFIP2/
1390.702,117.540,1273.162,186784,1,ATG9Cargo,11-Registered,postRapalog_ATG9_ARFIP2/
805.977,106.714,699.263,91183,0,FKBPTagPOI,12-Registered,postRapalog_ATG9_ARFIP2/
205.090,106.714,98.376,225431,1,FKBPTagPOI,12-Registered,postRapalog_ATG9_ARFIP2/
3979.229,119.000,3860.229,91183,0,ATG9Cargo,12-Registered,postRapalog_ATG9_ARFIP2/
1690.820,119.000,1571.820,225431,1,ATG9Cargo,12-Registered,postRapalog_ATG9_ARFIP2/
416.707,106.065,310.642,261405,0,FKBPTagPOI,13-Registered,postRapalog_ATG9_ARFIP2/
178.481,106.065,72.416,345898,1,FKBPTagPOI,13-Registered,postRapalog_ATG9_ARFIP2/
3321.387,120.366,3201.021,261405,0,ATG9Cargo,13-Registered,postRapalog_ATG9_ARFIP2/
