 ,Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
53,820.51,104.91,715.61,164873,0,FKBPTagPOI,14-Registered,postRapalog_ATG9_DAGLB/
54,229.80,104.91,124.90,212827,1,FKBPTagPOI,14-Registered,postRapalog_ATG9_DAGLB/
55,2304.81,106.92,2197.89,164873,0,ATG9Cargo,14-Registered,postRapalog_ATG9_DAGLB/
56,719.59,106.92,612.67,212827,1,ATG9Cargo,14-Registered,postRapalog_ATG9_DAGLB/
57,2251.17,105.57,2145.60,70854,0,FKBPTagPOI,15-Registered,postRapalog_ATG9_DAGLB/
58,554.99,105.57,449.42,146894,1,FKBPTagPOI,15-Registered,postRapalog_ATG9_DAGLB/
59,2653.95,109.25,2544.69,70854,0,ATG9Cargo,15-Registered,postRapalog_ATG9_DAGLB/
60,1461.47,109.25,1352.22,146894,1,ATG9Cargo,15-Registered,postRapalog_ATG9_DAGLB/
61,290.32,105.71,184.61,190381,0,FKBPTagPOI,16-Registered,postRapalog_ATG9_DAGLB/
62,152.01,105.71,46.29,316643,1,FKBPTagPOI,16-Registered,postRapalog_ATG9_DAGLB/
63,957.34,108.51,848.83,190381,0,ATG9Cargo,16-Registered,postRapalog_ATG9_DAGLB/
64,408.72,108.51,300.21,316643,1,ATG9Cargo,16-Registered,postRapalog_ATG9_DAGLB/
65,804.67,105.20,699.47,94740,0,FKBPTagPOI,17-Registered,postRapalog_ATG9_DAGLB/
66,238.96,105.20,133.75,93024,1,FKBPTagPOI,17-Registered,postRapalog_ATG9_DAGLB/
67,2549.12,107.73,2441.39,94740,0,ATG9Cargo,17-Registered,postRapalog_ATG9_DAGLB/
68,1072.70,107.73,964.97,93024,1,ATG9Cargo,17-Registered,postRapalog_ATG9_DAGLB/
69,1346.79,105.62,1241.17,87746,0,FKBPTagPOI,18-Registered,postRapalog_ATG9_DAGLB/
70,345.15,105.62,239.53,112527,1,FKBPTagPOI,18-Registered,postRapalog_ATG9_DAGLB/
71,2515.76,108.27,2407.48,87746,0,ATG9Cargo,18-Registered,postRapalog_ATG9_DAGLB/
72,1219.50,108.27,1111.22,112527,1,ATG9Cargo,18-Registered,postRapalog_ATG9_DAGLB/
