 ,Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
1,923.28,108.55,814.73,285921,0,FKBPTagPOI,01-Registered,postRapalog_ATG9_PI4K2a/
2,274.77,108.55,166.22,409464,1,FKBPTagPOI,01-Registered,postRapalog_ATG9_PI4K2a/
3,516.64,111.49,405.14,285921,0,ATG9Cargo,01-Registered,postRapalog_ATG9_PI4K2a/
4,305.01,111.49,193.51,409464,1,ATG9Cargo,01-Registered,postRapalog_ATG9_PI4K2a/
5,754.08,104.04,650.04,154811,0,FKBPTagPOI,02-Registered,postRapalog_ATG9_PI4K2a/
6,218.43,104.04,114.40,199213,1,FKBPTagPOI,02-Registered,postRapalog_ATG9_PI4K2a/
7,182.91,106.46,76.45,154811,0,ATG9Cargo,02-Registered,postRapalog_ATG9_PI4K2a/
8,145.88,106.46,39.41,199213,1,ATG9Cargo,02-Registered,postRapalog_ATG9_PI4K2a/
9,1375.02,105.93,1269.09,91988,0,FKBPTagPOI,03-Registered,postRapalog_ATG9_PI4K2a/
10,333.50,105.93,227.57,134249,1,FKBPTagPOI,03-Registered,postRapalog_ATG9_PI4K2a/
11,1861.50,108.77,1752.73,91988,0,ATG9Cargo,03-Registered,postRapalog_ATG9_PI4K2a/
12,905.60,108.77,796.83,134249,1,ATG9Cargo,03-Registered,postRapalog_ATG9_PI4K2a/
13,922.69,104.63,818.06,170245,0,FKBPTagPOI,04-Registered,postRapalog_ATG9_PI4K2a/
14,202.91,104.63,98.27,252455,1,FKBPTagPOI,04-Registered,postRapalog_ATG9_PI4K2a/
15,1407.14,107.76,1299.37,170245,0,ATG9Cargo,04-Registered,postRapalog_ATG9_PI4K2a/
16,505.97,107.76,398.20,252455,1,ATG9Cargo,04-Registered,postRapalog_ATG9_PI4K2a/
17,1674.20,107.46,1566.74,203929,0,FKBPTagPOI,05-Registered,postRapalog_ATG9_PI4K2a/
18,516.49,107.46,409.03,213215,1,FKBPTagPOI,05-Registered,postRapalog_ATG9_PI4K2a/
19,2896.56,115.80,2780.76,203929,0,ATG9Cargo,05-Registered,postRapalog_ATG9_PI4K2a/
20,1334.86,115.80,1219.06,213215,1,ATG9Cargo,05-Registered,postRapalog_ATG9_PI4K2a/
21,427.79,114.07,313.72,120517,0,FKBPTagPOI,06-Registered,postRapalog_ATG9_PI4K2a/
22,172.78,114.07,58.71,169603,1,FKBPTagPOI,06-Registered,postRapalog_ATG9_PI4K2a/
23,572.90,115.90,457.00,120517,0,ATG9Cargo,06-Registered,postRapalog_ATG9_PI4K2a/
24,298.88,115.90,182.98,169603,1,ATG9Cargo,06-Registered,postRapalog_ATG9_PI4K2a/
25,583.49,104.57,478.92,258857,0,FKBPTagPOI,07-Registered,postRapalog_ATG9_PI4K2a/
26,186.58,104.57,82.01,277340,1,FKBPTagPOI,07-Registered,postRapalog_ATG9_PI4K2a/
27,818.77,107.75,711.02,258857,0,ATG9Cargo,07-Registered,postRapalog_ATG9_PI4K2a/
