Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
210.343,106.273,104.070,201573,1,FKBPTagPOI,14-Registered,postRapalog_ATG9_PI4K3b/
2894.385,110.384,2784.001,145703,0,ATG9Cargo,14-Registered,postRapalog_ATG9_PI4K3b/
1924.100,110.384,1813.716,201573,1,ATG9Cargo,14-Registered,postRapalog_ATG9_PI4K3b/
197.473,105.102,92.372,180932,0,FKBPTagPOI,15-Registered,postRapalog_ATG9_PI4K3b/
125.098,105.102,19.996,326205,1,FKBPTagPOI,15-Registered,postRapalog_ATG9_PI4K3b/
329.648,107.027,222.620,180932,0,ATG9Cargo,15-Registered,postRapalog_ATG9_PI4K3b/
205.102,107.027,98.075,326205,1,ATG9Cargo,15-Registered,postRapalog_ATG9_PI4K3b/
543.631,105.987,437.644,62871,0,FKBPTagPOI,16-Registered,postRapalog_ATG9_PI4K3b/
158.113,105.987,52.126,66412,1,FKBPTagPOI,16-Registered,postRapalog_ATG9_PI4K3b/
1188.387,105.896,1082.491,62871,0,ATG9Cargo,16-Registered,postRapalog_ATG9_PI4K3b/
817.183,105.896,711.287,66412,1,ATG9Cargo,16-Registered,postRapalog_ATG9_PI4K3b/
349.349,105.073,244.276,68188,0,FKBPTagPOI,17-Registered,postRapalog_ATG9_PI4K3b/
136.834,105.073,31.761,109503,1,FKBPTagPOI,17-Registered,postRapalog_ATG9_PI4K3b/
751.031,107.826,643.206,68188,0,ATG9Cargo,17-Registered,postRapalog_ATG9_PI4K3b/
492.635,107.826,384.809,109503,1,ATG9Cargo,17-Registered,postRapalog_ATG9_PI4K3b/
264.096,105.067,159.029,117396,0,FKBPTagPOI,18-Registered,postRapalog_ATG9_PI4K3b/
155.254,105.067,50.187,176789,1,FKBPTagPOI,18-Registered,postRapalog_ATG9_PI4K3b/
522.944,108.051,414.893,117396,0,ATG9Cargo,18-Registered,postRapalog_ATG9_PI4K3b/
377.682,108.051,269.631,176789,1,ATG9Cargo,18-Registered,postRapalog_ATG9_PI4K3b/
433.196,104.992,328.204,73188,0,FKBPTagPOI,19-Registered,postRapalog_ATG9_PI4K3b/
155.175,104.992,50.183,126349,1,FKBPTagPOI,19-Registered,postRapalog_ATG9_PI4K3b/
377.552,106.881,270.671,73188,0,ATG9Cargo,19-Registered,postRapalog_ATG9_PI4K3b/
232.894,106.881,126.013,126349,1,ATG9Cargo,19-Registered,postRapalog_ATG9_PI4K3b/
354.089,105.702,248.386,153441,0,FKBPTagPOI,20-Registered,postRapalog_ATG9_PI4K3b/
138.851,105.702,33.149,244971,1,FKBPTagPOI,20-Registered,postRapalog_ATG9_PI4K3b/
1318.664,110.489,1208.175,153441,0,ATG9Cargo,20-Registered,postRapalog_ATG9_PI4K3b/
662.097,110.489,551.608,244971,1,ATG9Cargo,20-Registered,postRapalog_ATG9_PI4K3b/
323.673,105.577,218.096,152382,0,FKBPTagPOI,21-Registered,postRapalog_ATG9_PI4K3b/
139.423,105.577,33.846,212231,1,FKBPTagPOI,21-Registered,postRapalog_ATG9_PI4K3b/
1339.355,110.007,1229.348,152382,0,ATG9Cargo,21-Registered,postRapalog_ATG9_PI4K3b/
580.310,110.007,470.303,212231,1,ATG9Cargo,21-Registered,postRapalog_ATG9_PI4K3b/
203.995,104.909,99.085,111031,0,FKBPTagPOI,22-Registered,postRapalog_ATG9_PI4K3b/
125.877,104.909,20.968,144754,1,FKBPTagPOI,22-Registered,postRapalog_ATG9_PI4K3b/
252.347,107.874,144.473,111031,0,ATG9Cargo,22-Registered,postRapalog_ATG9_PI4K3b/
192.850,107.874,84.976,144754,1,ATG9Cargo,22-Registered,postRapalog_ATG9_PI4K3b/
392.920,105.063,287.856,105654,0,FKBPTagPOI,01-Registered,postRapalog_EmptyV_PI4K3b/
150.429,105.063,45.366,142275,1,FKBPTagPOI,01-Registered,postRapalog_EmptyV_PI4K3b/
708.488,110.054,598.434,105654,0,ATG9Cargo,01-Registered,postRapalog_EmptyV_PI4K3b/
474.538,110.054,364.484,142275,1,ATG9Cargo,01-Registered,postRapalog_EmptyV_PI4K3b/
559.715,105.801,453.914,101569,0,FKBPTagPOI,02-Registered,postRapalog_EmptyV_PI4K3b/
235.191,105.801,129.390,164240,1,FKBPTagPOI,02-Registered,postRapalog_EmptyV_PI4K3b/
594.513,111.833,482.679,101569,0,ATG9Cargo,02-Registered,postRapalog_EmptyV_PI4K3b/
487.310,111.833,375.477,164240,1,ATG9Cargo,02-Registered,postRapalog_EmptyV_PI4K3b/
325.382,105.770,219.612,150509,0,FKBPTagPOI,03-Registered,postRapalog_EmptyV_PI4K3b/
156.026,105.770,50.256,226206,1,FKBPTagPOI,03-Registered,postRapalog_EmptyV_PI4K3b/
447.529,109.536,337.993,150509,0,ATG9Cargo,03-Registered,postRapalog_EmptyV_PI4K3b/
318.071,109.536,208.535,226206,1,ATG9Cargo,03-Registered,postRapalog_EmptyV_PI4K3b/
