Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
755.709,105.322,650.388,275504,0,FKBPTagPOI,14-Registered,postRapalog_TPDmut_PI4K2a/
247.905,105.322,142.583,420733,1,FKBPTagPOI,14-Registered,postRapalog_TPDmut_PI4K2a/
449.097,107.250,341.847,275504,0,ATG9Cargo,14-Registered,postRapalog_TPDmut_PI4K2a/
406.909,107.250,299.659,420733,1,ATG9Cargo,14-Registered,postRapalog_TPDmut_PI4K2a/
1040.059,105.909,934.151,166719,0,FKBPTagPOI,15-Registered,postRapalog_TPDmut_PI4K2a/
275.861,105.909,169.952,242082,1,FKBPTagPOI,15-Registered,postRapalog_TPDmut_PI4K2a/
1049.110,108.194,940.916,166719,0,ATG9Cargo,15-Registered,postRapalog_TPDmut_PI4K2a/
749.911,108.194,641.717,242082,1,ATG9Cargo,15-Registered,postRapalog_TPDmut_PI4K2a/
664.765,105.746,559.020,210014,0,FKBPTagPOI,16-Registered,postRapalog_TPDmut_PI4K2a/
264.053,105.746,158.308,282612,1,FKBPTagPOI,16-Registered,postRapalog_TPDmut_PI4K2a/
1150.652,107.103,1043.550,210014,0,ATG9Cargo,16-Registered,postRapalog_TPDmut_PI4K2a/
845.847,107.103,738.744,282612,1,ATG9Cargo,16-Registered,postRapalog_TPDmut_PI4K2a/
474.169,104.670,369.499,234802,0,FKBPTagPOI,17-Registered,postRapalog_TPDmut_PI4K2a/
179.193,104.670,74.523,338356,1,FKBPTagPOI,17-Registered,postRapalog_TPDmut_PI4K2a/
1464.649,104.901,1359.748,234802,0,ATG9Cargo,17-Registered,postRapalog_TPDmut_PI4K2a/
777.257,104.901,672.357,338356,1,ATG9Cargo,17-Registered,postRapalog_TPDmut_PI4K2a/
301.428,107.124,194.305,287051,0,FKBPTagPOI,18-Registered,postRapalog_TPDmut_PI4K2a/
177.188,107.124,70.064,392673,1,FKBPTagPOI,18-Registered,postRapalog_TPDmut_PI4K2a/
166.310,106.567,59.743,287051,0,ATG9Cargo,18-Registered,postRapalog_TPDmut_PI4K2a/
148.572,106.567,42.005,392673,1,ATG9Cargo,18-Registered,postRapalog_TPDmut_PI4K2a/
504.849,105.300,399.549,322159,0,FKBPTagPOI,19-Registered,postRapalog_TPDmut_PI4K2a/
227.200,105.300,121.899,348813,1,FKBPTagPOI,19-Registered,postRapalog_TPDmut_PI4K2a/
212.808,105.507,107.300,322159,0,ATG9Cargo,19-Registered,postRapalog_TPDmut_PI4K2a/
190.734,105.507,85.227,348813,1,ATG9Cargo,19-Registered,postRapalog_TPDmut_PI4K2a/
537.129,106.085,431.045,250846,0,FKBPTagPOI,20-Registered,postRapalog_TPDmut_PI4K2a/
219.121,106.085,113.037,345438,1,FKBPTagPOI,20-Registered,postRapalog_TPDmut_PI4K2a/
255.265,110.460,144.805,250846,0,ATG9Cargo,20-Registered,postRapalog_TPDmut_PI4K2a/
245.844,110.460,135.384,345438,1,ATG9Cargo,20-Registered,postRapalog_TPDmut_PI4K2a/
534.555,107.047,427.508,283171,0,FKBPTagPOI,21-Registered,postRapalog_TPDmut_PI4K2a/
193.791,107.047,86.744,261013,1,FKBPTagPOI,21-Registered,postRapalog_TPDmut_PI4K2a/
373.850,106.759,267.091,283171,0,ATG9Cargo,21-Registered,postRapalog_TPDmut_PI4K2a/
262.899,106.759,156.140,261013,1,ATG9Cargo,21-Registered,postRapalog_TPDmut_PI4K2a/
736.956,106.070,630.887,259362,0,FKBPTagPOI,22-Registered,postRapalog_TPDmut_PI4K2a/
230.721,106.070,124.651,393355,1,FKBPTagPOI,22-Registered,postRapalog_TPDmut_PI4K2a/
414.420,107.598,306.821,259362,0,ATG9Cargo,22-Registered,postRapalog_TPDmut_PI4K2a/
343.766,107.598,236.167,393355,1,ATG9Cargo,22-Registered,postRapalog_TPDmut_PI4K2a/
326.335,105.756,220.578,277976,0,FKBPTagPOI,23-Registered,postRapalog_TPDmut_PI4K2a/
163.200,105.756,57.444,407404,1,FKBPTagPOI,23-Registered,postRapalog_TPDmut_PI4K2a/
797.759,106.492,691.267,277976,0,ATG9Cargo,23-Registered,postRapalog_TPDmut_PI4K2a/
590.234,106.492,483.742,407404,1,ATG9Cargo,23-Registered,postRapalog_TPDmut_PI4K2a/
362.633,103.612,259.020,312980,0,FKBPTagPOI,01-Registered,postRapalog_ATG9_PI4K2a/
154.844,103.612,51.232,340818,1,FKBPTagPOI,01-Registered,postRapalog_ATG9_PI4K2a/
265.087,105.061,160.026,312980,0,ATG9Cargo,01-Registered,postRapalog_ATG9_PI4K2a/
183.746,105.061,78.685,340818,1,ATG9Cargo,01-Registered,postRapalog_ATG9_PI4K2a/
355.816,104.074,251.742,247738,0,FKBPTagPOI,02-Registered,postRapalog_ATG9_PI4K2a/
176.195,104.074,72.121,282207,1,FKBPTagPOI,02-Registered,postRapalog_ATG9_PI4K2a/
412.659,105.967,306.692,247738,0,ATG9Cargo,02-Registered,postRapalog_ATG9_PI4K2a/
298.051,105.967,192.084,282207,1,ATG9Cargo,02-Registered,postRapalog_ATG9_PI4K2a/
506.219,105.220,400.999,312551,0,FKBPTagPOI,03-Registered,postRapalog_ATG9_PI4K2a/
158.223,105.220,53.003,356619,1,FKBPTagPOI,03-Registered,postRapalog_ATG9_PI4K2a/
718.939,109.928,609.011,312551,0,ATG9Cargo,03-Registered,postRapalog_ATG9_PI4K2a/
252.209,109.928,142.281,356619,1,ATG9Cargo,03-Registered,postRapalog_ATG9_PI4K2a/
361.513,105.850,255.663,308439,0,FKBPTagPOI,04-Registered,postRapalog_ATG9_PI4K2a/
179.333,105.850,73.483,372319,1,FKBPTagPOI,04-Registered,postRapalog_ATG9_PI4K2a/
1722.751,115.984,1606.766,308439,0,ATG9Cargo,04-Registered,postRapalog_ATG9_PI4K2a/
1085.369,115.984,969.384,372319,1,ATG9Cargo,04-Registered,postRapalog_ATG9_PI4K2a/
311.931,103.823,208.108,298804,0,FKBPTagPOI,05-Registered,postRapalog_ATG9_PI4K2a/
140.302,103.823,36.479,262585,1,FKBPTagPOI,05-Registered,postRapalog_ATG9_PI4K2a/
304.329,104.416,199.913,298804,0,ATG9Cargo,05-Registered,postRapalog_ATG9_PI4K2a/
214.289,104.416,109.873,262585,1,ATG9Cargo,05-Registered,postRapalog_ATG9_PI4K2a/
375.339,104.979,270.360,344642,0,FKBPTagPOI,06-Registered,postRapalog_ATG9_PI4K2a/
157.162,104.979,52.183,376354,1,FKBPTagPOI,06-Registered,postRapalog_ATG9_PI4K2a/
360.102,109.441,250.662,344642,0,ATG9Cargo,06-Registered,postRapalog_ATG9_PI4K2a/
219.145,109.441,109.704,376354,1,ATG9Cargo,06-Registered,postRapalog_ATG9_PI4K2a/
1096.577,105.571,991.006,135299,0,FKBPTagPOI,07-Registered,postRapalog_ATG9_PI4K2a/
303.096,105.571,197.525,171307,1,FKBPTagPOI,07-Registered,postRapalog_ATG9_PI4K2a/
941.433,106.714,834.719,135299,0,ATG9Cargo,07-Registered,postRapalog_ATG9_PI4K2a/
453.220,106.714,346.506,171307,1,ATG9Cargo,07-Registered,postRapalog_ATG9_PI4K2a/
1950.869,105.144,1845.725,59287,0,FKBPTagPOI,08-Registered,postRapalog_ATG9_PI4K2a/
391.009,105.144,285.865,73107,1,FKBPTagPOI,08-Registered,postRapalog_ATG9_PI4K2a/
2082.321,106.436,1975.885,59287,0,ATG9Cargo,08-Registered,postRapalog_ATG9_PI4K2a/
835.131,106.436,728.695,73107,1,ATG9Cargo,08-Registered,postRapalog_ATG9_PI4K2a/
1204.942,105.979,1098.963,160781,0,FKBPTagPOI,09-Registered,postRapalog_ATG9_PI4K2a/
301.848,105.979,195.869,227067,1,FKBPTagPOI,09-Registered,postRapalog_ATG9_PI4K2a/
1205.971,109.676,1096.295,160781,0,ATG9Cargo,09-Registered,postRapalog_ATG9_PI4K2a/
450.721,109.676,341.045,227067,1,ATG9Cargo,09-Registered,postRapalog_ATG9_PI4K2a/
882.085,105.508,776.577,205613,0,FKBPTagPOI,10-Registered,postRapalog_ATG9_PI4K2a/
280.174,105.508,174.667,293951,1,FKBPTagPOI,10-Registered,postRapalog_ATG9_PI4K2a/
1620.865,107.143,1513.722,205613,0,ATG9Cargo,10-Registered,postRapalog_ATG9_PI4K2a/
719.258,107.143,612.115,293951,1,ATG9Cargo,10-Registered,postRapalog_ATG9_PI4K2a/
322.540,103.526,219.014,292491,0,FKBPTagPOI,11-Registered,postRapalog_ATG9_PI4K2a/
143.996,103.526,40.470,313568,1,FKBPTagPOI,11-Registered,postRapalog_ATG9_PI4K2a/
419.434,104.380,315.054,292491,0,ATG9Cargo,11-Registered,postRapalog_ATG9_PI4K2a/
257.341,104.380,152.961,313568,1,ATG9Cargo,11-Registered,postRapalog_ATG9_PI4K2a/
223.337,104.777,118.560,304546,0,FKBPTagPOI,01-Registered,postRapalog_EmptyV_PI4K2a/
135.983,104.777,31.206,427967,1,FKBPTagPOI,01-Registered,postRapalog_EmptyV_PI4K2a/
196.864,106.639,90.225,304546,0,ATG9Cargo,01-Registered,postRapalog_EmptyV_PI4K2a/
153.798,106.639,47.159,427967,1,ATG9Cargo,01-Registered,postRapalog_EmptyV_PI4K2a/
290.383,105.164,185.219,369842,0,FKBPTagPOI,02-Registered,postRapalog_EmptyV_PI4K2a/
184.144,105.164,78.980,376756,1,FKBPTagPOI,02-Registered,postRapalog_EmptyV_PI4K2a/
392.350,109.861,282.489,369842,0,ATG9Cargo,02-Registered,postRapalog_EmptyV_PI4K2a/
370.893,109.861,261.032,376756,1,ATG9Cargo,02-Registered,postRapalog_EmptyV_PI4K2a/
292.723,105.279,187.444,329026,0,FKBPTagPOI,03-Registered,postRapalog_EmptyV_PI4K2a/
165.061,105.279,59.783,425745,1,FKBPTagPOI,03-Registered,postRapalog_EmptyV_PI4K2a/
1009.788,110.358,899.430,329026,0,ATG9Cargo,03-Registered,postRapalog_EmptyV_PI4K2a/
815.826,110.358,705.468,425745,1,ATG9Cargo,03-Registered,postRapalog_EmptyV_PI4K2a/
380.595,105.952,274.643,227140,0,FKBPTagPOI,04-Registered,postRapalog_EmptyV_PI4K2a/
160.921,105.952,54.970,278887,1,FKBPTagPOI,04-Registered,postRapalog_EmptyV_PI4K2a/
356.250,108.877,247.373,227140,0,ATG9Cargo,04-Registered,postRapalog_EmptyV_PI4K2a/
266.199,108.877,157.322,278887,1,ATG9Cargo,04-Registered,postRapalog_EmptyV_PI4K2a/
177.459,104.654,72.805,198614,0,FKBPTagPOI,05-Registered,postRapalog_EmptyV_PI4K2a/
127.748,104.654,23.093,331785,1,FKBPTagPOI,05-Registered,postRapalog_EmptyV_PI4K2a/
465.726,108.002,357.724,198614,0,ATG9Cargo,05-Registered,postRapalog_EmptyV_PI4K2a/
291.926,108.002,183.924,331785,1,ATG9Cargo,05-Registered,postRapalog_EmptyV_PI4K2a/
210.721,104.710,106.011,376842,0,FKBPTagPOI,06-Registered,postRapalog_EmptyV_PI4K2a/
177.055,104.710,72.345,404419,1,FKBPTagPOI,06-Registered,postRapalog_EmptyV_PI4K2a/
247.998,106.873,141.125,376842,0,ATG9Cargo,06-Registered,postRapalog_EmptyV_PI4K2a/
230.439,106.873,123.566,404419,1,ATG9Cargo,06-Registered,postRapalog_EmptyV_PI4K2a/
191.999,103.519,88.480,296823,0,FKBPTagPOI,07-Registered,postRapalog_EmptyV_PI4K2a/
136.462,103.519,32.944,345918,1,FKBPTagPOI,07-Registered,postRapalog_EmptyV_PI4K2a/
327.679,104.595,223.084,296823,0,ATG9Cargo,07-Registered,postRapalog_EmptyV_PI4K2a/
316.158,104.595,211.562,345918,1,ATG9Cargo,07-Registered,postRapalog_EmptyV_PI4K2a/
488.485,104.866,383.619,119255,0,FKBPTagPOI,08-Registered,postRapalog_EmptyV_PI4K2a/
203.527,104.866,98.661,135824,1,FKBPTagPOI,08-Registered,postRapalog_EmptyV_PI4K2a/
447.938,105.896,342.043,119255,0,ATG9Cargo,08-Registered,postRapalog_EmptyV_PI4K2a/
379.685,105.896,273.789,135824,1,ATG9Cargo,08-Registered,postRapalog_EmptyV_PI4K2a/
346.628,104.649,241.979,219134,0,FKBPTagPOI,09-Registered,postRapalog_EmptyV_PI4K2a/
178.371,104.649,73.722,257173,1,FKBPTagPOI,09-Registered,postRapalog_EmptyV_PI4K2a/
728.897,107.982,620.914,219134,0,ATG9Cargo,09-Registered,postRapalog_EmptyV_PI4K2a/
493.098,107.982,385.116,257173,1,ATG9Cargo,09-Registered,postRapalog_EmptyV_PI4K2a/
196.979,105.412,91.567,392940,0,FKBPTagPOI,10-Registered,postRapalog_EmptyV_PI4K2a/
131.656,105.412,26.244,397577,1,FKBPTagPOI,10-Registered,postRapalog_EmptyV_PI4K2a/
199.751,109.182,90.569,392940,0,ATG9Cargo,10-Registered,postRapalog_EmptyV_PI4K2a/
176.012,109.182,66.830,397577,1,ATG9Cargo,10-Registered,postRapalog_EmptyV_PI4K2a/
182.275,104.635,77.640,251016,0,FKBPTagPOI,11-Registered,postRapalog_EmptyV_PI4K2a/
126.147,104.635,21.512,336665,1,FKBPTagPOI,11-Registered,postRapalog_EmptyV_PI4K2a/
340.844,110.676,230.169,251016,0,ATG9Cargo,11-Registered,postRapalog_EmptyV_PI4K2a/
276.820,110.676,166.145,336665,1,ATG9Cargo,11-Registered,postRapalog_EmptyV_PI4K2a/
213.974,104.169,109.805,315445,0,FKBPTagPOI,12-Registered,postRapalog_EmptyV_PI4K2a/
140.155,104.169,35.986,338298,1,FKBPTagPOI,12-Registered,postRapalog_EmptyV_PI4K2a/
659.263,109.442,549.820,315445,0,ATG9Cargo,12-Registered,postRapalog_EmptyV_PI4K2a/
464.719,109.442,355.277,338298,1,ATG9Cargo,12-Registered,postRapalog_EmptyV_PI4K2a/
196.032,105.099,90.932,315670,0,FKBPTagPOI,13-Registered,postRapalog_EmptyV_PI4K2a/
125.478,105.099,20.379,413937,1,FKBPTagPOI,13-Registered,postRapalog_EmptyV_PI4K2a/
256.215,108.271,147.944,315670,0,ATG9Cargo,13-Registered,postRapalog_EmptyV_PI4K2a/
220.902,108.271,112.630,413937,1,ATG9Cargo,13-Registered,postRapalog_EmptyV_PI4K2a/
168.605,105.084,63.521,279876,0,FKBPTagPOI,14-Registered,postRapalog_EmptyV_PI4K2a/
126.960,105.084,21.876,422192,1,FKBPTagPOI,14-Registered,postRapalog_EmptyV_PI4K2a/
182.348,107.546,74.801,279876,0,ATG9Cargo,14-Registered,postRapalog_EmptyV_PI4K2a/
182.113,107.546,74.567,422192,1,ATG9Cargo,14-Registered,postRapalog_EmptyV_PI4K2a/
169.095,104.386,64.708,155942,0,FKBPTagPOI,15-Registered,postRapalog_EmptyV_PI4K2a/
128.104,104.386,23.717,148520,1,FKBPTagPOI,15-Registered,postRapalog_EmptyV_PI4K2a/
264.541,105.181,159.361,155942,0,ATG9Cargo,15-Registered,postRapalog_EmptyV_PI4K2a/
309.545,105.181,204.364,148520,1,ATG9Cargo,15-Registered,postRapalog_EmptyV_PI4K2a/
397.083,104.936,292.147,317346,0,FKBPTagPOI,16-Registered,postRapalog_EmptyV_PI4K2a/
171.784,104.936,66.848,347337,1,FKBPTagPOI,16-Registered,postRapalog_EmptyV_PI4K2a/
460.866,107.077,353.789,317346,0,ATG9Cargo,16-Registered,postRapalog_EmptyV_PI4K2a/
519.183,107.077,412.106,347337,1,ATG9Cargo,16-Registered,postRapalog_EmptyV_PI4K2a/
145.065,104.207,40.858,180689,0,FKBPTagPOI,17-Registered,postRapalog_EmptyV_PI4K2a/
118.728,104.207,14.521,186148,1,FKBPTagPOI,17-Registered,postRapalog_EmptyV_PI4K2a/
1493.428,107.177,1386.251,180689,0,ATG9Cargo,17-Registered,postRapalog_EmptyV_PI4K2a/
1240.121,107.177,1132.944,186148,1,ATG9Cargo,17-Registered,postRapalog_EmptyV_PI4K2a/
359.525,104.097,255.428,171896,0,FKBPTagPOI,18-Registered,postRapalog_EmptyV_PI4K2a/
239.436,104.097,135.339,215623,1,FKBPTagPOI,18-Registered,postRapalog_EmptyV_PI4K2a/
357.342,105.265,252.078,171896,0,ATG9Cargo,18-Registered,postRapalog_EmptyV_PI4K2a/
331.964,105.265,226.700,215623,1,ATG9Cargo,18-Registered,postRapalog_EmptyV_PI4K2a/
1261.373,116.623,1144.750,218698,0,FKBPTagPOI,01-Registered,postRapalog_TPDwt_PI4K2a/
343.292,116.623,226.669,371852,1,FKBPTagPOI,01-Registered,postRapalog_TPDwt_PI4K2a/
450.530,106.202,344.328,218698,0,ATG9Cargo,01-Registered,postRapalog_TPDwt_PI4K2a/
238.717,106.202,132.516,371852,1,ATG9Cargo,01-Registered,postRapalog_TPDwt_PI4K2a/
2802.605,117.661,2684.943,141972,0,FKBPTagPOI,02-Registered,postRapalog_TPDwt_PI4K2a/
