 ,Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
1,507.79,105.28,402.52,219538,0,FKBPTagPOI,01-Registered,postRapalog_ATG9_DAGLB/
2,174.36,105.28,69.09,301784,1,FKBPTagPOI,01-Registered,postRapalog_ATG9_DAGLB/
3,2302.66,107.58,2195.07,219538,0,ATG9Cargo,01-Registered,postRapalog_ATG9_DAGLB/
4,847.60,107.58,740.02,301784,1,ATG9Cargo,01-Registered,postRapalog_ATG9_DAGLB/
5,1124.08,105.52,1018.56,133502,0,FKBPTagPOI,02-Registered,postRapalog_ATG9_DAGLB/
6,306.99,105.52,201.47,241661,1,FKBPTagPOI,02-Registered,postRapalog_ATG9_DAGLB/
7,2542.23,109.14,2433.09,133502,0,ATG9Cargo,02-Registered,postRapalog_ATG9_DAGLB/
8,1050.93,109.14,941.80,241661,1,ATG9Cargo,02-Registered,postRapalog_ATG9_DAGLB/
9,1033.88,104.40,929.48,76614,0,FKBPTagPOI,03-Registered,postRapalog_ATG9_DAGLB/
10,236.85,104.40,132.45,118301,1,FKBPTagPOI,03-Registered,postRapalog_ATG9_DAGLB/
11,2531.24,105.69,2425.55,76614,0,ATG9Cargo,03-Registered,postRapalog_ATG9_DAGLB/
12,672.48,105.69,566.80,118301,1,ATG9Cargo,03-Registered,postRapalog_ATG9_DAGLB/
13,300.25,104.96,195.29,176927,0,FKBPTagPOI,04-Registered,postRapalog_ATG9_DAGLB/
14,143.65,104.96,38.68,186804,1,FKBPTagPOI,04-Registered,postRapalog_ATG9_DAGLB/
15,391.07,106.66,284.41,176927,0,ATG9Cargo,04-Registered,postRapalog_ATG9_DAGLB/
16,209.94,106.66,103.27,186804,1,ATG9Cargo,04-Registered,postRapalog_ATG9_DAGLB/
17,236.66,104.65,132.01,90606,0,FKBPTagPOI,05-Registered,postRapalog_ATG9_DAGLB/
18,154.05,104.65,49.40,95896,1,FKBPTagPOI,05-Registered,postRapalog_ATG9_DAGLB/
19,740.07,106.23,633.84,90606,0,ATG9Cargo,05-Registered,postRapalog_ATG9_DAGLB/
20,316.87,106.23,210.64,95896,1,ATG9Cargo,05-Registered,postRapalog_ATG9_DAGLB/
21,367.16,104.57,262.59,206766,0,FKBPTagPOI,06-Registered,postRapalog_ATG9_DAGLB/
22,146.16,104.57,41.59,246729,1,FKBPTagPOI,06-Registered,postRapalog_ATG9_DAGLB/
23,742.83,106.61,636.22,206766,0,ATG9Cargo,06-Registered,postRapalog_ATG9_DAGLB/
24,307.59,106.61,200.98,246729,1,ATG9Cargo,06-Registered,postRapalog_ATG9_DAGLB/
25,286.57,106.81,179.76,377800,0,FKBPTagPOI,07-Registered,postRapalog_ATG9_DAGLB/
26,138.89,106.81,32.08,355134,1,FKBPTagPOI,07-Registered,postRapalog_ATG9_DAGLB/
27,1347.34,116.00,1231.34,377800,0,ATG9Cargo,07-Registered,postRapalog_ATG9_DAGLB/
28,517.84,116.00,401.85,355134,1,ATG9Cargo,07-Registered,postRapalog_ATG9_DAGLB/
29,1021.48,107.41,914.07,262144,0,FKBPTagPOI,08-Registered,postRapalog_ATG9_DAGLB/
30,383.16,107.41,275.75,341055,1,FKBPTagPOI,08-Registered,postRapalog_ATG9_DAGLB/
31,2150.14,113.42,2036.72,262144,0,ATG9Cargo,08-Registered,postRapalog_ATG9_DAGLB/
32,1057.27,113.42,943.85,341055,1,ATG9Cargo,08-Registered,postRapalog_ATG9_DAGLB/
33,292.68,104.84,187.85,144317,0,FKBPTagPOI,09-Registered,postRapalog_ATG9_DAGLB/
34,138.88,104.84,34.04,224531,1,FKBPTagPOI,09-Registered,postRapalog_ATG9_DAGLB/
35,1026.24,107.83,918.41,144317,0,ATG9Cargo,09-Registered,postRapalog_ATG9_DAGLB/
36,395.56,107.83,287.74,224531,1,ATG9Cargo,09-Registered,postRapalog_ATG9_DAGLB/
37,299.13,105.05,194.08,174042,0,FKBPTagPOI,10-Registered,postRapalog_ATG9_DAGLB/
38,152.74,105.05,47.69,224769,1,FKBPTagPOI,10-Registered,postRapalog_ATG9_DAGLB/
39,889.84,107.84,782.00,174042,0,ATG9Cargo,10-Registered,postRapalog_ATG9_DAGLB/
40,305.73,107.84,197.89,224769,1,ATG9Cargo,10-Registered,postRapalog_ATG9_DAGLB/
41,326.21,104.55,221.66,179186,0,FKBPTagPOI,11-Registered,postRapalog_ATG9_DAGLB/
42,153.95,104.55,49.40,231718,1,FKBPTagPOI,11-Registered,postRapalog_ATG9_DAGLB/
43,2240.98,106.38,2134.60,179186,0,ATG9Cargo,11-Registered,postRapalog_ATG9_DAGLB/
44,963.75,106.38,857.37,231718,1,ATG9Cargo,11-Registered,postRapalog_ATG9_DAGLB/
45,310.38,104.74,205.64,262919,0,FKBPTagPOI,12-Registered,postRapalog_ATG9_DAGLB/
