Mean,Area,ROI,Channel,Frame,Filename
106.317,2200,0,TPD54,1,s10_norapalog_xy1-Registered
106.338,2200,0,TPD54,2,s10_norapalog_xy1-Registered
106.430,2200,0,TPD54,3,s10_norapalog_xy1-Registered
106.273,2200,0,TPD54,4,s10_norapalog_xy1-Registered
106.288,2200,0,TPD54,5,s10_norapalog_xy1-Registered
106.490,2200,0,TPD54,6,s10_norapalog_xy1-Registered
106.404,2200,0,TPD54,7,s10_norapalog_xy1-Registered
106.256,2200,0,TPD54,8,s10_norapalog_xy1-Registered
106.320,2200,0,TPD54,9,s10_norapalog_xy1-Registered
106.213,2200,0,TPD54,10,s10_norapalog_xy1-Registered
106.070,2200,0,TPD54,11,s10_norapalog_xy1-Registered
106.262,2200,0,TPD54,12,s10_norapalog_xy1-Registered
106.872,2200,0,TPD54,13,s10_norapalog_xy1-Registered
106.070,2200,0,TPD54,14,s10_norapalog_xy1-Registered
106.118,2200,0,TPD54,15,s10_norapalog_xy1-Registered
106.206,2200,0,TPD54,16,s10_norapalog_xy1-Registered
106.100,2200,0,TPD54,17,s10_norapalog_xy1-Registered
105.977,2200,0,TPD54,18,s10_norapalog_xy1-Registered
105.983,2200,0,TPD54,19,s10_norapalog_xy1-Registered
105.989,2200,0,TPD54,20,s10_norapalog_xy1-Registered
106.012,2200,0,TPD54,21,s10_norapalog_xy1-Registered
106.065,2200,0,TPD54,22,s10_norapalog_xy1-Registered
105.990,2200,0,TPD54,23,s10_norapalog_xy1-Registered
106.014,2200,0,TPD54,24,s10_norapalog_xy1-Registered
106.034,2200,0,TPD54,25,s10_norapalog_xy1-Registered
105.818,2200,0,TPD54,26,s10_norapalog_xy1-Registered
105.790,2200,0,TPD54,27,s10_norapalog_xy1-Registered
105.946,2200,0,TPD54,28,s10_norapalog_xy1-Registered
105.848,2200,0,TPD54,29,s10_norapalog_xy1-Registered
105.942,2200,0,TPD54,30,s10_norapalog_xy1-Registered
106.043,2200,0,TPD54,31,s10_norapalog_xy1-Registered
105.906,2200,0,TPD54,32,s10_norapalog_xy1-Registered
105.889,2200,0,TPD54,33,s10_norapalog_xy1-Registered
105.930,2200,0,TPD54,34,s10_norapalog_xy1-Registered
105.855,2200,0,TPD54,35,s10_norapalog_xy1-Registered
105.770,2200,0,TPD54,36,s10_norapalog_xy1-Registered
106.025,2200,0,TPD54,37,s10_norapalog_xy1-Registered
170.833,244445,1,TPD54,1,s10_norapalog_xy1-Registered
170.061,244445,1,TPD54,2,s10_norapalog_xy1-Registered
170.697,244445,1,TPD54,3,s10_norapalog_xy1-Registered
169.371,244445,1,TPD54,4,s10_norapalog_xy1-Registered
168.804,244445,1,TPD54,5,s10_norapalog_xy1-Registered
168.767,244445,1,TPD54,6,s10_norapalog_xy1-Registered
168.066,244445,1,TPD54,7,s10_norapalog_xy1-Registered
167.840,244445,1,TPD54,8,s10_norapalog_xy1-Registered
167.129,244445,1,TPD54,9,s10_norapalog_xy1-Registered
166.571,244445,1,TPD54,10,s10_norapalog_xy1-Registered
166.158,244445,1,TPD54,11,s10_norapalog_xy1-Registered
166.108,244445,1,TPD54,12,s10_norapalog_xy1-Registered
165.162,244445,1,TPD54,13,s10_norapalog_xy1-Registered
165.138,244445,1,TPD54,14,s10_norapalog_xy1-Registered
164.609,244445,1,TPD54,15,s10_norapalog_xy1-Registered
164.167,244445,1,TPD54,16,s10_norapalog_xy1-Registered
163.543,244445,1,TPD54,17,s10_norapalog_xy1-Registered
162.975,244445,1,TPD54,18,s10_norapalog_xy1-Registered
162.792,244445,1,TPD54,19,s10_norapalog_xy1-Registered
162.296,244445,1,TPD54,20,s10_norapalog_xy1-Registered
162.486,244445,1,TPD54,21,s10_norapalog_xy1-Registered
162.005,244445,1,TPD54,22,s10_norapalog_xy1-Registered
161.499,244445,1,TPD54,23,s10_norapalog_xy1-Registered
161.404,244445,1,TPD54,24,s10_norapalog_xy1-Registered
160.899,244445,1,TPD54,25,s10_norapalog_xy1-Registered
160.887,244445,1,TPD54,26,s10_norapalog_xy1-Registered
161.089,244445,1,TPD54,27,s10_norapalog_xy1-Registered
160.516,244445,1,TPD54,28,s10_norapalog_xy1-Registered
160.141,244445,1,TPD54,29,s10_norapalog_xy1-Registered
160.222,244445,1,TPD54,30,s10_norapalog_xy1-Registered
159.739,244445,1,TPD54,31,s10_norapalog_xy1-Registered
159.688,244445,1,TPD54,32,s10_norapalog_xy1-Registered
159.323,244445,1,TPD54,33,s10_norapalog_xy1-Registered
158.897,244445,1,TPD54,34,s10_norapalog_xy1-Registered
158.262,244445,1,TPD54,35,s10_norapalog_xy1-Registered
157.892,244445,1,TPD54,36,s10_norapalog_xy1-Registered
158.083,244445,1,TPD54,37,s10_norapalog_xy1-Registered
108.475,2200,0,ATG9,1,s10_norapalog_xy1-Registered
108.357,2200,0,ATG9,2,s10_norapalog_xy1-Registered
108.335,2200,0,ATG9,3,s10_norapalog_xy1-Registered
108.385,2200,0,ATG9,4,s10_norapalog_xy1-Registered
108.288,2200,0,ATG9,5,s10_norapalog_xy1-Registered
108.426,2200,0,ATG9,6,s10_norapalog_xy1-Registered
108.361,2200,0,ATG9,7,s10_norapalog_xy1-Registered
108.247,2200,0,ATG9,8,s10_norapalog_xy1-Registered
108.095,2200,0,ATG9,9,s10_norapalog_xy1-Registered
108.110,2200,0,ATG9,10,s10_norapalog_xy1-Registered
108.150,2200,0,ATG9,11,s10_norapalog_xy1-Registered
108.006,2200,0,ATG9,12,s10_norapalog_xy1-Registered
109.191,2200,0,ATG9,13,s10_norapalog_xy1-Registered
