Mean,Area,ROI,Channel,Frame,Filename
107.796,2500,0,TPD54,1,s10_norapalog_xy1-Registered
107.571,2500,0,TPD54,2,s10_norapalog_xy1-Registered
107.333,2500,0,TPD54,3,s10_norapalog_xy1-Registered
107.405,2500,0,TPD54,4,s10_norapalog_xy1-Registered
107.304,2500,0,TPD54,5,s10_norapalog_xy1-Registered
107.331,2500,0,TPD54,6,s10_norapalog_xy1-Registered
107.177,2500,0,TPD54,7,s10_norapalog_xy1-Registered
107.063,2500,0,TPD54,8,s10_norapalog_xy1-Registered
107.096,2500,0,TPD54,9,s10_norapalog_xy1-Registered
107.074,2500,0,TPD54,10,s10_norapalog_xy1-Registered
107.107,2500,0,TPD54,11,s10_norapalog_xy1-Registered
106.940,2500,0,TPD54,12,s10_norapalog_xy1-Registered
107.204,2500,0,TPD54,13,s10_norapalog_xy1-Registered
106.998,2500,0,TPD54,14,s10_norapalog_xy1-Registered
106.958,2500,0,TPD54,15,s10_norapalog_xy1-Registered
106.913,2500,0,TPD54,16,s10_norapalog_xy1-Registered
106.884,2500,0,TPD54,17,s10_norapalog_xy1-Registered
107.055,2500,0,TPD54,18,s10_norapalog_xy1-Registered
106.954,2500,0,TPD54,19,s10_norapalog_xy1-Registered
106.913,2500,0,TPD54,20,s10_norapalog_xy1-Registered
107.025,2500,0,TPD54,21,s10_norapalog_xy1-Registered
107.081,2500,0,TPD54,22,s10_norapalog_xy1-Registered
106.941,2500,0,TPD54,23,s10_norapalog_xy1-Registered
106.944,2500,0,TPD54,24,s10_norapalog_xy1-Registered
106.904,2500,0,TPD54,25,s10_norapalog_xy1-Registered
106.959,2500,0,TPD54,26,s10_norapalog_xy1-Registered
106.952,2500,0,TPD54,27,s10_norapalog_xy1-Registered
106.975,2500,0,TPD54,28,s10_norapalog_xy1-Registered
106.713,2500,0,TPD54,29,s10_norapalog_xy1-Registered
106.831,2500,0,TPD54,30,s10_norapalog_xy1-Registered
106.870,2500,0,TPD54,31,s10_norapalog_xy1-Registered
106.746,2500,0,TPD54,32,s10_norapalog_xy1-Registered
107.016,2500,0,TPD54,33,s10_norapalog_xy1-Registered
107.005,2500,0,TPD54,34,s10_norapalog_xy1-Registered
107.024,2500,0,TPD54,35,s10_norapalog_xy1-Registered
106.768,2500,0,TPD54,36,s10_norapalog_xy1-Registered
106.966,2500,0,TPD54,37,s10_norapalog_xy1-Registered
147.572,450774,1,TPD54,1,s10_norapalog_xy1-Registered
146.710,450774,1,TPD54,2,s10_norapalog_xy1-Registered
146.416,450774,1,TPD54,3,s10_norapalog_xy1-Registered
145.841,450774,1,TPD54,4,s10_norapalog_xy1-Registered
145.600,450774,1,TPD54,5,s10_norapalog_xy1-Registered
145.697,450774,1,TPD54,6,s10_norapalog_xy1-Registered
145.154,450774,1,TPD54,7,s10_norapalog_xy1-Registered
144.853,450774,1,TPD54,8,s10_norapalog_xy1-Registered
144.533,450774,1,TPD54,9,s10_norapalog_xy1-Registered
144.251,450774,1,TPD54,10,s10_norapalog_xy1-Registered
143.965,450774,1,TPD54,11,s10_norapalog_xy1-Registered
143.708,450774,1,TPD54,12,s10_norapalog_xy1-Registered
143.529,450774,1,TPD54,13,s10_norapalog_xy1-Registered
143.415,450774,1,TPD54,14,s10_norapalog_xy1-Registered
142.963,450774,1,TPD54,15,s10_norapalog_xy1-Registered
142.845,450774,1,TPD54,16,s10_norapalog_xy1-Registered
142.702,450774,1,TPD54,17,s10_norapalog_xy1-Registered
142.429,450774,1,TPD54,18,s10_norapalog_xy1-Registered
142.170,450774,1,TPD54,19,s10_norapalog_xy1-Registered
141.912,450774,1,TPD54,20,s10_norapalog_xy1-Registered
141.624,450774,1,TPD54,21,s10_norapalog_xy1-Registered
141.254,450774,1,TPD54,22,s10_norapalog_xy1-Registered
140.975,450774,1,TPD54,23,s10_norapalog_xy1-Registered
140.733,450774,1,TPD54,24,s10_norapalog_xy1-Registered
140.434,450774,1,TPD54,25,s10_norapalog_xy1-Registered
140.171,450774,1,TPD54,26,s10_norapalog_xy1-Registered
139.967,450774,1,TPD54,27,s10_norapalog_xy1-Registered
139.629,450774,1,TPD54,28,s10_norapalog_xy1-Registered
139.103,450774,1,TPD54,29,s10_norapalog_xy1-Registered
138.827,450774,1,TPD54,30,s10_norapalog_xy1-Registered
138.679,450774,1,TPD54,31,s10_norapalog_xy1-Registered
138.585,450774,1,TPD54,32,s10_norapalog_xy1-Registered
138.430,450774,1,TPD54,33,s10_norapalog_xy1-Registered
137.955,450774,1,TPD54,34,s10_norapalog_xy1-Registered
137.978,450774,1,TPD54,35,s10_norapalog_xy1-Registered
137.769,450774,1,TPD54,36,s10_norapalog_xy1-Registered
137.588,450774,1,TPD54,37,s10_norapalog_xy1-Registered
110.856,2500,0,ATG9,1,s10_norapalog_xy1-Registered
110.441,2500,0,ATG9,2,s10_norapalog_xy1-Registered
110.696,2500,0,ATG9,3,s10_norapalog_xy1-Registered
110.424,2500,0,ATG9,4,s10_norapalog_xy1-Registered
110.526,2500,0,ATG9,5,s10_norapalog_xy1-Registered
110.679,2500,0,ATG9,6,s10_norapalog_xy1-Registered
110.579,2500,0,ATG9,7,s10_norapalog_xy1-Registered
110.456,2500,0,ATG9,8,s10_norapalog_xy1-Registered
110.495,2500,0,ATG9,9,s10_norapalog_xy1-Registered
110.334,2500,0,ATG9,10,s10_norapalog_xy1-Registered
110.396,2500,0,ATG9,11,s10_norapalog_xy1-Registered
110.530,2500,0,ATG9,12,s10_norapalog_xy1-Registered
110.286,2500,0,ATG9,13,s10_norapalog_xy1-Registered
