"Gene.names","INV"
"SLC12A4",78801.9028185659
"PTRF",60386.5938819239
"ALCAM",70742.3117989443
"GNS",267085.481658043
"LAMTOR1",99153.8875364409
"VAT1",59567.1355321134
"CCT4",80599.2866370088
"ATP5O",67052.4549641819
"L1CAM",63357.5088173543
"FH",208093.362313512
"AHNAK2",141179.511165979
"COLGALT1",75481.2737932446
"LCN1",73887.0078241664
"TPM3",80865.7292984418
"TRAP1",55017.0668206515
"SQSTM1",63786.7168917406
"PPIB",1036041.20297949
"HADHB",63811.8704199865
"CNP",75222.1721104007
"SRP54",934502.445410763
"BCAP31",632589.856970408
"EIF4E",80978.7200591017
"CRIP2",104145.681320371
"TPM4",182144.587063988
"XRCC5",81949.8296746153
"GNAS",51995.8680428935
"DIMT1",50013.510306221
"FERMT2",78813.3446615938
"TUBB6",62744.7466346081
"SLC7A11",92820.3496538989
"PDHB",78757.4102487334
"ALDH1B1",69113.6810641874
"FKBP10",75346.0614522942
"TPBG",13540764.7965237
"NME2",64684.70929294
"EIF4G2",89617.6318510943
"HSD17B10",70179.2651711891
"EHD2",109215.405396983
"MTAP",107552.77212494
"FKBP11",1675408.52993393
"GDA",127671.157197546
"RPN2",71471.6877628079
"API5",99555.657699534
"EIF2S3",396746.924809808
"TSPAN6",79362.6583161372
"DYNC1H1",1344537.64506559
"ANO6",64359.5558882427
"CD97",88447.055727245
"TCP1",83778.2601231985
"TUBB8",53520.3994376678
"YWHAG",58325.2970219561
"RPL14",58254.218505266
"RAB5B",102914.539602724
"RCC2",75333.9455234194
"PDE3A",97030.7824630418
"SLC29A1",58400.9753509347
"CAP1",49759.1469644964
"XRCC6",64678.5593418271
"CCT7",44262.4256277251
"HADHA",99110.7666278007
"ADRA2A",116269.26261074
"EMC1",67569.3533145635
"SLC39A6",415130.770490385
"TGFBI",84232.5983033428
"PKM",61739.5173175266
"ACTN1",70787.786178526
"TMEM109",64253.0109899689
"UBA52",62112.3125596266
"PRDX1",57693.2264686875
"ECE1",50946.8125317553
"NUMA1",179072.885347088
"ARG1",43794.67188287
"ALDOA",54312.1248235706
"NOMO1",87192.2476705336
"PGD",62457.3995936075
"HYOU1",67498.8600874916
"SND1",67981.1884149839
"RRBP1",294176.981292522
"RPS29",1014366.28810929
"SRPRB",63045.1862856247
"CD109",70130.9831477737
"MAGT1",65060.5775186871
"CCDC47",72396.199942049
"ACTB",68979.4640886447
"VCL",60344.9161746151
"RAD50",50414.7352600213
"ZYX",7568310.74162938
