"Gene.names","ATG","uid"
"EEF1A2",85901352.1505396,"65"
"EIF2B3",3451437.39335856,"258"
"EIF3M",61235039.1724773,"84"
"EIF4A1",263633138.582538,"24"
"EIF4A2",263633138.582538,"24"
"EIF4E",242102904.673618,"60"
"ENPP4",2449063.24184475,"463"
"ENPP5",19633602.7683605,"226"
"ENPP7",2449063.24184475,"463"
"EPHX1",7533555.63733717,"313"
"ERGIC3",127057410.520854,"480"
"ERO1L",27925438.4123734,"304"
"ERP29",26668586.6452148,"392"
"ERP44",81470428.4020839,"429"
"ESYT1",52722986.1422823,"391"
"ESYT2",1e+07,"418"
"EXOSC3",6412095.76585162,"225"
"EXOSC7",5780960.47405718,"211"
"FACL4",383707245.492278,"58"
"FAM120A",22803420.7200042,"172"
"FAM168A",21928049.3535045,"186"
"FAM18B1",141253754.462276,"311"
"FAM18B2",141253754.462276,"311"
"FAM18B2-CDRT4",141253754.462276,"311"
"FAM3C",32583670.1002009,"416"
"FAM45A",11455129.4144554,"305"
"FAM45B",11455129.4144554,"305"
"FAM91A1",474241985.260245,"263"
"FBXO17",7194489.780037,"279"
"FDX1L",7194489.780037,"279"
"FLJ00383",144211535.152487,"406"
"FLNA",263026799.189538,"27"
"FLNB",160324539.069004,"202"
"FLOT1",27227013.0807791,"117"
"FTH1",9141132.41470251,"176"
"FUSIP1",64416926.5515177,"64"
"FUT8",22961486.4811236,"445"
"GalNAc-T16",4623810.2139926,"490"
"GALNT1",127938130.415752,"459"
"GALNT16",4623810.2139926,"490"
"GALNT2",488652359.342834,"437"
"GALNT7",164816239.152551,"36"
"GALNTL1",4623810.2139926,"490"
"GANAB",152101803.652426,"34"
"GBF1",35974933.5155742,"131"
"GDI2",26061535.499989,"288"
"GEMIN2",10914403.3644876,"259"
"GLB1L2",5116818.35540307,"397"
"GLG1",206062991.327,"424"
"GLO1",5495408.73857625,"292"
"GLT8D1",5069907.08274704,"439"
"GLUL",33036954.1036815,"115"
"GNAI1",217270117.886374,"99"
"GNAI2",217270117.886374,"99"
"GNAI3",217270117.886374,"99"
"GNAO1",217270117.886374,"99"
"GNAS",24378108.1836875,"151"
"GNB1",335271728.685204,"21"
"GNB2",26242185.4338444,"281"
"GNB4",26242185.4338444,"281"
"GNPDA1",13365955.1654644,"248"
"GOLGA2",139636836.105594,"399"
"GOLGA5",89742879.4500749,"482"
"GOLGB1",6823386.94141669,"364"
"GOLIM4",76736148.9361819,"442"
"GOLM1",8298507.67514422,"317"
"GOLPH2",8298507.67514422,"317"
"GOLPH3",13243415.3519466,"434"
"GOSR1",54450265.2842421,"336"
"GPATCH8",10092528.8607668,"216"
"GPR107",26853444.4565851,"484"
"GPR89A",7691304.4028661,"357"
"GPR89B",7691304.4028661,"357"
"GPR89C",7691304.4028661,"357"
"GPS1",5382697.82516288,"222"
"GSA",24378108.1836875,"151"
"GSTP1",46025657.3581356,"81"
"GTPBP4",1603245390.69004,"5"
"hCG_1996054",54575786.1091271,"106"
"hCG_2015269",179473362.683252,"33"
"hCG_2022736",22908676.5276777,"156"
"hCG_21984",2904022.65446445,"217"
"HLA-A",21777097.7235316,"373"
"HLA-A*02",21777097.7235316,"373"
"HLA-A*0226",21777097.7235316,"373"
"HLA-B",37497300.2245483,"351"
"HLA-C",26033081.854869,"373"
"HLA-Cw",21777097.7235316,"373"
"HRAS",30760968.1474071,"296"
"HRMT1L2",40831938.6332692,"90"
"HS2ST1",32734069.4878838,"460"
"HSP90AB2P",5610479.7603247,"301"
"HSP90AB4P",22803420.7200042,"290"
"HSPA5",727779804.536824,"10"
"HSPA8",1435489433.35366,"3"
"HTATSF1",161808003.764306,"28"
"IER3",8165823.71358592,"261"
"IGF2R",744731973.905989,"155"
"IGJ",90157113.7605957,"499"
"IMPAD1",24547089.1568503,"362"
"IPO5",3881503.65990649,"390"
"ITGB1",29922646.3660819,"139"
"KCT2",90573260.08982,"337"
"KDELR1",96605087.8989814,"469"
"KDELR2",96605087.8989814,"469"
"KDELR3",19588446.7350599,"403"
"KIAA0319L",48305880.2039773,"486"
"KIAA0324",158854674.859778,"145"
"KIAA1012",558470194.736831,"243"
"KIAA1467",3548133.89233575,"395"
"KIAA2013",55335010.9215737,"432"
"KIF11",4092606.59730011,"408"
"KIF2A",53088444.4230988,"162"
"KRAS",30760968.1474071,"296"
"KRR1",52119471.110508,"105"
"KRT18",20137242.4986239,"319"
"LAMP2",8491804.75036314,"175"
"LAMR1P15",108143395.129794,"44"
"LARP7",7430191.37896702,"227"
"LASP1",238231946.935869,"26"
"lat1",4808393.48449729,"422"
"LBR",27542287.0333817,"113"
"LCP1",69502431.7588796,"327"
"LMAN1",283139199.579938,"49"
"LMAN2",232809125.766501,"104"
"LMBRD2",132434153.519466,"380"
"LMNB2",84918047.5036314,"232"
"LNPEP",114024978.756117,"447"
"LOC727761",13551894.1235103,"350"
"LOC728138",55335010.9215737,"432"
"LRP1",12882495.5169313,"370"
"LRRC40",6165950.01861482,"212"
"LRRC59",43853069.7774986,"119"
"LSM14B",13304544.1797809,"181"
"LSM3",26061535.499989,"109"
"LSM4",11614486.1384034,"347"
"LTV1",19408858.7759278,"230"
"LYVE1",31768740.7064977,"257"
"LYZ",4365158.32240166,"272"
"M6PR",376703798.983909,"38"
"MAD1L1",8394599.86519398,"193"
"MAN1A1",63241185.137622,"71"
"MAN2A1",18492686.1897808,"426"
"MANEA",60534087.4753914,"481"
"MARCKSL1",7227698.0360217,"331"
"MDH1",63386971.1256926,"67"
"MDN1",64120957.6585162,"148"
"MESDC2",7464487.58410067,"495"
"MGAT2",61659500.1861482,"468"
"MHC class I",21777097.7235316,"373"
"MIF",20137242.4986239,"329"
"MMTAG2",5345643.59396971,"208"
"MOB4",90782053.0178186,"473"
"MSI2",13614446.8246595,"188"
"MTMR6",13061708.8813184,"205"
"MTMR9",30269134.281013,"196"
"MTOR",43651583.2240166,"102"
"MYADM",8413951.41645195,"335"
"MYEF2",14256075.9360219,"250"
"NAA10",18535316.2341481,"240"
"NAA11",18535316.2341481,"240"
"NAGPA",21677041.048197,"260"
"NAP1L1",17139573.0750843,"302"
"NAPA",238231946.935869,"315"
"Nbla00271",316956746.304349,"39"
"Nbla03646",18793168.1680327,"316"
"Nbla10236",22908676.5276777,"156"
"NCAPG2",2243881.92378277,"396"
"NCAPH2",7144963.26075513,"207"
"NCSTN",13772094.6889395,"467"
"NEK9",5942921.58615573,"270"
"NF1",9817479.43019984,"210"
"NIPAL1",18071741.2601093,"219"
"NOGOC",316956746.304349,"39"
"NPEPPS",4064433.29165213,"323"
"NRAS",30760968.1474071,"296"
"NSF",2187761623.94955,"17"
"NUCB1",24945947.2694296,"496"
"Nucb2",31117163.3710602,"493"
"NUCB2",31117163.3710602,"493"
"NUDT21",120503594.03718,"37"
"P14",7294575.1025457,"190"
"P4HB",430526610.491711,"18"
"P5",101157945.42599,"359"
"PACSIN2",28575905.4337495,"220"
"PAFAH1B1",17021585.0839495,"204"
"PARK7",5105049.99975406,"303"
"PCNT",82035154.4329818,"355"
"PDAP1",32062693.2450547,"152"
"PDIA3",574093015.611295,"13"
"PDIA4",470977326.396953,"20"
"PDIA6",101157945.42599,"359"
"PEBP1",5482769.64920854,"368"
"PGAM1",179473362.683252,"33"
"PGAM2",179473362.683252,"33"
"PGRMC1",20276827.1952128,"153"
"PGRMC2",20276827.1952128,"153"
"PI4K2A",113501081.567231,"56"
"PI4K2B",24945947.2694296,"382"
"PIG43",33036954.1036815,"115"
"PIG59",33036954.1036815,"115"
"PLS3",69502431.7588796,"327"
"PNAS-3",6412095.76585162,"225"
"PNO1",25822601.906346,"124"
"PNP",3047894.98962798,"352"
"PODXL",6151768.72709868,"458"
"POLR2A",5662392.89038253,"246"
"POLR2E",31695674.6304349,"127"
"POP1",28641779.6990658,"394"
"POR",19678862.8970684,"285"
"PPIH",19010782.799233,"275"
"PPP2CA",17458221.529205,"356"
"PPP2CB",17458221.529205,"356"
"PRAF2",11857687.4816716,"440"
"PRDX3",12445146.1177138,"360"
"PRDX4",161064563.517827,"41"
"PRKCSH",79615935.0417318,"62"
"PRKDC",1659586907.43756,"2"
"PRMT1",40831938.6332692,"90"
"PRPF31",51286138.3991365,"66"
"PRPS2",33962527.2590408,"116"
"PRRC1",26181830.0821899,"412"
"PSME3",12217996.6016487,"324"
"PTGES3",59979107.6255509,"177"
"PTGFRN",10690548.7922266,"306"
"PTPLAD1",54575786.1091271,"138"
"PTPN1",4036453.92967605,"332"
"PURA",24831331.0529557,"126"
"QKI",4207266.28384444,"215"
"QSOX2",17179083.8715759,"371"
"RAB10",181134009.26196,"70"
"RAB11A",966050878.989812,"11"
"RAB11B",966050878.989812,"11"
"RAB12",2824879.9749157,"223"
"RAB13",54575786.1091271,"106"
"RAB14",367282300.498084,"100"
"RAB18",43451022.4171571,"318"
"RAB1A",3250872973.85435,"4"
"RAB1B",167109061.431071,"200"
"RAB1C",167109061.431071,"200"
"RAB21",24490632.4184475,"134"
"RAB2A",385478357.665772,"95"
"RAB2B",23550492.8389601,"454"
"RAB32",3723917.06254568,"466"
"RAB35",140928879.842187,"158"
"RAB38",3723917.06254568,"466"
"RAB43",10568175.0921366,"242"
"RAB4A",66374307.0401909,"174"
"RAB5B",38547835.7665772,"457"
"RAB5C",559757601.495109,"8"
"RAB6A",1599558028.61467,"16"
"RAB7A",601173737.483278,"15"
"RAB7L1",3723917.06254568,"466"
"RAB8A",146892627.764387,"74"
"RAB9A",2500345.36169643,"449"
"RABAC1",65162839.4060843,"472"
"RAC1",310455958.812836,"35"
