"Gene.names","logFC_ES_vs_FM_ATG9A.Immunoisolation_intensity_filtered","Ratio_H_L_count_ES_vs_FM_ATG9A.Immunoisolation_intensity_filtered","Intensity_ES_vs_FM_ATG9A.Immunoisolation_intensity_filtered","Intensity_Mix_CTRL.IgM.Immunoisolation","PEP","LFQ","FC10","uid"
"PAFAH1B1",0.534,1,7.231,0,0,17021585.0839495,1,"204"
"PARK7",-0.219,1,6.708,0,0,5105049.99975406,1,"303"
"PCNT",-0.484,27,7.914,0,0,82035154.4329818,1,"355"
"PDAP1",-0.052,3,7.506,6.581,0,32062693.2450547,0.925,"152"
"PDIA3",-0.834,17,16.474,14.82,0,574093015.611295,1.654,"13"
"PDIA4",-0.398,24,8.673,7.882,0,470977326.396953,0.791,"20"
"PDIA6",-0.489,7,8.005,0,0,101157945.42599,1,"359"
"PEBP1",-0.535,1,6.739,0,0,5482769.64920854,1,"368"
"PGAM1",-0.297,5,8.254,7.497,0,179473362.683252,0.757,"33"
"PGAM2",-0.297,5,8.254,7.497,0,179473362.683252,0.757,"33"
"PGRMC1",-0.473,1,7.307,6.574,0,20276827.1952128,0.733,"153"
"PGRMC2",-0.473,1,7.307,6.574,0,20276827.1952128,0.733,"153"
"PI4K2A",-0.478,9,8.055,7.214,0,113501081.567231,0.840999999999999,"56"
"PI4K2B",-0.585,4,7.397,0,0,24945947.2694296,1,"382"
"PIG43",-0.216,2,7.519,6.772,0,33036954.1036815,0.747,"115"
"PIG59",-0.216,2,7.519,6.772,0,33036954.1036815,0.747,"115"
"PLS3",-0.324,6,7.842,0,0,69502431.7588796,1,"327"
"PNAS-3",0.271,1,6.807,0,0,6412095.76585162,1,"225"
"PNO1",0.482,2,7.412,6.728,0,25822601.906346,0.684,"124"
"PNP",-0.469,1,6.484,0,0,3047894.98962798,1,"352"
"PODXL",-0.996,1,6.789,0,0,6151768.72709868,1,"458"
"POLR2A",0.135,2,6.753,0,1e-05,5662392.89038253,1,"246"
"POLR2E",0.232,2,7.501,6.717,0.00045,31695674.6304349,0.784000000000001,"127"
"POP1",-0.629,3,7.457,0,0,28641779.6990658,1,"394"
"POR",-0.096,3,7.294,0,0,19678862.8970684,1,"285"
"PPIH",-0.015,1,7.279,0,0.00069,19010782.799233,1,"275"
"PPP2CA",-0.485,1,7.242,0,0,17458221.529205,1,"356"
"PPP2CB",-0.485,1,7.242,0,0,17458221.529205,1,"356"
"PRAF2",-0.908,1,7.074,0,0,11857687.4816716,1,"440"
"PRDX3",-0.495,2,7.095,0,1e-05,12445146.1177138,1,"360"
"PRDX4",-0.136,5,8.207,7.413,0,161064563.517827,0.794,"41"
"PRKCSH",-0.382,5,7.901,7.122,0,79615935.0417318,0.779,"62"
"PRKDC",0.315,215,9.22,8.608,0,1659586907.43756,0.612,"2"
"PRMT1",0.26,2,7.611,6.915,0,40831938.6332692,0.696,"90"
"PRPF31",0.43,4,7.71,7.094,0,51286138.3991365,0.616,"66"
"PRPS2",0.511,2,7.531,6.757,0,33962527.2590408,0.774,"116"
"PRRC1",-0.715,2,7.418,0,0,26181830.0821899,1,"412"
"PSME3",-0.316,1,7.087,0,0.0014,12217996.6016487,1,"324"
"PTGES3",-0.166,3,7.778,6.289,0,59979107.6255509,1.489,"177"
"PTGFRN",-0.234,2,7.029,0,1e-05,10690548.7922266,1,"306"
"PTPLAD1",-0.377,4,7.737,6.67,0,54575786.1091271,1.067,"138"
"PTPN1",-0.342,1,6.606,0,0.00088,4036453.92967605,1,"332"
"PURA",0.52,2,7.395,6.719,0,24831331.0529557,0.675999999999999,"126"
"QKI",0.375,1,6.624,0,0.00169,4207266.28384444,1,"215"
"QSOX2",-0.552,2,7.235,0,7e-05,17179083.8715759,1,"371"
"RAB10",-0.09,4,8.258,7.043,0,181134009.26196,1.215,"70"
"RAB11A",-0.254,11,8.985,8.092,0,966050878.989812,0.892999999999999,"11"
"RAB11B",-0.254,11,8.985,8.092,0,966050878.989812,0.892999999999999,"11"
"RAB12",0.279,1,6.451,0,0,2824879.9749157,1,"223"
"RAB13",-0.309,3,7.737,6.83,0,54575786.1091271,0.907,"106"
"RAB14",-0.107,10,8.565,6.882,0,367282300.498084,1.683,"100"
"RAB18",-0.29,3,7.638,0,0,43451022.4171571,1,"318"
"RAB1A",0.504,20,9.512,8.419,0,3250872973.85435,1.093,"4"
"RAB1B",0.558,6,8.223,0,0,167109061.431071,1,"200"
"RAB1C",0.558,6,8.223,0,0,167109061.431071,1,"200"
"RAB21",-0.826,1,7.389,6.7,0,24490632.4184475,0.689,"134"
"RAB2A",-0.077,8,8.586,6.907,0,385478357.665772,1.679,"95"
"RAB2B",-0.965,1,7.372,0,0,23550492.8389601,1,"454"
"RAB32",-1.062,1,6.571,0,0.00102,3723917.06254568,1,"466"
"RAB35",-0.288,6,8.149,6.51,0,140928879.842187,1.639,"158"
"RAB38",-1.062,1,6.571,0,0.00102,3723917.06254568,1,"466"
"RAB43",0.162,1,7.024,0,0,10568175.0921366,1,"242"
"RAB4A",-0.306,4,7.822,6.328,0,66374307.0401909,1.494,"174"
"RAB5B",-0.991,3,7.586,0,0,38547835.7665772,1,"457"
"RAB5C",-0.88,6,8.748,8.14,0,559757601.495109,0.607999999999999,"8"
"RAB6A",-0.676,10,9.204,8.007,0,1599558028.61467,1.197,"16"
"RAB7A",-0.377,12,8.779,8.015,0,601173737.483278,0.763999999999999,"15"
"RAB7L1",-1.062,1,6.571,0,0.00102,3723917.06254568,1,"466"
"RAB8A",-0.003,4,8.167,7.016,0,146892627.764387,1.151,"74"
"RAB9A",-0.928,1,6.398,0,0.00311,2500345.36169643,1,"449"
"RABAC1",-1.101,2,7.814,0,0,65162839.4060843,1,"472"
"RAC1",-0.581,6,8.492,7.463,0,310455958.812836,1.029,"35"
"RAC2",-0.581,6,8.492,7.463,0,310455958.812836,1.029,"35"
"RAC3",-0.581,6,8.492,7.463,0,310455958.812836,1.029,"35"
"RALA",-0.445,3,7.959,6.799,0,90991327.2632251,1.16,"110"
"RANBP1",-0.321,1,7.051,0,0,11246049.7396693,1,"325"
"RBFOX1",0.097,2,7.332,0,4e-05,21478304.7413053,1,"255"
"RBFOX2",0.097,2,7.332,0,4e-05,21478304.7413053,1,"255"
"RBFOX3",0.097,2,7.332,0,4e-05,21478304.7413053,1,"255"
"RBM39",0.038,3,7.429,0,0,26853444.4565851,1,"266"
"RBM9",0.097,2,7.332,0,4e-05,21478304.7413053,1,"255"
"RCN1",-0.784,2,7.723,0,0,52844525.177518,1,"420"
"RDH11",-0.527,1,7.147,0,0,14028137.0456196,1,"367"
"RECQL",0.132,2,7.189,0,0,15452544.3953841,1,"247"
"REEP5",-0.465,4,8.217,6.479,0,164816239.152551,1.738,"167"
"RER1",-0.936,3,7.899,0,0,79250133.0480472,1,"451"
"RHOA",-1.935,2,8.301,0,0,199986186.963274,1,"498"
"RHOC",-1.935,2,8.301,0,0,199986186.963274,1,"498"
"RNP24",-1.196,2,7.978,0,0,95060479.3656281,1,"479"
"RNPS1",0.348,3,7.606,6.497,0,40364539.2967605,1.109,"160"
"RP11-320F15.1",-0.433,1,6.894,0,0,7834296.42766212,1,"345"
"RP11-34E5.1",-0.792,24,8.89,6.957,0,776247116.628693,1.933,"83"
"RP3-337H4.3",-0.911,5,8.224,0,0,167494287.602644,1,"441"
"RPA1",0.209,2,6.837,0,0,6870684.40014232,1,"233"
"RPAP3",0.045,1,6.392,0,0,2466039.33723434,1,"264"
"RPF2",0.275,3,7.951,7.297,0,89330548.3733294,0.654,"46"
"RPL39",0.21,2,7.547,6.918,0,35237087.1042487,0.629,"88"
"RPL39P5",0.21,2,7.547,6.918,0,35237087.1042487,0.629,"88"
"RPLP1",0.246,1,6.69,0,0,4897788.19368447,1,"229"
"RPN1",-0.364,10,8.134,7.161,0,136144468.246595,0.973000000000001,"59"
"RPP30",-0.433,1,6.894,0,0,7834296.42766212,1,"345"
"RPS10",0.385,13,8.723,8.088,0,528445251.775181,0.635000000000002,"12"
"RPS10P5",0.385,13,8.723,8.088,0,528445251.775181,0.635000000000002,"12"
"RPS15",0.119,4,7.978,7.292,0,95060479.3656281,0.686,"48"
"RPS24",0.406,6,8.331,7.575,0,214289060.112006,0.755999999999999,"30"
"RPSA",0.38,5,8.034,7.333,0,108143395.129794,0.701,"44"
"RPSAP58",0.38,5,8.034,7.333,0,108143395.129794,0.701,"44"
"RRM1",0.551,6,7.865,7.218,0,73282453.3138904,0.647,"55"
"RTN1",-0.693,1,8.198,7.313,0.00011,157761126.969935,0.885000000000001,"45"
"RTN3",-1.588,3,15.639,6.786,0,305399113.801468,2.677,"112"
"RTN4",-0.933,9,8.501,7.43,0,316956746.304349,1.071,"39"
"RUSC1",0.122,35,9.442,0,0,2766941645.41151,1,"251"
"SACM1L",-0.298,3,7.653,0,0,44977985.4893287,1,"322"
"SAR1A",0.459,3,7.633,0,0,42953642.6764887,1,"209"
"SAR1B",0.459,3,7.633,0,0,42953642.6764887,1,"209"
"SARA1",0.459,3,7.633,0,0,42953642.6764887,1,"209"
"SARNP",0.115,2,7.464,6.715,0,29107171.1806661,0.749,"128"
"SARS2",-0.031,1,6.857,0,0.00317,7194489.780037,1,"279"
"SCAMP1",-0.568,5,8.373,0,0,236047823.318057,1,"378"
"SCAMP2",-0.824,2,8.014,0,0,103276140.57614,1,"427"
"SCAMP3",-0.167,20,9.153,6.914,0,1422328787.12282,2.239,"91"
"SCAMP4",-0.573,2,8.115,0,0,130316677.84523,1,"379"
"SCD",-0.279,1,7.417,6.388,0,26121613.5439921,1.029,"173"
"SDF4",-1.075,2,7.469,0,0,29444216.3379876,1,"470"
"SEC11A",-0.295,1,6.903,0,0.00366,7998342.55007028,1,"321"
"SEC11L1",-0.295,1,6.903,0,0.00366,7998342.55007028,1,"321"
"SEC22A",-1.562,1,7.064,0,0,11587773.5615513,1,"494"
"SEC23A",-0.721,24,8.805,7.39,0,638263486.190548,1.415,"42"
"SEC23B",-1.377,3,7.317,6.487,0,20749135.1745491,0.83,"164"
"SEC23IP",-0.285,1,6.67,0,0,4677351.41287198,1,"314"
"SEC24A",0.205,2,7.11,0,9e-05,12882495.5169313,1,"234"
"SEC24C",-0.417,19,8.362,0,0,230144181.740851,1,"341"
"SERINC1",0.095,19,9.53,0,0,3388441561.39202,1,"256"
"SERINC3",0.024,19,8.79,0,0,616595001.861481,1,"268"
"SERPINH1",-0.43,5,7.978,7.274,0,95060479.3656281,0.704,"51"
"SF3B14",0.737,1,6.863,0,0,7294575.1025457,1,"190"
"SFRS4",0.044,1,6.536,0,0,3435579.47899874,1,"265"
"SFT2D2",-0.707,1,7.156,0,0.00045,14321878.9927354,1,"409"
"SFT2D3",-0.345,1,7.143,0,1e-05,13899526.3121335,1,"333"
"SH3GLB1",1.338,6,8.376,6.733,0,237684028.662487,1.643,"123"
"SHINC3",-0.59,2,7.543,0,0,34914031.5478586,1,"385"
"SLC12A4",-1.01,9,7.909,0,0,81096105.785384,1,"461"
"SLC12A6",-1.01,9,7.909,0,0,81096105.785384,1,"461"
"SLC16A1",-0.412,7,8.201,7.022,0,158854674.859778,1.179,"72"
"SLC35A1",-0.709,1,6.942,0,0,8749837.75227436,1,"410"
"SLC35B2",-0.722,8,8.399,0,0,250610925.303211,1,"414"
"SLC35E1",-0.735,1,6.847,0,0.00102,7030723.19883834,1,"417"
"SLC38A1",-0.697,4,7.843,0,0,69662651.4110769,1,"407"
"SLC38A2",-1.368,6,8.28,0,0,190546071.796324,1,"488"
"SLC3A2",-0.809,11,8.148,7.209,0,140604752.412991,0.939,"57"
"SLC6A15",-1.747,1,7.031,0,0,10739894.1234124,1,"497"
"SLC7A1",-1.213,4,7.845,6.513,0,69984199.6002273,1.332,"157"
"SLC7A5",-0.792,1,6.682,0,0.00231,4808393.48449729,1,"422"
"SMBP",-0.792,24,8.89,6.957,0,776247116.628693,1.933,"83"
"SNAP29",-0.043,8,8.181,7.007,0,151705036.745933,1.174,"77"
"SNRPE",0.044,3,7.518,6.741,0,32960971.2177458,0.777,"121"
"SNRPG",-0.034,1,6.788,0,0,6137620.05164795,1,"280"
"SNX2",-0.2,11,8.099,0,0,125602996.369488,1,"298"
"SNX6",-0.024,2,7.427,0,0,26730064.0866331,1,"278"
"SON",0.588,6,7.432,6.483,0,27039583.6410885,0.949000000000001,"166"
"SORT1",-0.593,7,7.522,0,0,33265955.3294005,1,"387"
"SPC18",-0.295,1,6.903,0,0.00366,7998342.55007028,1,"321"
"SPCS2",-0.559,1,6.812,0,0.00027,6486344.33548239,1,"377"
"SPRYD7",-1.059,2,7.676,0,0,47424198.5260245,1,"465"
"SPTAN1",-0.176,5,7.123,0,0,13273944.5772974,1,"294"
"SPTBN1",-0.323,5,7.27,0,0,18620871.3666287,1,"326"
"SRP14",0.611,2,7.466,6.236,0,29241523.7784334,1.23,"179"
"SRP9",0.564,1,7.129,6.486,0,13458603.5405595,0.643,"165"
"SRRM2",0.352,17,8.201,6.607,0,158854674.859778,1.594,"145"
"SRSF10",0.462,2,7.809,7.115,0,64416926.5515177,0.694,"64"
"SRSF12",0.462,2,7.809,7.115,0,64416926.5515177,0.694,"64"
"SRSF4",0.044,1,6.536,0,0,3435579.47899874,1,"265"
"SSR4",-0.446,1,6.797,0,2e-05,6266138.64672335,1,"348"
"STEAP3",-0.795,1,6.978,0,0.00342,9506047.93656281,1,"423"
"STIP1",-0.304,6,7.974,7.015,0,94188959.6522842,0.959,"75"
"STRF8",-0.061,5,7.646,6.89,0,44258837.2362626,0.756,"98"
"STRN",-1.354,2,7.086,0,0,12189895.9892487,1,"487"
"STRN3",-2.364,27,22.798,0,0,558606432.088248,3,"309"
"STX10",-0.935,3,7.778,0,0,59979107.6255509,1,"450"
"STX12",-0.919,7,8.377,0,0,238231946.935869,1,"444"
"STX16",-0.585,1,6.767,0,0,5847900.84144481,1,"383"
"STX16-NPEPL1",-0.585,1,6.767,0,0,5847900.84144481,1,"383"
"STX5",-1.025,2,7.299,0,0,19906733.3898719,1,"462"
"STX7",-0.629,5,8.293,0,0,196336027.683604,1,"393"
"STX8",-0.102,1,6.73,0,0.00053,5370317.96370253,1,"287"
"STXBP3",-0.721,6,8.031,0,0,107398941.234125,1,"413"
"SUMO2",-0.52,1,7.013,0,2e-04,10303861.2044162,1,"366"
"SUMO3",-0.52,1,7.013,0,2e-04,10303861.2044162,1,"366"
"SUMO4",-0.52,1,7.013,0,2e-04,10303861.2044162,1,"366"
"SURF4",-0.591,3,7.556,0,0,35974933.5155742,1,"386"
"SV2A",-0.329,2,7.396,0,0,24888573.1828239,1,"328"
"SYBL1",-0.4,6,8.182,6.638,0,152054752.97325,1.544,"142"
"SYNGR1",-0.389,4,7.984,0,0,96382902.362397,1,"339"
"SYNGR2",0.086,19,9.757,7.293,0,5714786366.71867,2.464,"47"
"SYP",-0.739,5,7.784,0,0,60813500.1278718,1,"419"
"SYPL",0.033,12,9.028,6.403,0,1066596121.23026,2.625,"171"
"SYPL1",0.033,12,9.028,6.403,0,1066596121.23026,2.625,"171"
"TALDO1",-0.567,3,7.434,6.735,0,27164392.6883908,0.699,"122"
"TECR",-0.247,1,7.424,0,0,26546055.6197554,1,"307"
"TFRC",-0.483,60,9.371,8.071,0,2349632820.84831,1.3,"14"
"TGOLN2",-0.451,3,7.434,0,0,27164392.6883908,1,"349"
"THOC3",0.146,1,7.161,0,0.00063,14487718.5354476,1,"244"
"THOC5",0.22,2,7.463,6.781,0,29040226.5446445,0.682,"114"
"THOC6",-0.027,2,7.314,6.594,0,20606299.1327,0.72,"149"
"TIA1",0.288,3,7.635,6.795,0,43151907.6827765,0.84,"111"
"TIAL1",0.288,3,7.635,6.795,0,43151907.6827765,0.84,"111"
"TIRAP3",-1.386,4,8.222,0,0,166724721.255106,1,"491"
"TLE1",1.026,1,6.64,0,0.00019,4365158.32240166,1,"187"
"TLE2",1.026,1,6.64,0,0.00019,4365158.32240166,1,"187"
"TLE3",1.026,1,6.64,0,0.00019,4365158.32240166,1,"187"
"TLE4",1.026,1,6.64,0,0.00019,4365158.32240166,1,"187"
"TM9SF1",-0.944,5,7.865,0,0,73282453.3138904,1,"453"
"TM9SF2",-0.537,13,8.457,0,0,286417796.990659,1,"369"
"TM9SF3",-0.792,24,8.89,6.957,0,776247116.628693,1.933,"83"
"TM9SF4",-0.786,8,8.368,0,0,233345806.2281,1,"421"
"TMED1",-1.053,2,7.542,0,0,34833731.5036012,1,"464"
"TMED10",-1.291,6,8.668,0,0,465586093.522958,1,"485"
"TMED2",-1.196,2,7.978,0,0,95060479.3656281,1,"479"
"TMED4",-1.393,3,8.138,0,0,137404197.501251,1,"492"
"TMED7",-1.386,4,8.222,0,0,166724721.255106,1,"491"
"TMED7-TICAM2",-1.386,4,8.222,0,0,166724721.255106,1,"491"
"TMED9",-1.113,3,8.474,0,0,297851642.942919,1,"474"
"TMEM109",-0.519,1,7.021,0,0.00236,10495424.2865232,1,"365"
"TMEM181",-0.982,1,7.406,0,0.0035,25468302.5258504,1,"456"
"TMEM184C",-0.349,1,7.067,0,0,11668096.1706096,1,"334"
"TMEM230",-0.644,1,7.538,0,3e-05,34514373.9335856,1,"398"
"TMEM30A",-0.927,5,7.91,6.433,0,81283051.61641,1.477,"169"
"TMEM33",-0.59,2,7.543,0,0,34914031.5478586,1,"385"
"TMEM87A",-0.429,5,7.836,0,0,68548822.6452662,1,"342"
"TMEM87B",-1.088,2,7.383,0,0,24154608.3444494,1,"471"
"TMX1",-0.184,1,6.695,0,9e-05,4954501.9080479,1,"295"
"TOE1",0.377,4,7.346,0,0,22181964.1980022,1,"213"
"TPD52L2",1.822,2,7.406,6.414,0,25468302.5258504,0.992,"170"
"TPRG1L",0.758,2,7.721,0,0,52601726.6390706,1,"189"
"TRAPPC1",0.188,3,7.698,6.713,1e-05,49888448.7460013,0.985,"129"
"TRAPPC11",0.126,13,8.065,0,0,116144861.384034,1,"249"
"TRAPPC12",0.02,6,7.909,0,0,81096105.785384,1,"269"
"TRAPPC2",-0.807,1,6.852,0,0,7112135.1365333,1,"425"
"TRAPPC2L",0.481,2,7.497,0,0,31405086.9387622,1,"206"
"TRAPPC2P1",-0.807,1,6.852,0,0,7112135.1365333,1,"425"
"TRAPPC3",0.141,4,8.02,0,0,104712854.80509,1,"245"
"TRAPPC4",0.237,6,8.093,0,0,123879658.653037,1,"231"
"TRAPPC5",0.585,3,7.746,0,0,55718574.893193,1,"198"
"TRAPPC6B",0.588,2,7.259,0,1e-05,18155156.6277314,1,"197"
"TRAPPC8",0.146,29,8.747,0,0,558470194.736831,1,"243"
"TRAPPC9",-0.248,1,6.325,0,0.00013,2113489.03983665,1,"308"
"TUBA1B",0.139,2,7.702,6.508,0,50350060.8787905,1.194,"159"
"TUBA1C",0.139,2,7.702,6.508,0,50350060.8787905,1.194,"159"
"TUBAL3",-0.295,2,7.017,0,0,10399201.6582906,1,"320"
"TUBB",-0.221,10,8.953,8.323,0,897428794.500747,0.629999999999999,"6"
"TUBB2A",-0.613,3,7.599,6.584,0,39719154.946944,1.015,"150"
"TUBB2B",-0.613,3,7.599,6.584,0,39719154.946944,1.015,"150"
"TUBB2C",-0.308,57,9.479,8.778,0,3013006024.18612,0.700999999999999,"1"
"TUBB3",0.673,1,6.835,0,0,6839116.47281429,1,"194"
"TUBB4",-0.308,57,9.479,8.778,0,3013006024.18612,0.700999999999999,"1"
"TUBB4A",-0.308,57,9.479,8.778,0,3013006024.18612,0.700999999999999,"1"
"TUBB4B",-0.308,57,9.479,8.778,0,3013006024.18612,0.700999999999999,"1"
"TUFM",-0.833,3,7.55,0,0,35481338.9233575,1,"430"
"TXNDC",-0.184,1,6.695,0,9e-05,4954501.9080479,1,"295"
"TXNDC5",-0.061,5,7.646,6.89,0,44258837.2362626,0.756,"98"
"UBA1",-0.16,8,7.864,7.257,0,73113908.3483417,0.607,"52"
"UBA2",-0.09,1,6.544,0,0.00214,3499451.67028357,1,"284"
"UBAP1L",0.063,5,8.746,6.703,0,557185748.93193,2.043,"132"
"UBAP2L",1.003,7,7.806,7.119,0,63973483.5482648,0.687,"63"
"UBIAD1",0.033,2,7.447,6.723,0,27989813.1963436,0.724,"125"
"UBR4",0.032,1,6.482,0,0,3033891.18419427,1,"267"
"UCHL1",-0.164,1,7.559,6.93,0,36224299.8416699,0.629,"85"
"UCHL5",-0.03,2,7.437,6.662,0,27352687.2630671,0.775,"141"
"UTP20",0.54,1,6.561,0,0.00371,3639150.36127207,1,"203"
"VAC14",-0.209,19,8.735,7.062,0,543250331.492432,1.673,"68"
"VAMP2",-0.4,4,8.497,6.748,0,314050869.387622,1.749,"118"
"VAMP3",-0.4,4,8.497,6.748,0,314050869.387622,1.749,"118"
"VAMP4",-0.918,1,6.932,0,1e-04,8550667.12884684,1,"443"
"VAMP7",-0.4,6,8.182,6.638,0,152054752.97325,1.544,"142"
"VAT1",0.514,9,8.119,7.221,0,131522483.219224,0.898,"54"
"VCL",-0.433,3,7.334,0,0,21577444.0915266,1,"344"
"VPS26A",-0.099,2,7.385,0,0,24266100.9508241,1,"286"
"VPS26B",0.102,2,7.358,0,0,22803420.7200042,1,"254"
"VPS29",-0.172,3,7.631,0,0,42756288.6151586,1,"293"
"VPS35",-0.152,15,8.436,6.829,0,272897778.280804,1.607,"107"
"VPS45",-0.897,15,8.488,0,0,307609681.47407,1,"438"
"VTI1A",-0.59,3,7.998,0,0,99540541.7351528,1,"384"
"WDFY1",-0.678,10,8.45,0,0,281838293.126445,1,"401"
"WDR11",-0.044,42,8.863,7.582,0,729457510.254568,1.281,"29"
"WDR33",0.198,1,6.506,0,2e-05,3206269.32450547,1,"237"
"WDR61",0.392,2,7.557,6.927,0,36057864.3021643,0.630000000000001,"86"
"WDR77",0.331,1,7.397,6.594,0,24945947.2694296,0.803,"147"
"XLKD1",0.095,1,7.502,0,0.00308,31768740.7064977,1,"257"
"XPO1",-0.832,3,7.242,0,0,17458221.529205,1,"428"
"XTP3TPATP1",-0.221,10,8.953,8.323,0,897428794.500747,0.629999999999999,"6"
"YIPF3",-0.911,5,8.224,0,0,167494287.602644,1,"441"
"YIPF4",-0.725,2,8.202,0,0,159220872.705117,1,"415"
"YIPF6",-0.212,3,8.19,0,0,154881661.891248,1,"300"
"YTHDF2",0.875,5,7.746,7.006,0,55718574.893193,0.74,"78"
"YTHDF3",0.875,5,7.746,7.006,0,55718574.893193,0.74,"78"
"YWHAG",-0.686,1,7.126,0,0,13365955.1654644,1,"405"
"YWHAH",-1.133,1,6.951,0,0,8933054.83733295,1,"476"
"YWHAQ",-0.315,1,7.267,6.665,0,18492686.1897808,0.602,"140"
"YWHAZ",-0.444,5,8.133,7.519,0,135831344.658715,0.613999999999999,"32"
"ZDHHC13",-0.685,2,7.116,0,1e-05,13061708.8813184,1,"404"
"ZDHHC17",-0.685,2,7.116,0,1e-05,13061708.8813184,1,"404"
"ZFPL1",-0.921,1,7.261,0,0.00032,18238957.0231964,1,"446"
"ZFR",0.721,1,6.527,0,1e-05,3365115.69375491,1,"191"
"ZMPSTE24",-0.443,3,7.787,0,0.00102,61235039.1724773,1,"346"
"ZNF598",0.365,2,6.996,6.229,0,9908319.44892769,0.767,"180"
