"Gene.names","logFC_ES_vs_FM_ATG9A.Immunoisolation_intensity_filtered","Ratio_H_L_count_ES_vs_FM_ATG9A.Immunoisolation_intensity_filtered","Intensity_ES_vs_FM_ATG9A.Immunoisolation_intensity_filtered","Intensity_Mix_CTRL.IgM.Immunoisolation","PEP","LFQ","FC10","uid"
"DDX52",0.197,2,7.478,0,0.00026,30060763.0262823,1,"238"
"DHCR24",-0.286,2,7.274,0,0,18793168.1680327,1,"316"
"DIMT1",0.376,2,7.223,0,0,16710906.1431071,1,"214"
"DISC1",0.272,4,7.485,0,0,30549211.1321552,1,"224"
"DKFZp313C1541",-0.965,1,7.372,0,0,23550492.8389601,1,"454"
"DKFZp434B0535",-0.693,4,8.159,0,0,144211535.152487,1,"406"
"DKFZp434L1715",-0.044,42,8.863,7.582,0,729457510.254568,1.281,"29"
"DKFZp451A052",0.875,5,7.746,7.006,0,55718574.893193,0.74,"78"
"DKFZp451J085",0.875,5,7.746,7.006,0,55718574.893193,0.74,"78"
"DKFZp547L059",0.097,2,7.332,0,4e-05,21478304.7413053,1,"255"
"DKFZp564P0562",-0.176,5,7.123,0,0,13273944.5772974,1,"294"
"DKFZp566F223",-0.613,3,7.599,6.584,0,39719154.946944,1.015,"150"
"DKFZp586G1518",0.116,3,7.707,7.003,0,50933087.1057195,0.704,"79"
"DKFZp666I134",-0.061,5,7.646,6.89,0,44258837.2362626,0.756,"98"
"DKFZp667O202",-0.172,3,7.631,0,0,42756288.6151586,1,"293"
"DKFZp686A11192",0.038,3,7.429,0,0,26853444.4565851,1,"266"
"DKFZp686A1765",1.822,2,7.406,6.414,0,25468302.5258504,0.992,"170"
"DKFZp686C17209",0.038,3,7.429,0,0,26853444.4565851,1,"266"
"DKFZp686D1070",-0.553,9,7.507,0,0,32136605.3864032,1,"372"
"DKFZp686E2242",-0.553,9,7.507,0,0,32136605.3864032,1,"372"
"DKFZp686G04235",-0.096,3,7.294,0,0,19678862.8970684,1,"285"
"DKFZp686L12167",0.166,1,6.518,0,0,3296097.12177458,1,"241"
"DKFZp686M1993",-0.553,9,7.507,0,0,32136605.3864032,1,"372"
"DKFZp686N0561",-0.614,18,8.628,7.012,0,424619563.946313,1.616,"76"
"DKFZp686O1827",-1.01,9,7.909,0,0,81096105.785384,1,"461"
"DKFZp686O2462",-0.152,15,8.436,6.829,0,272897778.280804,1.607,"107"
"DKFZp761I0921",-1.747,1,7.031,0,0,10739894.1234124,1,"497"
"DKFZp762C0813",-0.63,1,6.55,0,0.00013,3548133.89233575,1,"395"
