"","CondA","expt","ATG9_postRapalog","TPD54_postRapalog","ATG9_preRapalog","TPD54_preRapalog","ATG9_cytoloss","TPD54_cytoloss"
"1","Cont","cr_MF053",0.619058158843184,0.80552260842165,0.616969733175203,0.55050933023749,-0.545237765488649,-56.733831275941
"2","Cont","cr_MF055",0.635131934800871,0.755846897604688,0.632283183512703,0.596071846229192,-0.774713355614734,-39.555314449845
"3","Cont","cr_MF056",0.642608517101136,0.79536499675885,0.611947616867224,0.566518889846746,-7.90122714525912,-52.79263653062
"4","WT","cr_MF053",0.810274909199017,0.895996589814847,0.621459504049957,0.61318301388574,-49.8798430205415,-73.1130188387249
"5","WT","cr_MF055",0.769441701188203,0.874267381933775,0.617320420667736,0.595902152745919,-39.7516064969819,-68.8856006235614
"6","WT","cr_MF056",0.777866925256396,0.893752386923528,0.632026712476411,0.61312850121779,-39.633369520236,-72.5367173826666
"7","Mut","cr_MF053",0.617271189812795,0.85876326404032,0.618759424376181,0.581016612842607,0.390366256516993,-66.2906119218937
"8","Mut","cr_MF055",0.622182352052544,0.831806092217241,0.618132115679677,0.601647740460261,-1.06063812621384,-57.7775941381399
"9","Mut","cr_MF056",0.613632145519413,0.83732636803824,0.612466780517548,0.592672376107564,-0.300713575837945,-60.0631966947772
